monotonic_timestamp_us,phase,foreground_ops_completed,delete_ranges_issued,event_type,open_delta_size,sealed_run_count,hard_run_limit,input_run_ids,output_run_id,input_levels,output_level,input_chunks,output_chunk_count,input_tombstones,output_tombstone_count,merge_queue_wait_us,merge_wall_time_us,merge_cpu_time_us,pre_publish_hist,post_publish_hist,fallback_details
2973350992017,PHASE_B,100318,63,SEAL,0,1,32,"","1","","0","","1","","64",0,0,0,"{}","{L0:1}",""
2973350994620,PHASE_B,100640,127,SEAL,0,2,32,"","2","","0","","1","","64",0,0,0,"{L0:1}","{L0:2}",""
2973350994635,PHASE_B,100640,127,MERGE_SUBMIT,0,2,32,"","","","","","","","",0,0,0,"{L0:2}","{L0:2}",""
2973350994677,PHASE_B,100653,128,MERGE_START,0,2,32,"[1,2]","","[0,0]","","[1,1]","","[64,64]","",25,0,0,"{L0:2}","{L0:2}",""
2973350995041,PHASE_B,100699,139,MERGE_DONE,0,0,0,"","3","","1","","2","","128",25,378,377,"","",""
2973350995063,PHASE_B,100701,139,MERGE_PUBLISH,0,1,32,"","3","","1","","2","","128",25,398,397,"{L0:2}","{L1:1}",""
2973350997364,PHASE_B,100962,190,SEAL,0,2,32,"","4","","0","","1","","64",0,0,0,"{L1:1}","{L0:1, L1:1}",""
2973350999990,PHASE_B,101277,254,SEAL,0,3,32,"","5","","0","","1","","64",0,0,0,"{L0:1, L1:1}","{L0:2, L1:1}",""
2973351000021,PHASE_B,101277,254,MERGE_SUBMIT,0,3,32,"","","","","","","","",0,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2973351000122,PHASE_B,101286,257,MERGE_START,0,3,32,"[4,5]","","[0,0]","","[1,1]","","[64,64]","",80,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2973351000347,PHASE_B,101325,263,MERGE_DONE,0,0,0,"","6","","1","","2","","128",80,247,244,"","",""
2973351000353,PHASE_B,101325,263,MERGE_PUBLISH,0,2,32,"","6","","1","","2","","128",80,253,250,"{L0:2, L1:1}","{L1:2}",""
2973351000363,PHASE_B,101325,263,MERGE_SUBMIT,9,2,32,"","","","","","","","",0,0,0,"{L1:2}","{L1:2}",""
2973351000392,PHASE_B,101333,266,MERGE_START,0,2,32,"[3,6]","","[1,1]","","[2,2]","","[128,128]","",32,0,0,"{L1:2}","{L1:2}",""
2973351000656,PHASE_B,101356,269,MERGE_DONE,0,0,0,"","7","","2","","4","","256",32,264,264,"","",""
2973351000661,PHASE_B,101356,269,MERGE_PUBLISH,0,1,32,"","7","","2","","4","","256",32,268,268,"{L1:2}","{L2:1}",""
2973351002831,PHASE_B,101603,319,SEAL,0,2,32,"","8","","0","","1","","64",0,0,0,"{L2:1}","{L0:1, L2:1}",""
2973351005661,PHASE_B,101917,381,SEAL,0,3,32,"","9","","0","","1","","64",0,0,0,"{L0:1, L2:1}","{L0:2, L2:1}",""
2973351005675,PHASE_B,101917,381,MERGE_SUBMIT,0,3,32,"","","","","","","","",0,0,0,"{L0:2, L2:1}","{L0:2, L2:1}",""
2973351005688,PHASE_B,101919,383,MERGE_START,0,3,32,"[8,9]","","[0,0]","","[1,1]","","[64,64]","",10,0,0,"{L0:2, L2:1}","{L0:2, L2:1}",""
2973351005783,PHASE_B,101927,384,MERGE_DONE,0,0,0,"","10","","1","","2","","128",10,99,99,"","",""
2973351005787,PHASE_B,101927,384,MERGE_PUBLISH,0,2,32,"","10","","1","","2","","128",10,102,102,"{L0:2, L2:1}","{L1:1, L2:1}",""
2973351008547,PHASE_B,102238,446,SEAL,0,3,32,"","11","","0","","1","","64",0,0,0,"{L1:1, L2:1}","{L0:1, L1:1, L2:1}",""
2973351011463,PHASE_B,102560,511,SEAL,0,4,32,"","12","","0","","1","","64",0,0,0,"{L0:1, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2973351011478,PHASE_B,102560,511,MERGE_SUBMIT,0,4,32,"","","","","","","","",0,0,0,"{L0:2, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2973351011490,PHASE_B,102562,512,MERGE_START,0,4,32,"[11,12]","","[0,0]","","[1,1]","","[64,64]","",7,0,0,"{L0:2, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2973351011595,PHASE_B,102563,512,MERGE_DONE,0,0,0,"","13","","1","","2","","128",7,111,110,"","",""
2973351011601,PHASE_B,102563,512,MERGE_PUBLISH,0,3,32,"","13","","1","","2","","128",7,115,114,"{L0:2, L1:1, L2:1}","{L1:2, L2:1}",""
2973351011606,PHASE_B,102563,512,MERGE_SUBMIT,2,3,32,"","","","","","","","",0,0,0,"{L1:2, L2:1}","{L1:2, L2:1}",""
2973351011635,PHASE_B,102567,513,MERGE_START,0,3,32,"[10,13]","","[1,1]","","[2,2]","","[128,128]","",21,0,0,"{L1:2, L2:1}","{L1:2, L2:1}",""
2973351012098,PHASE_B,102620,522,MERGE_DONE,0,0,0,"","14","","2","","4","","256",21,467,468,"","",""
2973351012116,PHASE_B,102626,525,MERGE_PUBLISH,0,2,32,"","14","","2","","4","","256",21,481,481,"{L1:2, L2:1}","{L2:2}",""
2973351012132,PHASE_B,102629,525,MERGE_SUBMIT,13,2,32,"","","","","","","","",0,0,0,"{L2:2}","{L2:2}",""
2973351012255,PHASE_B,102640,528,MERGE_START,0,2,32,"[7,14]","","[2,2]","","[4,4]","","[256,256]","",112,0,0,"{L2:2}","{L2:2}",""
2973351012927,PHASE_B,102708,542,MERGE_DONE,0,0,0,"","15","","3","","8","","512",112,690,689,"","",""
2973351012943,PHASE_B,102709,542,MERGE_PUBLISH,0,1,32,"","15","","3","","8","","512",112,706,704,"{L2:2}","{L3:1}",""
2973351014627,PHASE_B,102879,574,SEAL,0,2,32,"","16","","0","","1","","64",0,0,0,"{L3:1}","{L0:1, L3:1}",""
2973351017414,PHASE_B,103202,638,SEAL,0,3,32,"","17","","0","","1","","64",0,0,0,"{L0:1, L3:1}","{L0:2, L3:1}",""
2973351017428,PHASE_B,103202,638,MERGE_SUBMIT,0,3,32,"","","","","","","","",0,0,0,"{L0:2, L3:1}","{L0:2, L3:1}",""
2973351017437,PHASE_B,103202,638,MERGE_START,0,3,32,"[16,17]","","[0,0]","","[1,1]","","[64,64]","",7,0,0,"{L0:2, L3:1}","{L0:2, L3:1}",""
2973351017523,PHASE_B,103209,641,MERGE_DONE,0,0,0,"","18","","1","","2","","128",7,89,89,"","",""
