worker_id,phase_id,phase_name,get_count,put_count,del_count,mat_count,mat_nanos,lock_attempt_count,lock_contended_count,lock_wait_nanos,cache_inv_count,probe_gets,probed_runs_sum,probed_runs_max,open_delta_sum,open_delta_max
0,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
1,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
2,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
3,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
4,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
5,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
6,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
7,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
0,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6250,9819,4,197049,63
1,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6248,9810,4,199130,63
2,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6249,9903,4,196241,63
3,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6249,9943,4,194632,63
4,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6249,9872,4,195025,63
5,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6250,9918,4,196715,63
6,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6248,9751,4,197346,63
7,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6247,9928,4,195818,63
0,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,405000,36
1,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,405000,36
2,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,405000,36
3,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,405000,36
4,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,405000,36
5,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,405000,36
6,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,405000,36
7,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,33750,3,405000,36
