worker_id,phase_id,phase_name,get_count,put_count,del_count,mat_count,mat_nanos,lock_attempt_count,lock_contended_count,lock_wait_nanos,cache_inv_count,probe_gets,probed_runs_sum,probed_runs_max,open_delta_sum,open_delta_max
0,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
1,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
2,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
3,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
4,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
5,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
6,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
7,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
0,1,PHASE_B,6250,3750,2500,2377,169316773,5245,2868,493214367,2500,0,0,0,0,0
1,1,PHASE_B,6250,3750,2500,1846,383014385,5484,3637,580269926,2500,0,0,0,0,0
2,1,PHASE_B,6250,3750,2500,2019,386951941,5503,3481,567643786,2500,0,0,0,0,0
3,1,PHASE_B,6250,3750,2500,1909,247621396,5352,3443,566156712,2500,0,0,0,0,0
4,1,PHASE_B,6250,3750,2500,2017,372461043,5486,3468,556909758,2500,0,0,0,0,0
5,1,PHASE_B,6250,3750,2500,1841,428988613,5411,3569,570637828,2500,0,0,0,0,0
6,1,PHASE_B,6250,3750,2500,1774,399214563,5483,3708,596758077,2500,0,0,0,0,0
7,1,PHASE_B,6250,3750,2500,1945,461284080,5449,3503,559933719,2500,0,0,0,0,0
0,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
1,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
2,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
3,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
4,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
5,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
6,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
7,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
