monotonic_timestamp_us,phase,foreground_ops_completed,delete_ranges_issued,event_type,open_delta_size,sealed_run_count,hard_run_limit,input_run_ids,output_run_id,input_levels,output_level,input_chunks,output_chunk_count,input_tombstones,output_tombstone_count,merge_queue_wait_us,merge_wall_time_us,merge_cpu_time_us,pre_publish_hist,post_publish_hist,fallback_details
2869356667146,PHASE_B,101271,252,SEAL,0,1,16,"","1","","0","","1","","256",0,0,0,"{}","{L0:1}",""
2869356688772,PHASE_B,102568,511,SEAL,0,2,16,"","2","","0","","1","","256",0,0,0,"{L0:1}","{L0:2}",""
2869356688815,PHASE_B,102568,511,MERGE_SUBMIT,0,2,16,"","","","","","","","",0,0,0,"{L0:2}","{L0:2}",""
2869356688924,PHASE_B,102576,514,MERGE_START,0,2,16,"[1,2]","","[0,0]","","[1,1]","","[256,256]","",90,0,0,"{L0:2}","{L0:2}",""
2869356689707,PHASE_B,102637,528,MERGE_DONE,0,0,0,"","3","","1","","2","","512",90,803,801,"","",""
2869356689716,PHASE_B,102642,528,MERGE_PUBLISH,0,1,16,"","3","","1","","2","","512",90,812,810,"{L0:2}","{L1:1}",""
2869356712703,PHASE_B,103839,767,SEAL,0,2,16,"","4","","0","","1","","256",0,0,0,"{L1:1}","{L0:1, L1:1}",""
2869356740458,PHASE_B,105113,1021,SEAL,0,3,16,"","5","","0","","1","","256",0,0,0,"{L0:1, L1:1}","{L0:2, L1:1}",""
2869356740541,PHASE_B,105113,1021,MERGE_SUBMIT,0,3,16,"","","","","","","","",0,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2869356740665,PHASE_B,105125,1025,MERGE_START,0,3,16,"[4,5]","","[0,0]","","[1,1]","","[256,256]","",108,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2869356741430,PHASE_B,105177,1034,MERGE_DONE,0,0,0,"","6","","1","","2","","512",108,786,784,"","",""
2869356741436,PHASE_B,105178,1035,MERGE_PUBLISH,0,2,16,"","6","","1","","2","","512",108,792,790,"{L0:2, L1:1}","{L1:2}",""
2869356741445,PHASE_B,105180,1036,MERGE_SUBMIT,12,2,16,"","","","","","","","",0,0,0,"{L1:2}","{L1:2}",""
2869356741570,PHASE_B,105181,1036,MERGE_START,0,2,16,"[3,6]","","[1,1]","","[2,2]","","[512,512]","",120,0,0,"{L1:2}","{L1:2}",""
2869356742675,PHASE_B,105253,1051,MERGE_DONE,0,0,0,"","7","","2","","4","","1024",120,1113,1112,"","",""
2869356742681,PHASE_B,105254,1051,MERGE_PUBLISH,0,1,16,"","7","","2","","4","","1024",120,1119,1118,"{L1:2}","{L2:1}",""
2869356773675,PHASE_B,106393,1278,SEAL,0,2,16,"","8","","0","","1","","256",0,0,0,"{L2:1}","{L0:1, L2:1}",""
2869356812086,PHASE_B,107683,1535,SEAL,0,3,16,"","9","","0","","1","","256",0,0,0,"{L0:1, L2:1}","{L0:2, L2:1}",""
2869356812175,PHASE_B,107683,1535,MERGE_SUBMIT,0,3,16,"","","","","","","","",0,0,0,"{L0:2, L2:1}","{L0:2, L2:1}",""
2869356812196,PHASE_B,107683,1535,MERGE_START,0,3,16,"[8,9]","","[0,0]","","[1,1]","","[256,256]","",22,0,0,"{L0:2, L2:1}","{L0:2, L2:1}",""
2869356812781,PHASE_B,107720,1542,MERGE_DONE,0,0,0,"","10","","1","","2","","512",22,591,590,"","",""
2869356812787,PHASE_B,107720,1542,MERGE_PUBLISH,0,2,16,"","10","","1","","2","","512",22,596,595,"{L0:2, L2:1}","{L1:1, L2:1}",""
2869356851904,PHASE_B,108949,1788,SEAL,0,3,16,"","11","","0","","1","","256",0,0,0,"{L1:1, L2:1}","{L0:1, L1:1, L2:1}",""
2869356895390,PHASE_B,110233,2045,SEAL,0,4,16,"","12","","0","","1","","256",0,0,0,"{L0:1, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2869356895496,PHASE_B,110233,2045,MERGE_SUBMIT,0,4,16,"","","","","","","","",0,0,0,"{L0:2, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2869356895578,PHASE_B,110233,2045,MERGE_START,0,4,16,"[11,12]","","[0,0]","","[1,1]","","[256,256]","",65,0,0,"{L0:2, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2869356895943,PHASE_B,110247,2049,MERGE_DONE,0,0,0,"","13","","1","","2","","512",65,388,388,"","",""
2869356895948,PHASE_B,110247,2049,MERGE_PUBLISH,0,3,16,"","13","","1","","2","","512",65,393,392,"{L0:2, L1:1, L2:1}","{L1:2, L2:1}",""
2869356895954,PHASE_B,110247,2049,MERGE_SUBMIT,1,3,16,"","","","","","","","",0,0,0,"{L1:2, L2:1}","{L1:2, L2:1}",""
2869356896067,PHASE_B,110247,2049,MERGE_START,0,3,16,"[10,13]","","[1,1]","","[2,2]","","[512,512]","",87,0,0,"{L1:2, L2:1}","{L1:2, L2:1}",""
2869356897465,PHASE_B,110306,2060,MERGE_DONE,0,0,0,"","14","","2","","4","","1024",87,1423,1414,"","",""
2869356897471,PHASE_B,110307,2061,MERGE_PUBLISH,0,2,16,"","14","","2","","4","","1024",87,1430,1421,"{L1:2, L2:1}","{L2:2}",""
2869356897478,PHASE_B,110308,2061,MERGE_SUBMIT,13,2,16,"","","","","","","","",0,0,0,"{L2:2}","{L2:2}",""
2869356897584,PHASE_B,110308,2061,MERGE_START,0,2,16,"[7,14]","","[2,2]","","[4,4]","","[1024,1024]","",90,0,0,"{L2:2}","{L2:2}",""
2869356900044,PHASE_B,110415,2082,MERGE_DONE,0,0,0,"","15","","3","","8","","2048",90,2477,2476,"","",""
2869356900050,PHASE_B,110415,2082,MERGE_PUBLISH,0,1,16,"","15","","3","","8","","2048",90,2484,2482,"{L2:2}","{L3:1}",""
2869356941117,PHASE_B,111514,2302,SEAL,0,2,16,"","16","","0","","1","","256",0,0,0,"{L3:1}","{L0:1, L3:1}",""
2869356985162,PHASE_B,112799,2558,SEAL,0,3,16,"","17","","0","","1","","256",0,0,0,"{L0:1, L3:1}","{L0:2, L3:1}",""
2869356985264,PHASE_B,112799,2558,MERGE_SUBMIT,0,3,16,"","","","","","","","",0,0,0,"{L0:2, L3:1}","{L0:2, L3:1}",""
2869356985304,PHASE_B,112802,2560,MERGE_START,0,3,16,"[16,17]","","[0,0]","","[1,1]","","[256,256]","",28,0,0,"{L0:2, L3:1}","{L0:2, L3:1}",""
2869356986417,PHASE_B,112856,2570,MERGE_DONE,0,0,0,"","18","","1","","2","","512",28,1127,1126,"","",""
2869356986430,PHASE_B,112856,2570,MERGE_PUBLISH,0,2,16,"","18","","1","","2","","512",28,1138,1137,"{L0:2, L3:1}","{L1:1, L3:1}",""
2869357029458,PHASE_B,114075,2812,SEAL,0,3,16,"","19","","0","","1","","256",0,0,0,"{L1:1, L3:1}","{L0:1, L1:1, L3:1}",""
2869357074486,PHASE_B,115354,3070,SEAL,0,4,16,"","20","","0","","1","","256",0,0,0,"{L0:1, L1:1, L3:1}","{L0:2, L1:1, L3:1}",""
2869357074581,PHASE_B,115354,3070,MERGE_SUBMIT,0,4,16,"","","","","","","","",0,0,0,"{L0:2, L1:1, L3:1}","{L0:2, L1:1, L3:1}",""
2869357074615,PHASE_B,115356,3072,MERGE_START,0,4,16,"[19,20]","","[0,0]","","[1,1]","","[256,256]","",24,0,0,"{L0:2, L1:1, L3:1}","{L0:2, L1:1, L3:1}",""
2869357075443,PHASE_B,115399,3080,MERGE_DONE,0,0,0,"","21","","1","","2","","512",24,846,844,"","",""
2869357075451,PHASE_B,115400,3080,MERGE_PUBLISH,0,3,16,"","21","","1","","2","","512",24,852,851,"{L0:2, L1:1, L3:1}","{L1:2, L3:1}",""
2869357075459,PHASE_B,115402,3080,MERGE_SUBMIT,8,3,16,"","","","","","","","",0,0,0,"{L1:2, L3:1}","{L1:2, L3:1}",""
2869357075563,PHASE_B,115408,3081,MERGE_START,0,3,16,"[18,21]","","[1,1]","","[2,2]","","[512,512]","",85,0,0,"{L1:2, L3:1}","{L1:2, L3:1}",""
2869357077779,PHASE_B,115497,3097,MERGE_DONE,0,0,0,"","22","","2","","4","","1024",85,2233,2232,"","",""
2869357077824,PHASE_B,115501,3099,MERGE_PUBLISH,0,2,16,"","22","","2","","4","","1024",85,2276,2261,"{L1:2, L3:1}","{L2:1, L3:1}",""
2869357119383,PHASE_B,116634,3326,SEAL,0,3,16,"","23","","0","","1","","256",0,0,0,"{L2:1, L3:1}","{L0:1, L2:1, L3:1}",""
2869357164167,PHASE_B,117914,3581,SEAL,0,4,16,"","24","","0","","1","","256",0,0,0,"{L0:1, L2:1, L3:1}","{L0:2, L2:1, L3:1}",""
2869357164258,PHASE_B,117914,3581,MERGE_SUBMIT,0,4,16,"","","","","","","","",0,0,0,"{L0:2, L2:1, L3:1}","{L0:2, L2:1, L3:1}",""
2869357164384,PHASE_B,117914,3581,MERGE_START,0,4,16,"[23,24]","","[0,0]","","[1,1]","","[256,256]","",110,0,0,"{L0:2, L2:1, L3:1}","{L0:2, L2:1, L3:1}",""
2869357165109,PHASE_B,117955,3590,MERGE_DONE,0,0,0,"","25","","1","","2","","512",110,746,745,"","",""
2869357165116,PHASE_B,117955,3590,MERGE_PUBLISH,0,3,16,"","25","","1","","2","","512",110,753,751,"{L0:2, L2:1, L3:1}","{L1:1, L2:1, L3:1}",""
2869357209574,PHASE_B,119197,3838,SEAL,0,4,16,"","26","","0","","1","","256",0,0,0,"{L1:1, L2:1, L3:1}","{L0:1, L1:1, L2:1, L3:1}",""
2869357254759,PHASE_B,120477,4094,SEAL,0,5,16,"","27","","0","","1","","256",0,0,0,"{L0:1, L1:1, L2:1, L3:1}","{L0:2, L1:1, L2:1, L3:1}",""
2869357254849,PHASE_B,120477,4094,MERGE_SUBMIT,0,5,16,"","","","","","","","",0,0,0,"{L0:2, L1:1, L2:1, L3:1}","{L0:2, L1:1, L2:1, L3:1}",""
