monotonic_timestamp_us,phase,foreground_ops_completed,delete_ranges_issued,event_type,open_delta_size,sealed_run_count,hard_run_limit,input_run_ids,output_run_id,input_levels,output_level,input_chunks,output_chunk_count,input_tombstones,output_tombstone_count,merge_queue_wait_us,merge_wall_time_us,merge_cpu_time_us,pre_publish_hist,post_publish_hist,fallback_details
2869331422113,PHASE_B,100315,63,SEAL,0,1,32,"","1","","0","","1","","64",0,0,0,"{}","{L0:1}",""
2869331424790,PHASE_B,100628,125,SEAL,0,2,32,"","2","","0","","1","","64",0,0,0,"{L0:1}","{L0:2}",""
2869331424804,PHASE_B,100628,125,MERGE_SUBMIT,0,2,32,"","","","","","","","",0,0,0,"{L0:2}","{L0:2}",""
2869331424817,PHASE_B,100630,125,MERGE_START,0,2,32,"[1,2]","","[0,0]","","[1,1]","","[64,64]","",8,0,0,"{L0:2}","{L0:2}",""
2869331424932,PHASE_B,100660,131,MERGE_DONE,0,0,0,"","3","","1","","2","","128",8,121,120,"","",""
2869331424941,PHASE_B,100664,131,MERGE_PUBLISH,0,1,32,"","3","","1","","2","","128",8,128,127,"{L0:2}","{L1:1}",""
2869331427541,PHASE_B,100962,190,SEAL,0,2,32,"","4","","0","","1","","64",0,0,0,"{L1:1}","{L0:1, L1:1}",""
2869331430265,PHASE_B,101269,253,SEAL,0,3,32,"","5","","0","","1","","64",0,0,0,"{L0:1, L1:1}","{L0:2, L1:1}",""
2869331430280,PHASE_B,101269,253,MERGE_SUBMIT,0,3,32,"","","","","","","","",0,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2869331430295,PHASE_B,101272,255,MERGE_START,0,3,32,"[4,5]","","[0,0]","","[1,1]","","[64,64]","",11,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2869331430405,PHASE_B,101297,259,MERGE_DONE,0,0,0,"","6","","1","","2","","128",11,114,114,"","",""
2869331430408,PHASE_B,101300,259,MERGE_PUBLISH,0,2,32,"","6","","1","","2","","128",11,117,117,"{L0:2, L1:1}","{L1:2}",""
2869331430414,PHASE_B,101300,259,MERGE_SUBMIT,3,2,32,"","","","","","","","",0,0,0,"{L1:2}","{L1:2}",""
2869331430470,PHASE_B,101304,260,MERGE_START,0,2,32,"[3,6]","","[1,1]","","[2,2]","","[128,128]","",39,0,0,"{L1:2}","{L1:2}",""
2869331430990,PHASE_B,101348,270,MERGE_DONE,0,0,0,"","7","","2","","4","","256",39,539,537,"","",""
2869331430995,PHASE_B,101348,270,MERGE_PUBLISH,0,1,32,"","7","","2","","4","","256",39,544,542,"{L1:2}","{L2:1}",""
2869331433384,PHASE_B,101598,319,SEAL,0,2,32,"","8","","0","","1","","64",0,0,0,"{L2:1}","{L0:1, L2:1}",""
2869331436237,PHASE_B,101920,383,SEAL,0,3,32,"","9","","0","","1","","64",0,0,0,"{L0:1, L2:1}","{L0:2, L2:1}",""
2869331436253,PHASE_B,101920,383,MERGE_SUBMIT,0,3,32,"","","","","","","","",0,0,0,"{L0:2, L2:1}","{L0:2, L2:1}",""
2869331436276,PHASE_B,101920,383,MERGE_START,0,3,32,"[8,9]","","[0,0]","","[1,1]","","[64,64]","",16,0,0,"{L0:2, L2:1}","{L0:2, L2:1}",""
2869331436498,PHASE_B,101941,385,MERGE_DONE,0,0,0,"","10","","1","","2","","128",16,228,228,"","",""
2869331436507,PHASE_B,101941,385,MERGE_PUBLISH,0,2,32,"","10","","1","","2","","128",16,235,235,"{L0:2, L2:1}","{L1:1, L2:1}",""
2869331439269,PHASE_B,102239,447,SEAL,0,3,32,"","11","","0","","1","","64",0,0,0,"{L1:1, L2:1}","{L0:1, L1:1, L2:1}",""
2869331442089,PHASE_B,102566,511,SEAL,0,4,32,"","12","","0","","1","","64",0,0,0,"{L0:1, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2869331442103,PHASE_B,102566,511,MERGE_SUBMIT,0,4,32,"","","","","","","","",0,0,0,"{L0:2, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
