monotonic_timestamp_us,phase,foreground_ops_completed,delete_ranges_issued,event_type,open_delta_size,sealed_run_count,hard_run_limit,input_run_ids,output_run_id,input_levels,output_level,input_chunks,output_chunk_count,input_tombstones,output_tombstone_count,merge_queue_wait_us,merge_wall_time_us,merge_cpu_time_us,pre_publish_hist,post_publish_hist,fallback_details
2874421537218,PHASE_B,100321,62,SEAL,0,1,32,"","1","","0","","1","","64",0,0,0,"{}","{L0:1}",""
2874421539966,PHASE_B,100638,127,SEAL,0,2,32,"","2","","0","","1","","64",0,0,0,"{L0:1}","{L0:2}",""
2874421539980,PHASE_B,100638,127,MERGE_SUBMIT,0,2,32,"","","","","","","","",0,0,0,"{L0:2}","{L0:2}",""
2874421539997,PHASE_B,100638,127,MERGE_START,0,2,32,"[1,2]","","[0,0]","","[1,1]","","[64,64]","",11,0,0,"{L0:2}","{L0:2}",""
2874421540142,PHASE_B,100655,131,MERGE_DONE,0,0,0,"","3","","1","","2","","128",11,151,150,"","",""
2874421540157,PHASE_B,100655,131,MERGE_PUBLISH,0,1,32,"","3","","1","","2","","128",11,166,165,"{L0:2}","{L1:1}",""
2874421543019,PHASE_B,100958,191,SEAL,0,2,32,"","4","","0","","1","","64",0,0,0,"{L1:1}","{L0:1, L1:1}",""
2874421545994,PHASE_B,101281,255,SEAL,0,3,32,"","5","","0","","1","","64",0,0,0,"{L0:1, L1:1}","{L0:2, L1:1}",""
2874421546012,PHASE_B,101281,255,MERGE_SUBMIT,0,3,32,"","","","","","","","",0,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2874421546032,PHASE_B,101281,255,MERGE_START,0,3,32,"[4,5]","","[0,0]","","[1,1]","","[64,64]","",13,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2874421546162,PHASE_B,101294,259,MERGE_DONE,0,0,0,"","6","","1","","2","","128",13,137,136,"","",""
2874421546168,PHASE_B,101295,259,MERGE_PUBLISH,0,2,32,"","6","","1","","2","","128",13,142,141,"{L0:2, L1:1}","{L1:2}",""
2874421546173,PHASE_B,101295,259,MERGE_SUBMIT,3,2,32,"","","","","","","","",0,0,0,"{L1:2}","{L1:2}",""
2874421546234,PHASE_B,101300,260,MERGE_START,0,2,32,"[3,6]","","[1,1]","","[2,2]","","[128,128]","",42,0,0,"{L1:2}","{L1:2}",""
2874421546884,PHASE_B,101363,270,MERGE_DONE,0,0,0,"","7","","2","","4","","256",42,667,666,"","",""
2874421546898,PHASE_B,101363,270,MERGE_PUBLISH,0,1,32,"","7","","2","","4","","256",42,678,677,"{L1:2}","{L2:1}",""
2874421549297,PHASE_B,101593,318,SEAL,0,2,32,"","8","","0","","1","","64",0,0,0,"{L2:1}","{L0:1, L2:1}",""
2874421552500,PHASE_B,101919,383,SEAL,0,3,32,"","9","","0","","1","","64",0,0,0,"{L0:1, L2:1}","{L0:2, L2:1}",""
2874421552514,PHASE_B,101919,383,MERGE_SUBMIT,0,3,32,"","","","","","","","",0,0,0,"{L0:2, L2:1}","{L0:2, L2:1}",""
2874421552583,PHASE_B,101930,385,MERGE_START,0,3,32,"[8,9]","","[0,0]","","[1,1]","","[64,64]","",46,0,0,"{L0:2, L2:1}","{L0:2, L2:1}",""
2874421552907,PHASE_B,101967,391,MERGE_DONE,0,0,0,"","10","","1","","2","","128",46,347,345,"","",""
2874421552921,PHASE_B,101972,394,MERGE_PUBLISH,0,2,32,"","10","","1","","2","","128",46,358,357,"{L0:2, L2:1}","{L1:1, L2:1}",""
2874421555600,PHASE_B,102241,447,SEAL,0,3,32,"","11","","0","","1","","64",0,0,0,"{L1:1, L2:1}","{L0:1, L1:1, L2:1}",""
2874421558724,PHASE_B,102554,510,SEAL,0,4,32,"","12","","0","","1","","64",0,0,0,"{L0:1, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2874421558741,PHASE_B,102554,510,MERGE_SUBMIT,0,4,32,"","","","","","","","",0,0,0,"{L0:2, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2874421558756,PHASE_B,102558,512,MERGE_START,0,4,32,"[11,12]","","[0,0]","","[1,1]","","[64,64]","",11,0,0,"{L0:2, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2874421558885,PHASE_B,102579,515,MERGE_DONE,0,0,0,"","13","","1","","2","","128",11,135,135,"","",""
2874421558892,PHASE_B,102580,515,MERGE_PUBLISH,0,3,32,"","13","","1","","2","","128",11,140,139,"{L0:2, L1:1, L2:1}","{L1:2, L2:1}",""
2874421558900,PHASE_B,102580,515,MERGE_SUBMIT,4,3,32,"","","","","","","","",0,0,0,"{L1:2, L2:1}","{L1:2, L2:1}",""
2874421558925,PHASE_B,102580,515,MERGE_START,0,3,32,"[10,13]","","[1,1]","","[2,2]","","[128,128]","",28,0,0,"{L1:2, L2:1}","{L1:2, L2:1}",""
2874421559211,PHASE_B,102614,521,MERGE_DONE,0,0,0,"","14","","2","","4","","256",28,288,288,"","",""
2874421559216,PHASE_B,102614,521,MERGE_PUBLISH,0,2,32,"","14","","2","","4","","256",28,291,291,"{L1:2, L2:1}","{L2:2}",""
2874421559221,PHASE_B,102615,521,MERGE_SUBMIT,9,2,32,"","","","","","","","",0,0,0,"{L2:2}","{L2:2}",""
2874421559242,PHASE_B,102615,521,MERGE_START,0,2,32,"[7,14]","","[2,2]","","[4,4]","","[256,256]","",9,0,0,"{L2:2}","{L2:2}",""
2874421559838,PHASE_B,102682,535,MERGE_DONE,0,0,0,"","15","","3","","8","","512",9,606,602,"","",""
