monotonic_timestamp_us,phase,foreground_ops_completed,delete_ranges_issued,event_type,open_delta_size,sealed_run_count,hard_run_limit,input_run_ids,output_run_id,input_levels,output_level,input_chunks,output_chunk_count,input_tombstones,output_tombstone_count,merge_queue_wait_us,merge_wall_time_us,merge_cpu_time_us,pre_publish_hist,post_publish_hist,fallback_details
2875352749594,PHASE_B,100639,127,SEAL,0,1,16,"","1","","0","","1","","128",0,0,0,"{}","{L0:1}",""
2875352755934,PHASE_B,101281,255,SEAL,0,2,16,"","2","","0","","1","","128",0,0,0,"{L0:1}","{L0:2}",""
2875352755952,PHASE_B,101281,255,MERGE_SUBMIT,0,2,16,"","","","","","","","",0,0,0,"{L0:2}","{L0:2}",""
2875352755964,PHASE_B,101283,256,MERGE_START,0,2,16,"[1,2]","","[0,0]","","[1,1]","","[128,128]","",9,0,0,"{L0:2}","{L0:2}",""
2875352756172,PHASE_B,101288,256,MERGE_DONE,0,0,0,"","3","","1","","2","","256",9,212,212,"","",""
2875352756177,PHASE_B,101288,256,MERGE_PUBLISH,0,1,16,"","3","","1","","2","","256",9,217,216,"{L0:2}","{L1:1}",""
2875352762925,PHASE_B,101924,383,SEAL,0,2,16,"","4","","0","","1","","128",0,0,0,"{L1:1}","{L0:1, L1:1}",""
2875352769895,PHASE_B,102556,510,SEAL,0,3,16,"","5","","0","","1","","128",0,0,0,"{L0:1, L1:1}","{L0:2, L1:1}",""
2875352769917,PHASE_B,102556,510,MERGE_SUBMIT,0,3,16,"","","","","","","","",0,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2875352770005,PHASE_B,102564,512,MERGE_START,0,3,16,"[4,5]","","[0,0]","","[1,1]","","[128,128]","",78,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2875352770189,PHASE_B,102592,517,MERGE_DONE,0,0,0,"","6","","1","","2","","256",78,196,195,"","",""
