monotonic_timestamp_us,phase,foreground_ops_completed,delete_ranges_issued,event_type,open_delta_size,sealed_run_count,hard_run_limit,input_run_ids,output_run_id,input_levels,output_level,input_chunks,output_chunk_count,input_tombstones,output_tombstone_count,merge_queue_wait_us,merge_wall_time_us,merge_cpu_time_us,pre_publish_hist,post_publish_hist,fallback_details
2875271241321,PHASE_B,100637,125,SEAL,0,1,16,"","1","","0","","1","","128",0,0,0,"{}","{L0:1}",""
2875271246860,PHASE_B,101276,255,SEAL,0,2,16,"","2","","0","","1","","128",0,0,0,"{L0:1}","{L0:2}",""
2875271246882,PHASE_B,101276,255,MERGE_SUBMIT,0,2,16,"","","","","","","","",0,0,0,"{L0:2}","{L0:2}",""
2875271246961,PHASE_B,101292,258,MERGE_START,0,2,16,"[1,2]","","[0,0]","","[1,1]","","[128,128]","",73,0,0,"{L0:2}","{L0:2}",""
2875271247158,PHASE_B,101320,262,MERGE_DONE,0,0,0,"","3","","1","","2","","256",73,204,203,"","",""
2875271247164,PHASE_B,101320,262,MERGE_PUBLISH,0,1,16,"","3","","1","","2","","256",73,210,209,"{L0:2}","{L1:1}",""
2875271252460,PHASE_B,101915,382,SEAL,0,2,16,"","4","","0","","1","","128",0,0,0,"{L1:1}","{L0:1, L1:1}",""
2875271258205,PHASE_B,102560,510,SEAL,0,3,16,"","5","","0","","1","","128",0,0,0,"{L0:1, L1:1}","{L0:2, L1:1}",""
2875271258222,PHASE_B,102560,510,MERGE_SUBMIT,0,3,16,"","","","","","","","",0,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2875271258239,PHASE_B,102560,510,MERGE_START,0,3,16,"[4,5]","","[0,0]","","[1,1]","","[128,128]","",13,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2875271258436,PHASE_B,102579,515,MERGE_DONE,0,0,0,"","6","","1","","2","","256",13,201,201,"","",""
2875271258448,PHASE_B,102584,517,MERGE_PUBLISH,0,2,16,"","6","","1","","2","","256",13,212,207,"{L0:2, L1:1}","{L1:2}",""
2875271258454,PHASE_B,102589,517,MERGE_SUBMIT,5,2,16,"","","","","","","","",0,0,0,"{L1:2}","{L1:2}",""
2875271258485,PHASE_B,102594,517,MERGE_START,0,2,16,"[3,6]","","[1,1]","","[2,2]","","[256,256]","",32,0,0,"{L1:2}","{L1:2}",""
2875271258906,PHASE_B,102646,530,MERGE_DONE,0,0,0,"","7","","2","","4","","512",32,421,421,"","",""
2875271258909,PHASE_B,102646,530,MERGE_PUBLISH,0,1,16,"","7","","2","","4","","512",32,425,425,"{L1:2}","{L2:1}",""
2875271264098,PHASE_B,103203,639,SEAL,0,2,16,"","8","","0","","1","","128",0,0,0,"{L2:1}","{L0:1, L2:1}",""
2875271269970,PHASE_B,103833,766,SEAL,0,3,16,"","9","","0","","1","","128",0,0,0,"{L0:1, L2:1}","{L0:2, L2:1}",""
2875271269989,PHASE_B,103833,766,MERGE_SUBMIT,0,3,16,"","","","","","","","",0,0,0,"{L0:2, L2:1}","{L0:2, L2:1}",""
2875271270008,PHASE_B,103833,766,MERGE_START,0,3,16,"[8,9]","","[0,0]","","[1,1]","","[128,128]","",11,0,0,"{L0:2, L2:1}","{L0:2, L2:1}",""
2875271270210,PHASE_B,103878,773,MERGE_DONE,0,0,0,"","10","","1","","2","","256",11,210,210,"","",""
2875271270214,PHASE_B,103878,773,MERGE_PUBLISH,0,2,16,"","10","","1","","2","","256",11,214,213,"{L0:2, L2:1}","{L1:1, L2:1}",""
2875271275872,PHASE_B,104477,894,SEAL,0,3,16,"","11","","0","","1","","128",0,0,0,"{L1:1, L2:1}","{L0:1, L1:1, L2:1}",""
2875271281556,PHASE_B,105119,1023,SEAL,0,4,16,"","12","","0","","1","","128",0,0,0,"{L0:1, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2875271281575,PHASE_B,105119,1023,MERGE_SUBMIT,0,4,16,"","","","","","","","",0,0,0,"{L0:2, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2875271281684,PHASE_B,105134,1025,MERGE_START,0,4,16,"[11,12]","","[0,0]","","[1,1]","","[128,128]","",87,0,0,"{L0:2, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2875271282177,PHASE_B,105208,1040,MERGE_DONE,0,0,0,"","13","","1","","2","","256",87,514,512,"","",""
2875271282195,PHASE_B,105215,1042,MERGE_PUBLISH,0,3,16,"","13","","1","","2","","256",87,530,524,"{L0:2, L1:1, L2:1}","{L1:2, L2:1}",""
2875271282202,PHASE_B,105217,1042,MERGE_SUBMIT,18,3,16,"","","","","","","","",0,0,0,"{L1:2, L2:1}","{L1:2, L2:1}",""
2875271282247,PHASE_B,105217,1042,MERGE_START,0,3,16,"[10,13]","","[1,1]","","[2,2]","","[256,256]","",46,0,0,"{L1:2, L2:1}","{L1:2, L2:1}",""
