monotonic_timestamp_us,phase,foreground_ops_completed,delete_ranges_issued,event_type,open_delta_size,sealed_run_count,hard_run_limit,input_run_ids,output_run_id,input_levels,output_level,input_chunks,output_chunk_count,input_tombstones,output_tombstone_count,merge_queue_wait_us,merge_wall_time_us,merge_cpu_time_us,pre_publish_hist,post_publish_hist,fallback_details
2874333190586,PHASE_B,100638,127,SEAL,0,1,16,"","1","","0","","1","","128",0,0,0,"{}","{L0:1}",""
2874333197961,PHASE_B,101278,255,SEAL,0,2,16,"","2","","0","","1","","128",0,0,0,"{L0:1}","{L0:2}",""
2874333197996,PHASE_B,101278,255,MERGE_SUBMIT,0,2,16,"","","","","","","","",0,0,0,"{L0:2}","{L0:2}",""
2874333198016,PHASE_B,101278,255,MERGE_START,0,2,16,"[1,2]","","[0,0]","","[1,1]","","[128,128]","",16,0,0,"{L0:2}","{L0:2}",""
2874333198301,PHASE_B,101309,262,MERGE_DONE,0,0,0,"","3","","1","","2","","256",16,291,290,"","",""
2874333198318,PHASE_B,101309,262,MERGE_PUBLISH,0,1,16,"","3","","1","","2","","256",16,307,301,"{L0:2}","{L1:1}",""
2874333205895,PHASE_B,101920,383,SEAL,0,2,16,"","4","","0","","1","","128",0,0,0,"{L1:1}","{L0:1, L1:1}",""
2874333213711,PHASE_B,102564,511,SEAL,0,3,16,"","5","","0","","1","","128",0,0,0,"{L0:1, L1:1}","{L0:2, L1:1}",""
2874333213738,PHASE_B,102564,511,MERGE_SUBMIT,0,3,16,"","","","","","","","",0,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2874333213757,PHASE_B,102564,511,MERGE_START,0,3,16,"[4,5]","","[0,0]","","[1,1]","","[128,128]","",14,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2874333214050,PHASE_B,102589,515,MERGE_DONE,0,0,0,"","6","","1","","2","","256",14,299,298,"","",""
2874333214055,PHASE_B,102589,515,MERGE_PUBLISH,0,2,16,"","6","","1","","2","","256",14,304,303,"{L0:2, L1:1}","{L1:2}",""
2874333214061,PHASE_B,102589,515,MERGE_SUBMIT,5,2,16,"","","","","","","","",0,0,0,"{L1:2}","{L1:2}",""
2874333214082,PHASE_B,102589,515,MERGE_START,0,2,16,"[3,6]","","[1,1]","","[2,2]","","[256,256]","",15,0,0,"{L1:2}","{L1:2}",""
2874333214714,PHASE_B,102633,526,MERGE_DONE,0,0,0,"","7","","2","","4","","512",15,638,638,"","",""
2874333214721,PHASE_B,102634,527,MERGE_PUBLISH,0,1,16,"","7","","2","","4","","512",15,644,643,"{L1:2}","{L2:1}",""
2874333221675,PHASE_B,103201,638,SEAL,0,2,16,"","8","","0","","1","","128",0,0,0,"{L2:1}","{L0:1, L2:1}",""
2874333229301,PHASE_B,103841,766,SEAL,0,3,16,"","9","","0","","1","","128",0,0,0,"{L0:1, L2:1}","{L0:2, L2:1}",""
2874333229329,PHASE_B,103841,766,MERGE_SUBMIT,0,3,16,"","","","","","","","",0,0,0,"{L0:2, L2:1}","{L0:2, L2:1}",""
2874333229459,PHASE_B,103846,768,MERGE_START,0,3,16,"[8,9]","","[0,0]","","[1,1]","","[128,128]","",111,0,0,"{L0:2, L2:1}","{L0:2, L2:1}",""
2874333229875,PHASE_B,103905,778,MERGE_DONE,0,0,0,"","10","","1","","2","","256",111,435,434,"","",""
2874333229881,PHASE_B,103905,778,MERGE_PUBLISH,0,2,16,"","10","","1","","2","","256",111,442,440,"{L0:2, L2:1}","{L1:1, L2:1}",""
2874333236811,PHASE_B,104481,893,SEAL,0,3,16,"","11","","0","","1","","128",0,0,0,"{L1:1, L2:1}","{L0:1, L1:1, L2:1}",""
2874333244323,PHASE_B,105117,1022,SEAL,0,4,16,"","12","","0","","1","","128",0,0,0,"{L0:1, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2874333244346,PHASE_B,105117,1022,MERGE_SUBMIT,0,4,16,"","","","","","","","",0,0,0,"{L0:2, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2874333244453,PHASE_B,105127,1026,MERGE_START,0,4,16,"[11,12]","","[0,0]","","[1,1]","","[128,128]","",86,0,0,"{L0:2, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2874333244999,PHASE_B,105196,1038,MERGE_DONE,0,0,0,"","13","","1","","2","","256",86,566,565,"","",""
2874333245031,PHASE_B,105196,1038,MERGE_PUBLISH,0,3,16,"","13","","1","","2","","256",86,593,592,"{L0:2, L1:1, L2:1}","{L1:2, L2:1}",""
2874333245050,PHASE_B,105196,1038,MERGE_SUBMIT,15,3,16,"","","","","","","","",0,0,0,"{L1:2, L2:1}","{L1:2, L2:1}",""
2874333245103,PHASE_B,105196,1038,MERGE_START,0,3,16,"[10,13]","","[1,1]","","[2,2]","","[256,256]","",56,0,0,"{L1:2, L2:1}","{L1:2, L2:1}",""
2874333245623,PHASE_B,105260,1050,MERGE_DONE,0,0,0,"","14","","2","","4","","512",56,524,523,"","",""
2874333245741,PHASE_B,105273,1053,MERGE_PUBLISH,0,2,16,"","14","","2","","4","","512",56,628,563,"{L1:2, L2:1}","{L2:2}",""
