worker_id,phase_id,phase_name,get_count,put_count,del_count,mat_count,mat_nanos,lock_attempt_count,lock_contended_count,lock_wait_nanos,cache_inv_count,probe_gets,probed_runs_sum,probed_runs_max,open_delta_sum,open_delta_max
0,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
1,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
2,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
3,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
4,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
5,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
6,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
7,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
0,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6250,32866,20,192913,63
1,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6247,32704,20,199710,63
2,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6249,32646,20,197925,63
3,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6250,32685,20,197626,63
4,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6250,32722,20,197319,63
5,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6250,33224,20,196667,63
6,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6249,32874,20,196910,63
7,1,PHASE_B,6250,3750,2500,0,0,0,0,0,2500,6248,32593,20,196849,63
0,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,45057,5,360000,32
1,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,45062,5,360000,32
2,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,45059,5,360000,32
3,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,45052,5,360000,32
4,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,45072,5,360000,32
5,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,45070,5,360000,32
6,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,45070,5,360000,32
7,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,11250,45075,5,360000,32
