monotonic_timestamp_us,phase,foreground_ops_completed,delete_ranges_issued,event_type,open_delta_size,sealed_run_count,hard_run_limit,input_run_ids,output_run_id,input_levels,output_level,input_chunks,output_chunk_count,input_tombstones,output_tombstone_count,merge_queue_wait_us,merge_wall_time_us,merge_cpu_time_us,pre_publish_hist,post_publish_hist,fallback_details
2973117887815,PHASE_B,100310,61,SEAL,0,1,32,"","1","","0","","1","","64",0,0,0,"{}","{L0:1}",""
2973117890503,PHASE_B,100640,127,SEAL,0,2,32,"","2","","0","","1","","64",0,0,0,"{L0:1}","{L0:2}",""
2973117890518,PHASE_B,100640,127,MERGE_SUBMIT,0,2,32,"","","","","","","","",0,0,0,"{L0:2}","{L0:2}",""
2973117890565,PHASE_B,100640,127,MERGE_START,0,2,32,"[1,2]","","[0,0]","","[1,1]","","[64,64]","",28,0,0,"{L0:2}","{L0:2}",""
2973117890739,PHASE_B,100674,134,MERGE_DONE,0,0,0,"","3","","1","","2","","128",28,193,191,"","",""
2973117890756,PHASE_B,100674,134,MERGE_PUBLISH,0,1,32,"","3","","1","","2","","128",28,210,203,"{L0:2}","{L1:1}",""
2973117893149,PHASE_B,100962,190,SEAL,0,2,32,"","4","","0","","1","","64",0,0,0,"{L1:1}","{L0:1, L1:1}",""
2973117895791,PHASE_B,101281,255,SEAL,0,3,32,"","5","","0","","1","","64",0,0,0,"{L0:1, L1:1}","{L0:2, L1:1}",""
2973117895805,PHASE_B,101281,255,MERGE_SUBMIT,0,3,32,"","","","","","","","",0,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2973117895943,PHASE_B,101298,259,MERGE_START,0,3,32,"[4,5]","","[0,0]","","[1,1]","","[64,64]","",107,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2973117896066,PHASE_B,101313,262,MERGE_DONE,0,0,0,"","6","","1","","2","","128",107,155,153,"","",""
2973117896071,PHASE_B,101313,262,MERGE_PUBLISH,0,2,32,"","6","","1","","2","","128",107,160,158,"{L0:2, L1:1}","{L1:2}",""
2973117896079,PHASE_B,101313,262,MERGE_SUBMIT,7,2,32,"","","","","","","","",0,0,0,"{L1:2}","{L1:2}",""
2973117896096,PHASE_B,101317,264,MERGE_START,0,2,32,"[3,6]","","[1,1]","","[2,2]","","[128,128]","",13,0,0,"{L1:2}","{L1:2}",""
2973117896294,PHASE_B,101344,269,MERGE_DONE,0,0,0,"","7","","2","","4","","256",13,203,203,"","",""
2973117896298,PHASE_B,101345,269,MERGE_PUBLISH,0,1,32,"","7","","2","","4","","256",13,207,207,"{L1:2}","{L2:1}",""
2973117898572,PHASE_B,101598,319,SEAL,0,2,32,"","8","","0","","1","","64",0,0,0,"{L2:1}","{L0:1, L2:1}",""
2973117901238,PHASE_B,101923,383,SEAL,0,3,32,"","9","","0","","1","","64",0,0,0,"{L0:1, L2:1}","{L0:2, L2:1}",""
2973117901251,PHASE_B,101923,383,MERGE_SUBMIT,0,3,32,"","","","","","","","",0,0,0,"{L0:2, L2:1}","{L0:2, L2:1}",""
2973117901266,PHASE_B,101923,383,MERGE_START,0,3,32,"[8,9]","","[0,0]","","[1,1]","","[64,64]","",11,0,0,"{L0:2, L2:1}","{L0:2, L2:1}",""
2973117901378,PHASE_B,101938,387,MERGE_DONE,0,0,0,"","10","","1","","2","","128",11,116,116,"","",""
2973117901384,PHASE_B,101938,387,MERGE_PUBLISH,0,2,32,"","10","","1","","2","","128",11,122,121,"{L0:2, L2:1}","{L1:1, L2:1}",""
2973117903962,PHASE_B,102244,446,SEAL,0,3,32,"","11","","0","","1","","64",0,0,0,"{L1:1, L2:1}","{L0:1, L1:1, L2:1}",""
2973117906673,PHASE_B,102569,511,SEAL,0,4,32,"","12","","0","","1","","64",0,0,0,"{L0:1, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2973117906686,PHASE_B,102569,511,MERGE_SUBMIT,0,4,32,"","","","","","","","",0,0,0,"{L0:2, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2973117906738,PHASE_B,102574,513,MERGE_START,0,4,32,"[11,12]","","[0,0]","","[1,1]","","[64,64]","",30,0,0,"{L0:2, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2973117907028,PHASE_B,102574,513,MERGE_DONE,0,0,0,"","13","","1","","2","","128",30,310,309,"","",""
2973117907035,PHASE_B,102574,513,MERGE_DISCARD,0,4,32,"","","","","","","","",30,316,0,"{L0:2, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2973117909645,PHASE_B,102884,575,SEAL,0,1,32,"","1","","0","","1","","64",0,0,0,"{}","{L0:1}",""
2973117912336,PHASE_B,103201,638,SEAL,0,2,32,"","2","","0","","1","","64",0,0,0,"{L0:1}","{L0:2}",""
2973117912350,PHASE_B,103201,638,MERGE_SUBMIT,0,2,32,"","","","","","","","",0,0,0,"{L0:2}","{L0:2}",""
2973117912462,PHASE_B,103219,644,MERGE_START,0,2,32,"[1,2]","","[0,0]","","[1,1]","","[64,64]","",93,0,0,"{L0:2}","{L0:2}",""
2973117912725,PHASE_B,103258,652,MERGE_DONE,0,0,0,"","3","","1","","2","","128",93,281,280,"","",""
2973117912748,PHASE_B,103264,652,MERGE_PUBLISH,0,1,32,"","3","","1","","2","","128",93,304,302,"{L0:2}","{L1:1}",""
2973117914997,PHASE_B,103525,704,SEAL,0,2,32,"","4","","0","","1","","64",0,0,0,"{L1:1}","{L0:1, L1:1}",""
2973117917706,PHASE_B,103842,767,SEAL,0,3,32,"","5","","0","","1","","64",0,0,0,"{L0:1, L1:1}","{L0:2, L1:1}",""
2973117917719,PHASE_B,103842,767,MERGE_SUBMIT,0,3,32,"","","","","","","","",0,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2973117917730,PHASE_B,103845,769,MERGE_START,0,3,32,"[4,5]","","[0,0]","","[1,1]","","[64,64]","",9,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2973117917832,PHASE_B,103852,769,MERGE_DONE,0,0,0,"","6","","1","","2","","128",9,106,105,"","",""
2973117917836,PHASE_B,103852,769,MERGE_PUBLISH,0,2,32,"","6","","1","","2","","128",9,109,108,"{L0:2, L1:1}","{L1:2}",""
2973117917843,PHASE_B,103852,769,MERGE_SUBMIT,0,2,32,"","","","","","","","",0,0,0,"{L1:2}","{L1:2}",""
2973117917854,PHASE_B,103852,769,MERGE_START,0,2,32,"[3,6]","","[1,1]","","[2,2]","","[128,128]","",9,0,0,"{L1:2}","{L1:2}",""
2973117918114,PHASE_B,103859,770,MERGE_DONE,0,0,0,"","7","","2","","4","","256",9,263,263,"","",""
2973117918134,PHASE_B,103860,770,MERGE_PUBLISH,0,1,32,"","7","","2","","4","","256",9,283,272,"{L1:2}","{L2:1}",""
2973117920892,PHASE_B,104156,830,SEAL,0,2,32,"","8","","0","","1","","64",0,0,0,"{L2:1}","{L0:1, L2:1}",""
2973117923697,PHASE_B,104493,896,SEAL,0,3,32,"","9","","0","","1","","64",0,0,0,"{L0:1, L2:1}","{L0:2, L2:1}",""
2973117923710,PHASE_B,104493,896,MERGE_SUBMIT,0,3,32,"","","","","","","","",0,0,0,"{L0:2, L2:1}","{L0:2, L2:1}",""
2973117923733,PHASE_B,104493,896,MERGE_START,0,3,32,"[8,9]","","[0,0]","","[1,1]","","[64,64]","",14,0,0,"{L0:2, L2:1}","{L0:2, L2:1}",""
2973117923993,PHASE_B,104531,905,MERGE_DONE,0,0,0,"","10","","1","","2","","128",14,269,268,"","",""
2973117924037,PHASE_B,104537,906,MERGE_PUBLISH,0,2,32,"","10","","1","","2","","128",14,308,308,"{L0:2, L2:1}","{L1:1, L2:1}",""
2973117926548,PHASE_B,104803,959,SEAL,0,3,32,"","11","","0","","1","","64",0,0,0,"{L1:1, L2:1}","{L0:1, L1:1, L2:1}",""
2973117929352,PHASE_B,105132,1024,SEAL,0,4,32,"","12","","0","","1","","64",0,0,0,"{L0:1, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2973117929367,PHASE_B,105132,1024,MERGE_SUBMIT,0,4,32,"","","","","","","","",0,0,0,"{L0:2, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2973117929419,PHASE_B,105132,1024,MERGE_START,0,4,32,"[11,12]","","[0,0]","","[1,1]","","[64,64]","",30,0,0,"{L0:2, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2973117929733,PHASE_B,105142,1028,MERGE_DONE,0,0,0,"","13","","1","","2","","128",30,334,333,"","",""
2973117929740,PHASE_B,105142,1028,MERGE_DISCARD,0,4,32,"","","","","","","","",30,341,0,"{L0:2, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2973117932629,PHASE_B,105463,1090,SEAL,0,1,32,"","1","","0","","1","","64",0,0,0,"{}","{L0:1}",""
2973117935444,PHASE_B,105778,1155,SEAL,0,2,32,"","2","","0","","1","","64",0,0,0,"{L0:1}","{L0:2}",""
2973117935455,PHASE_B,105778,1155,MERGE_SUBMIT,0,2,32,"","","","","","","","",0,0,0,"{L0:2}","{L0:2}",""
2973117935574,PHASE_B,105793,1158,MERGE_START,0,2,32,"[1,2]","","[0,0]","","[1,1]","","[64,64]","",95,0,0,"{L0:2}","{L0:2}",""
2973117935704,PHASE_B,105809,1162,MERGE_DONE,0,0,0,"","3","","1","","2","","128",95,154,152,"","",""
2973117935717,PHASE_B,105809,1162,MERGE_PUBLISH,0,1,32,"","3","","1","","2","","128",95,167,160,"{L0:2}","{L1:1}",""
2973117938825,PHASE_B,106101,1219,SEAL,0,2,32,"","4","","0","","1","","64",0,0,0,"{L1:1}","{L0:1, L1:1}",""
2973117941651,PHASE_B,106412,1282,SEAL,0,3,32,"","5","","0","","1","","64",0,0,0,"{L0:1, L1:1}","{L0:2, L1:1}",""
2973117941665,PHASE_B,106412,1282,MERGE_SUBMIT,0,3,32,"","","","","","","","",0,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2973117941707,PHASE_B,106414,1284,MERGE_START,0,3,32,"[4,5]","","[0,0]","","[1,1]","","[64,64]","",20,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2973117941979,PHASE_B,106456,1291,MERGE_DONE,0,0,0,"","6","","1","","2","","128",20,293,286,"","",""
2973117941986,PHASE_B,106456,1291,MERGE_PUBLISH,0,2,32,"","6","","1","","2","","128",20,299,292,"{L0:2, L1:1}","{L1:2}",""
2973117941995,PHASE_B,106456,1291,MERGE_SUBMIT,8,2,32,"","","","","","","","",0,0,0,"{L1:2}","{L1:2}",""
2973117942045,PHASE_B,106466,1293,MERGE_START,0,2,32,"[3,6]","","[1,1]","","[2,2]","","[128,128]","",51,0,0,"{L1:2}","{L1:2}",""
2973117942528,PHASE_B,106523,1303,MERGE_DONE,0,0,0,"","7","","2","","4","","256",51,485,485,"","",""
