worker_id,phase_id,phase_name,get_count,put_count,del_count,mat_count,mat_nanos,lock_attempt_count,lock_contended_count,lock_wait_nanos,cache_inv_count,probe_gets,probed_runs_sum,probed_runs_max,open_delta_sum,open_delta_max
0,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
1,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
2,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
3,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
4,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
5,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
6,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
7,0,PHASE_A,10000,2500,0,0,0,0,0,0,0,0,0,0,0,0
0,1,PHASE_B,6250,3750,2500,1856,403788916,5468,3609,649082327,2500,0,0,0,0,0
1,1,PHASE_B,6250,3750,2500,1909,443166611,5495,3586,627402884,2500,0,0,0,0,0
2,1,PHASE_B,6250,3750,2500,1834,428518155,5415,3580,632192196,2500,0,0,0,0,0
3,1,PHASE_B,6250,3750,2500,1924,361828620,5435,3511,629581944,2500,0,0,0,0,0
4,1,PHASE_B,6250,3750,2500,2259,277401311,5316,3057,588836383,2500,0,0,0,0,0
5,1,PHASE_B,6250,3750,2500,1862,411860528,5443,3580,646751813,2500,0,0,0,0,0
6,1,PHASE_B,6250,3750,2500,2149,318785750,5419,3270,611997197,2500,0,0,0,0,0
7,1,PHASE_B,6250,3750,2500,1703,429399451,5379,3676,653954730,2500,0,0,0,0,0
0,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
1,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
2,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
3,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
4,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
5,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
6,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
7,2,PHASE_C,11250,1250,0,0,0,0,0,0,0,0,0,0,0,0
