monotonic_timestamp_us,phase,foreground_ops_completed,delete_ranges_issued,event_type,open_delta_size,sealed_run_count,hard_run_limit,input_run_ids,output_run_id,input_levels,output_level,input_chunks,output_chunk_count,input_tombstones,output_tombstone_count,merge_queue_wait_us,merge_wall_time_us,merge_cpu_time_us,pre_publish_hist,post_publish_hist,fallback_details
2977795439806,PHASE_B,100314,63,SEAL,0,1,32,"","1","","0","","1","","64",0,0,0,"{}","{L0:1}",""
2977795442209,PHASE_B,100630,125,SEAL,0,2,32,"","2","","0","","1","","64",0,0,0,"{L0:1}","{L0:2}",""
2977795442221,PHASE_B,100630,125,MERGE_SUBMIT,0,2,32,"","","","","","","","",0,0,0,"{L0:2}","{L0:2}",""
2977795442240,PHASE_B,100630,125,MERGE_START,0,2,32,"[1,2]","","[0,0]","","[1,1]","","[64,64]","",16,0,0,"{L0:2}","{L0:2}",""
2977795442360,PHASE_B,100658,131,MERGE_DONE,0,0,0,"","3","","1","","2","","128",16,124,122,"","",""
2977795442367,PHASE_B,100659,131,MERGE_PUBLISH,0,1,32,"","3","","1","","2","","128",16,131,129,"{L0:2}","{L1:1}",""
2977795444883,PHASE_B,100964,191,SEAL,0,2,32,"","4","","0","","1","","64",0,0,0,"{L1:1}","{L0:1, L1:1}",""
2977795447369,PHASE_B,101281,255,SEAL,0,3,32,"","5","","0","","1","","64",0,0,0,"{L0:1, L1:1}","{L0:2, L1:1}",""
2977795447383,PHASE_B,101281,255,MERGE_SUBMIT,0,3,32,"","","","","","","","",0,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2977795447453,PHASE_B,101292,257,MERGE_START,0,3,32,"[4,5]","","[0,0]","","[1,1]","","[64,64]","",50,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2977795447776,PHASE_B,101338,267,MERGE_DONE,0,0,0,"","6","","1","","2","","128",50,344,343,"","",""
2977795447784,PHASE_B,101344,267,MERGE_PUBLISH,0,2,32,"","6","","1","","2","","128",50,351,349,"{L0:2, L1:1}","{L1:2}",""
2977795447794,PHASE_B,101347,267,MERGE_SUBMIT,11,2,32,"","","","","","","","",0,0,0,"{L1:2}","{L1:2}",""
2977795447865,PHASE_B,101349,268,MERGE_START,0,2,32,"[3,6]","","[1,1]","","[2,2]","","[128,128]","",55,0,0,"{L1:2}","{L1:2}",""
2977795448429,PHASE_B,101420,283,MERGE_DONE,0,0,0,"","7","","2","","4","","256",55,583,582,"","",""
2977795448435,PHASE_B,101425,285,MERGE_PUBLISH,0,1,32,"","7","","2","","4","","256",55,589,587,"{L1:2}","{L2:1}",""
2977795449972,PHASE_B,101601,319,SEAL,0,2,32,"","8","","0","","1","","64",0,0,0,"{L2:1}","{L0:1, L2:1}",""
2977795452616,PHASE_B,101917,381,SEAL,0,3,32,"","9","","0","","1","","64",0,0,0,"{L0:1, L2:1}","{L0:2, L2:1}",""
2977795452635,PHASE_B,101917,381,MERGE_SUBMIT,0,3,32,"","","","","","","","",0,0,0,"{L0:2, L2:1}","{L0:2, L2:1}",""
2977795452651,PHASE_B,101921,384,MERGE_START,0,3,32,"[8,9]","","[0,0]","","[1,1]","","[64,64]","",13,0,0,"{L0:2, L2:1}","{L0:2, L2:1}",""
2977795452753,PHASE_B,101925,384,MERGE_DONE,0,0,0,"","10","","1","","2","","128",13,108,107,"","",""
2977795452757,PHASE_B,101925,384,MERGE_PUBLISH,0,2,32,"","10","","1","","2","","128",13,111,110,"{L0:2, L2:1}","{L1:1, L2:1}",""
2977795455360,PHASE_B,102239,446,SEAL,0,3,32,"","11","","0","","1","","64",0,0,0,"{L1:1, L2:1}","{L0:1, L1:1, L2:1}",""
2977795457945,PHASE_B,102562,511,SEAL,0,4,32,"","12","","0","","1","","64",0,0,0,"{L0:1, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2977795457957,PHASE_B,102562,511,MERGE_SUBMIT,0,4,32,"","","","","","","","",0,0,0,"{L0:2, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2977795458037,PHASE_B,102567,514,MERGE_START,0,4,32,"[11,12]","","[0,0]","","[1,1]","","[64,64]","",76,0,0,"{L0:2, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2977795458113,PHASE_B,102573,514,MERGE_DONE,0,0,0,"","13","","1","","2","","128",76,81,80,"","",""
2977795458117,PHASE_B,102573,514,MERGE_PUBLISH,0,3,32,"","13","","1","","2","","128",76,84,84,"{L0:2, L1:1, L2:1}","{L1:2, L2:1}",""
2977795458122,PHASE_B,102573,514,MERGE_SUBMIT,2,3,32,"","","","","","","","",0,0,0,"{L1:2, L2:1}","{L1:2, L2:1}",""
2977795458176,PHASE_B,102573,514,MERGE_START,0,3,32,"[10,13]","","[1,1]","","[2,2]","","[128,128]","",33,0,0,"{L1:2, L2:1}","{L1:2, L2:1}",""
2977795458815,PHASE_B,102643,527,MERGE_DONE,0,0,0,"","14","","2","","4","","256",33,656,656,"","",""
2977795458822,PHASE_B,102646,527,MERGE_DISCARD,0,3,32,"","","","","","","","",33,666,0,"{L1:2, L2:1}","{L1:2, L2:1}",""
2977795460765,PHASE_B,102891,577,SEAL,0,1,32,"","1","","0","","1","","64",0,0,0,"{}","{L0:1}",""
2977795463368,PHASE_B,103213,640,SEAL,0,2,32,"","2","","0","","1","","64",0,0,0,"{L0:1}","{L0:2}",""
2977795463379,PHASE_B,103213,640,MERGE_SUBMIT,0,2,32,"","","","","","","","",0,0,0,"{L0:2}","{L0:2}",""
2977795463398,PHASE_B,103213,640,MERGE_START,0,2,32,"[1,2]","","[0,0]","","[1,1]","","[64,64]","",13,0,0,"{L0:2}","{L0:2}",""
2977795463540,PHASE_B,103235,647,MERGE_DONE,0,0,0,"","3","","1","","2","","128",13,147,147,"","",""
2977795463544,PHASE_B,103236,647,MERGE_PUBLISH,0,1,32,"","3","","1","","2","","128",13,151,151,"{L0:2}","{L1:1}",""
2977795465963,PHASE_B,103526,705,SEAL,0,2,32,"","4","","0","","1","","64",0,0,0,"{L1:1}","{L0:1, L1:1}",""
2977795468537,PHASE_B,103850,769,SEAL,0,3,32,"","5","","0","","1","","64",0,0,0,"{L0:1, L1:1}","{L0:2, L1:1}",""
2977795468549,PHASE_B,103850,769,MERGE_SUBMIT,0,3,32,"","","","","","","","",0,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2977795468651,PHASE_B,103861,772,MERGE_START,0,3,32,"[4,5]","","[0,0]","","[1,1]","","[64,64]","",82,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2977795468997,PHASE_B,103916,782,MERGE_DONE,0,0,0,"","6","","1","","2","","128",82,362,361,"","",""
2977795469030,PHASE_B,103916,782,MERGE_PUBLISH,0,2,32,"","6","","1","","2","","128",82,393,392,"{L0:2, L1:1}","{L1:2}",""
2977795469051,PHASE_B,103920,785,MERGE_SUBMIT,14,2,32,"","","","","","","","",0,0,0,"{L1:2}","{L1:2}",""
2977795469113,PHASE_B,103931,786,MERGE_START,0,2,32,"[3,6]","","[1,1]","","[2,2]","","[128,128]","",70,0,0,"{L1:2}","{L1:2}",""
2977795469345,PHASE_B,103971,792,MERGE_DONE,0,0,0,"","7","","2","","4","","256",70,233,233,"","",""
2977795469353,PHASE_B,103972,792,MERGE_PUBLISH,0,1,32,"","7","","2","","4","","256",70,240,240,"{L1:2}","{L2:1}",""
2977795471145,PHASE_B,104178,833,SEAL,0,2,32,"","8","","0","","1","","64",0,0,0,"{L2:1}","{L0:1, L2:1}",""
2977795473743,PHASE_B,104482,896,SEAL,0,3,32,"","9","","0","","1","","64",0,0,0,"{L0:1, L2:1}","{L0:2, L2:1}",""
2977795473753,PHASE_B,104482,896,MERGE_SUBMIT,0,3,32,"","","","","","","","",0,0,0,"{L0:2, L2:1}","{L0:2, L2:1}",""
