monotonic_timestamp_us,phase,foreground_ops_completed,delete_ranges_issued,event_type,open_delta_size,sealed_run_count,hard_run_limit,input_run_ids,output_run_id,input_levels,output_level,input_chunks,output_chunk_count,input_tombstones,output_tombstone_count,merge_queue_wait_us,merge_wall_time_us,merge_cpu_time_us,pre_publish_hist,post_publish_hist,fallback_details
2977781336994,PHASE_B,100321,63,SEAL,0,1,32,"","1","","0","","1","","64",0,0,0,"{}","{L0:1}",""
2977781339432,PHASE_B,100627,126,SEAL,0,2,32,"","2","","0","","1","","64",0,0,0,"{L0:1}","{L0:2}",""
2977781339446,PHASE_B,100627,126,MERGE_SUBMIT,0,2,32,"","","","","","","","",0,0,0,"{L0:2}","{L0:2}",""
2977781339460,PHASE_B,100632,128,MERGE_START,0,2,32,"[1,2]","","[0,0]","","[1,1]","","[64,64]","",9,0,0,"{L0:2}","{L0:2}",""
2977781339566,PHASE_B,100659,130,MERGE_DONE,0,0,0,"","3","","1","","2","","128",9,112,111,"","",""
2977781339573,PHASE_B,100659,130,MERGE_PUBLISH,0,1,32,"","3","","1","","2","","128",9,119,117,"{L0:2}","{L1:1}",""
2977781342020,PHASE_B,100963,191,SEAL,0,2,32,"","4","","0","","1","","64",0,0,0,"{L1:1}","{L0:1, L1:1}",""
2977781344423,PHASE_B,101279,255,SEAL,0,3,32,"","5","","0","","1","","64",0,0,0,"{L0:1, L1:1}","{L0:2, L1:1}",""
2977781344435,PHASE_B,101279,255,MERGE_SUBMIT,0,3,32,"","","","","","","","",0,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2977781344451,PHASE_B,101282,256,MERGE_START,0,3,32,"[4,5]","","[0,0]","","[1,1]","","[64,64]","",12,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2977781344553,PHASE_B,101303,259,MERGE_DONE,0,0,0,"","6","","1","","2","","128",12,107,107,"","",""
2977781344557,PHASE_B,101303,259,MERGE_PUBLISH,0,2,32,"","6","","1","","2","","128",12,110,110,"{L0:2, L1:1}","{L1:2}",""
2977781344563,PHASE_B,101304,259,MERGE_SUBMIT,3,2,32,"","","","","","","","",0,0,0,"{L1:2}","{L1:2}",""
2977781344578,PHASE_B,101304,259,MERGE_START,0,2,32,"[3,6]","","[1,1]","","[2,2]","","[128,128]","",12,0,0,"{L1:2}","{L1:2}",""
2977781344771,PHASE_B,101320,263,MERGE_DONE,0,0,0,"","7","","2","","4","","256",12,197,196,"","",""
2977781344775,PHASE_B,101320,263,MERGE_PUBLISH,0,1,32,"","7","","2","","4","","256",12,201,200,"{L1:2}","{L2:1}",""
2977781347328,PHASE_B,101601,319,SEAL,0,2,32,"","8","","0","","1","","64",0,0,0,"{L2:1}","{L0:1, L2:1}",""
