config,rep,generation,range_deletions,cumulative_flushed_tombstones,flush_reason,is_active_generation
Native-T512,1,1,512,512,Memtable Max Range Deletions,False
Native-T512,1,2,513,1025,Memtable Max Range Deletions,False
Native-T512,1,3,516,1541,Memtable Max Range Deletions,False
Native-T512,1,4,513,2054,Memtable Max Range Deletions,False
Native-T512,1,5,512,2566,Memtable Max Range Deletions,False
Native-T512,1,6,512,3078,Memtable Max Range Deletions,False
Native-T512,1,7,513,3591,Memtable Max Range Deletions,False
Native-T512,1,8,513,4104,Memtable Max Range Deletions,False
Native-T512,1,9,512,4616,Memtable Max Range Deletions,False
Native-T512,1,10,512,5128,Memtable Max Range Deletions,False
Native-T512,1,11,512,5640,Memtable Max Range Deletions,False
Native-T512,1,12,512,6152,Memtable Max Range Deletions,False
Native-T512,1,13,512,6664,Memtable Max Range Deletions,False
Native-T512,1,14,512,7176,Memtable Max Range Deletions,False
Native-T512,1,15,512,7688,Memtable Max Range Deletions,False
Native-T512,1,16,513,8201,Memtable Max Range Deletions,False
Native-T512,1,17,512,8713,Memtable Max Range Deletions,False
Native-T512,1,18,513,9226,Memtable Max Range Deletions,False
Native-T512,1,19,513,9739,Memtable Max Range Deletions,False
Native-T512,1,20,512,10251,Memtable Max Range Deletions,False
Native-T512,1,21,513,10764,Memtable Max Range Deletions,False
Native-T512,1,22,512,11276,Memtable Max Range Deletions,False
Native-T512,1,23,513,11789,Memtable Max Range Deletions,False
Native-T512,1,24,512,12301,Memtable Max Range Deletions,False
Native-T512,1,25,512,12813,Memtable Max Range Deletions,False
Native-T512,1,26,512,13325,Memtable Max Range Deletions,False
Native-T512,1,27,512,13837,Memtable Max Range Deletions,False
Native-T512,1,28,513,14350,Memtable Max Range Deletions,False
Native-T512,1,29,512,14862,Memtable Max Range Deletions,False
Native-T512,1,30,514,15376,Memtable Max Range Deletions,False
Native-T512,1,31,512,15888,Memtable Max Range Deletions,False
Native-T512,1,32,512,16400,Memtable Max Range Deletions,False
Native-T512,1,33,512,16912,Memtable Max Range Deletions,False
Native-T512,1,34,513,17425,Memtable Max Range Deletions,False
Native-T512,1,35,512,17937,Memtable Max Range Deletions,False
Native-T512,1,36,513,18450,Memtable Max Range Deletions,False
Native-T512,1,37,512,18962,Memtable Max Range Deletions,False
Native-T512,1,38,513,19475,Memtable Max Range Deletions,False
Native-T512,1,39,512,19987,Memtable Max Range Deletions,False
Native-T512,1,40,13,20000,Active MemTable Residual,True
Native-T512,2,1,513,513,Memtable Max Range Deletions,False
Native-T512,2,2,512,1025,Memtable Max Range Deletions,False
Native-T512,2,3,514,1539,Memtable Max Range Deletions,False
Native-T512,2,4,513,2052,Memtable Max Range Deletions,False
Native-T512,2,5,512,2564,Memtable Max Range Deletions,False
Native-T512,2,6,512,3076,Memtable Max Range Deletions,False
Native-T512,2,7,512,3588,Memtable Max Range Deletions,False
Native-T512,2,8,514,4102,Memtable Max Range Deletions,False
Native-T512,2,9,512,4614,Memtable Max Range Deletions,False
Native-T512,2,10,512,5126,Memtable Max Range Deletions,False
Native-T512,2,11,512,5638,Memtable Max Range Deletions,False
Native-T512,2,12,512,6150,Memtable Max Range Deletions,False
Native-T512,2,13,513,6663,Memtable Max Range Deletions,False
Native-T512,2,14,513,7176,Memtable Max Range Deletions,False
Native-T512,2,15,513,7689,Memtable Max Range Deletions,False
Native-T512,2,16,512,8201,Memtable Max Range Deletions,False
Native-T512,2,17,512,8713,Memtable Max Range Deletions,False
Native-T512,2,18,513,9226,Memtable Max Range Deletions,False
Native-T512,2,19,512,9738,Memtable Max Range Deletions,False
Native-T512,2,20,512,10250,Memtable Max Range Deletions,False
Native-T512,2,21,512,10762,Memtable Max Range Deletions,False
Native-T512,2,22,512,11274,Memtable Max Range Deletions,False
Native-T512,2,23,512,11786,Memtable Max Range Deletions,False
Native-T512,2,24,513,12299,Memtable Max Range Deletions,False
Native-T512,2,25,512,12811,Memtable Max Range Deletions,False
Native-T512,2,26,512,13323,Memtable Max Range Deletions,False
Native-T512,2,27,512,13835,Memtable Max Range Deletions,False
Native-T512,2,28,512,14347,Memtable Max Range Deletions,False
Native-T512,2,29,512,14859,Memtable Max Range Deletions,False
Native-T512,2,30,512,15371,Memtable Max Range Deletions,False
Native-T512,2,31,512,15883,Memtable Max Range Deletions,False
Native-T512,2,32,513,16396,Memtable Max Range Deletions,False
Native-T512,2,33,512,16908,Memtable Max Range Deletions,False
Native-T512,2,34,512,17420,Memtable Max Range Deletions,False
Native-T512,2,35,512,17932,Memtable Max Range Deletions,False
Native-T512,2,36,512,18444,Memtable Max Range Deletions,False
Native-T512,2,37,512,18956,Memtable Max Range Deletions,False
Native-T512,2,38,512,19468,Memtable Max Range Deletions,False
Native-T512,2,39,512,19980,Memtable Max Range Deletions,False
Native-T512,2,40,20,20000,Active MemTable Residual,True
Native-T512,3,1,512,512,Memtable Max Range Deletions,False
Native-T512,3,2,513,1025,Memtable Max Range Deletions,False
Native-T512,3,3,512,1537,Memtable Max Range Deletions,False
Native-T512,3,4,513,2050,Memtable Max Range Deletions,False
Native-T512,3,5,512,2562,Memtable Max Range Deletions,False
Native-T512,3,6,512,3074,Memtable Max Range Deletions,False
Native-T512,3,7,512,3586,Memtable Max Range Deletions,False
Native-T512,3,8,512,4098,Memtable Max Range Deletions,False
Native-T512,3,9,512,4610,Memtable Max Range Deletions,False
Native-T512,3,10,513,5123,Memtable Max Range Deletions,False
Native-T512,3,11,512,5635,Memtable Max Range Deletions,False
Native-T512,3,12,512,6147,Memtable Max Range Deletions,False
Native-T512,3,13,512,6659,Memtable Max Range Deletions,False
Native-T512,3,14,512,7171,Memtable Max Range Deletions,False
Native-T512,3,15,512,7683,Memtable Max Range Deletions,False
Native-T512,3,16,513,8196,Memtable Max Range Deletions,False
Native-T512,3,17,512,8708,Memtable Max Range Deletions,False
Native-T512,3,18,512,9220,Memtable Max Range Deletions,False
Native-T512,3,19,512,9732,Memtable Max Range Deletions,False
Native-T512,3,20,512,10244,Memtable Max Range Deletions,False
Native-T512,3,21,512,10756,Memtable Max Range Deletions,False
Native-T512,3,22,512,11268,Memtable Max Range Deletions,False
Native-T512,3,23,512,11780,Memtable Max Range Deletions,False
Native-T512,3,24,512,12292,Memtable Max Range Deletions,False
Native-T512,3,25,512,12804,Memtable Max Range Deletions,False
Native-T512,3,26,512,13316,Memtable Max Range Deletions,False
Native-T512,3,27,513,13829,Memtable Max Range Deletions,False
Native-T512,3,28,512,14341,Memtable Max Range Deletions,False
Native-T512,3,29,513,14854,Memtable Max Range Deletions,False
Native-T512,3,30,512,15366,Memtable Max Range Deletions,False
Native-T512,3,31,512,15878,Memtable Max Range Deletions,False
Native-T512,3,32,512,16390,Memtable Max Range Deletions,False
Native-T512,3,33,512,16902,Memtable Max Range Deletions,False
Native-T512,3,34,513,17415,Memtable Max Range Deletions,False
Native-T512,3,35,512,17927,Memtable Max Range Deletions,False
Native-T512,3,36,514,18441,Memtable Max Range Deletions,False
Native-T512,3,37,512,18953,Memtable Max Range Deletions,False
Native-T512,3,38,513,19466,Memtable Max Range Deletions,False
Native-T512,3,39,512,19978,Memtable Max Range Deletions,False
Native-T512,3,40,22,20000,Active MemTable Residual,True
AMTV-T512,1,1,513,513,Memtable Max Range Deletions,False
AMTV-T512,1,2,513,1026,Memtable Max Range Deletions,False
AMTV-T512,1,3,514,1540,Memtable Max Range Deletions,False
AMTV-T512,1,4,513,2053,Memtable Max Range Deletions,False
AMTV-T512,1,5,513,2566,Memtable Max Range Deletions,False
AMTV-T512,1,6,512,3078,Memtable Max Range Deletions,False
AMTV-T512,1,7,512,3590,Memtable Max Range Deletions,False
AMTV-T512,1,8,513,4103,Memtable Max Range Deletions,False
AMTV-T512,1,9,513,4616,Memtable Max Range Deletions,False
AMTV-T512,1,10,513,5129,Memtable Max Range Deletions,False
AMTV-T512,1,11,513,5642,Memtable Max Range Deletions,False
AMTV-T512,1,12,513,6155,Memtable Max Range Deletions,False
AMTV-T512,1,13,514,6669,Memtable Max Range Deletions,False
AMTV-T512,1,14,515,7184,Memtable Max Range Deletions,False
AMTV-T512,1,15,513,7697,Memtable Max Range Deletions,False
AMTV-T512,1,16,513,8210,Memtable Max Range Deletions,False
AMTV-T512,1,17,512,8722,Memtable Max Range Deletions,False
AMTV-T512,1,18,514,9236,Memtable Max Range Deletions,False
AMTV-T512,1,19,513,9749,Memtable Max Range Deletions,False
AMTV-T512,1,20,514,10263,Memtable Max Range Deletions,False
AMTV-T512,1,21,513,10776,Memtable Max Range Deletions,False
AMTV-T512,1,22,513,11289,Memtable Max Range Deletions,False
AMTV-T512,1,23,514,11803,Memtable Max Range Deletions,False
AMTV-T512,1,24,516,12319,Memtable Max Range Deletions,False
AMTV-T512,1,25,514,12833,Memtable Max Range Deletions,False
AMTV-T512,1,26,516,13349,Memtable Max Range Deletions,False
AMTV-T512,1,27,514,13863,Memtable Max Range Deletions,False
AMTV-T512,1,28,515,14378,Memtable Max Range Deletions,False
AMTV-T512,1,29,512,14890,Memtable Max Range Deletions,False
AMTV-T512,1,30,513,15403,Memtable Max Range Deletions,False
AMTV-T512,1,31,512,15915,Memtable Max Range Deletions,False
AMTV-T512,1,32,512,16427,Memtable Max Range Deletions,False
AMTV-T512,1,33,513,16940,Memtable Max Range Deletions,False
AMTV-T512,1,34,513,17453,Memtable Max Range Deletions,False
AMTV-T512,1,35,512,17965,Memtable Max Range Deletions,False
AMTV-T512,1,36,512,18477,Memtable Max Range Deletions,False
AMTV-T512,1,37,513,18990,Memtable Max Range Deletions,False
AMTV-T512,1,38,512,19502,Memtable Max Range Deletions,False
