config,phase,op_name,sample_count_per_rep,total_sample_count_5reps,metric,unit,rep1_raw,rep2_raw,rep3_raw,rep4_raw,rep5_raw,mean,sample_std,median,iqr,quantile_algorithm
Native-T0,Phase A,GetLive,70000,350000,P50,us,6.088,6.233,5.948,6.019,6.628,6.183199999999999,0.2700327757884216,6.088,0.21399999999999952,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
Native-T0,Phase A,GetLive,70000,350000,P95,us,17.659,16.601,16.204,17.913,17.789,17.2332,0.7764143223820644,17.659,1.1880000000000024,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
Native-T0,Phase A,GetLive,70000,350000,P99,us,21.703,21.551,27.342,29.082,23.46,24.6276,3.4129052579876875,23.46,5.638999999999999,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
Native-T0,Phase A,GetLive,70000,350000,P99.9,us,37.901,38.623,41.82,45.079,43.389,41.3624,3.0665625380872314,41.82,4.766000000000005,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
Native-T0,Phase A,GetLive,70000,350000,Max,us,221.648,120.56,160.94,269.017,108.084,176.0498,68.28043286476733,160.94,101.088,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
Native-T0,Phase A,GetLive,70000,350000,Mean,us,7.75808,7.70308,7.55911,7.95345,8.26369,7.847481999999999,0.27224133681349727,7.75808,0.2503700000000002,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
Native-T0,Phase A,Scan-PlannedIntersect,5000,25000,P50,us,59.044,60.109,59.582,60.858,65.56,61.03060000000001,2.619142187816463,60.109,1.2759999999999962,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
Native-T0,Phase A,Scan-PlannedIntersect,5000,25000,P95,us,129.216,118.138,119.4,141.649,126.687,127.018,9.43259309522042,126.687,9.816000000000003,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
Native-T0,Phase A,Scan-PlannedIntersect,5000,25000,P99,us,149.481,149.015,199.98,210.329,158.892,173.53940000000003,29.35719302487893,158.892,50.498999999999995,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
Native-T0,Phase A,Scan-PlannedIntersect,5000,25000,P99.9,us,186.445,199.659,258.98,275.026,285.138,241.0496,45.04033227341912,258.98,75.36700000000002,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
Native-T0,Phase A,Scan-PlannedIntersect,5000,25000,Max,us,310.339,214.399,314.107,323.571,338.479,300.17900000000003,49.16680498059641,314.107,13.232000000000028,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
Native-T0,Phase A,Scan-PlannedIntersect,5000,25000,Mean,us,68.7088,67.0713,67.3858,71.2121,73.3226,69.54012,2.6706708833175234,68.7088,3.8263000000000034,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
Native-T0,Phase A,Scan-NonIntersect,5000,25000,P50,us,43.377,43.715,43.415,43.735,47.518,44.352000000000004,1.7775409981207182,43.715,0.3200000000000003,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
Native-T0,Phase A,Scan-NonIntersect,5000,25000,P95,us,66.688,63.157,63.387,74.574,69.972,67.5556,4.810783855048987,66.688,6.584999999999994,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
Native-T0,Phase A,Scan-NonIntersect,5000,25000,P99,us,76.824,74.411,105.923,110.665,91.802,91.92500000000001,16.44633036576853,91.802,29.099000000000004,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
Native-T0,Phase A,Scan-NonIntersect,5000,25000,P99.9,us,108.5,103.783,142.358,153.887,131.023,127.9102,21.518017048510767,131.023,33.858000000000004,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
Native-T0,Phase A,Scan-NonIntersect,5000,25000,Max,us,122.215,155.843,195.877,244.38,166.464,176.9558,45.979391934865774,166.464,40.03400000000002,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
Native-T0,Phase A,Scan-NonIntersect,5000,25000,Mean,us,46.6423,45.8526,46.0821,47.7548,50.6249,47.39134,1.9513395739850088,46.6423,1.672700000000006,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
Native-T0,Phase A,Put,20000,100000,P50,us,9.447,10.784,10.743,10.607,11.894,10.695,0.8679104216449994,10.743,0.17700000000000138,nearest_rank_driver: ceil(p*N)-1 on sorted thread-local arrays
