rep,configuration,flush_sequence,flush_reason,generation_range_delete_count,cumulative_flushed_range_deletes,tail_active_generation_range_deletes,flush_completion_window,tombstone_conservation_verified
1,Native-T512,1,Memtable Max Range Deletions,513,513,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,2,Memtable Max Range Deletions,512,1025,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,3,Memtable Max Range Deletions,512,1537,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,4,Memtable Max Range Deletions,512,2049,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,5,Memtable Max Range Deletions,512,2561,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,6,Memtable Max Range Deletions,512,3073,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,7,Memtable Max Range Deletions,512,3585,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,8,Memtable Max Range Deletions,513,4098,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,9,Memtable Max Range Deletions,512,4610,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,10,Memtable Max Range Deletions,512,5122,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,11,Memtable Max Range Deletions,513,5635,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,12,Memtable Max Range Deletions,512,6147,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,13,Memtable Max Range Deletions,513,6660,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,14,Memtable Max Range Deletions,512,7172,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,15,Memtable Max Range Deletions,512,7684,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,16,Memtable Max Range Deletions,512,8196,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,17,Memtable Max Range Deletions,512,8708,22,Window 1 (Foreground Phase B),In-Progress
1,Native-T512,18,Memtable Max Range Deletions,512,9220,22,Window 1 (Foreground Phase B),In-Progress
