round,rep,config,seed,window,flush_output_bytes,compaction_read_bytes,compaction_write_bytes,flush_plus_comp_write_output_bytes,pwa,note
1,1,Native-T0,610001,Window 1 (Foreground Phase A-C),0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
1,1,Native-T0,610001,Window 2 (10s Cooldown),0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
1,1,Native-T0,610001,Window 3 (Drain-to-stable),0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
1,1,Native-T0,610001,Close/Teardown,0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
1,1,Native-T0,610001,Three-Window Total,0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
2,1,Native-T512,610001,Window 1 (Foreground Phase A-C),1616101,50341844,44666494,46282595,3.0131897786458333,严格按完成事件时间归属
2,1,Native-T512,610001,Window 2 (10s Cooldown),0,0,0,0,0.0,严格按完成事件时间归属
2,1,Native-T512,610001,Window 3 (Drain-to-stable),0,0,0,0,0.0,严格按完成事件时间归属
2,1,Native-T512,610001,Close/Teardown,0,0,0,0,0.0,严格按完成事件时间归属
2,1,Native-T512,610001,Three-Window Total,1616101,50341844,44666494,46282595,3.0131897786458333,严格按完成事件时间归属
3,1,AMTV-T0,610001,Window 1 (Foreground Phase A-C),0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
3,1,AMTV-T0,610001,Window 2 (10s Cooldown),0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
3,1,AMTV-T0,610001,Window 3 (Drain-to-stable),0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
3,1,AMTV-T0,610001,Close/Teardown,0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
3,1,AMTV-T0,610001,Three-Window Total,0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
4,1,AMTV-T512,610001,Window 1 (Foreground Phase A-C),1591780,50515095,45324873,46916653,3.0544695963541666,严格按完成事件时间归属
4,1,AMTV-T512,610001,Window 2 (10s Cooldown),0,0,0,0,0.0,严格按完成事件时间归属
4,1,AMTV-T512,610001,Window 3 (Drain-to-stable),0,0,0,0,0.0,严格按完成事件时间归属
4,1,AMTV-T512,610001,Close/Teardown,0,0,0,0,0.0,严格按完成事件时间归属
4,1,AMTV-T512,610001,Three-Window Total,1591780,50515095,45324873,46916653,3.0544695963541666,严格按完成事件时间归属
5,2,Native-T0,620001,Window 1 (Foreground Phase A-C),0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
5,2,Native-T0,620001,Window 2 (10s Cooldown),0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
5,2,Native-T0,620001,Window 3 (Drain-to-stable),0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
5,2,Native-T0,620001,Close/Teardown,0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
5,2,Native-T0,620001,Three-Window Total,0,0,0,0,0.0,有限观测窗口内为0，不代表全生命周期成本为0
6,2,Native-T512,620001,Window 1 (Foreground Phase A-C),1616658,60160180,54142530,55759188,3.63015546875,严格按完成事件时间归属
6,2,Native-T512,620001,Window 2 (10s Cooldown),0,0,0,0,0.0,严格按完成事件时间归属
6,2,Native-T512,620001,Window 3 (Drain-to-stable),0,0,0,0,0.0,严格按完成事件时间归属
6,2,Native-T512,620001,Close/Teardown,0,0,0,0,0.0,严格按完成事件时间归属
6,2,Native-T512,620001,Three-Window Total,1616658,60160180,54142530,55759188,3.63015546875,严格按完成事件时间归属
