round,rep,config,seed,get_live_ops,put_ops,delete_range_ops,scan_planned_intersect_ops,scan_intersect_ops,scan_non_intersect_ops,total_scan_ops,total_ops,scan_visible_keys,candidate_space_keys,final_live_keys,final_deleted_keys,trace_sha256,read_projection_sha256,write_projection_sha256,delete_geometry_sha256,state_sha256_actual,state_sha256_expected,audit_status
1,1,Native-T0,610001,190000,60000,20000,5000,10000,15000,30000,300000,2500000,500000,300000,200000,07d045ed48293f67cbced4dcac6545548430a029618a7f410f6d5ed4972ffb59,754fa93ff0d86dce6a008835f9069194adee47ffeb6199a21cd039bc29b42b0b,a11a1782c233d4ce7e56a4825059dca5507a17aaf3589e1301efd9861e66aad7,d900a54ff4f6e869ba8efbab6557529d2a824a3ace14bebaf267b79125e211b0,e454b599b954d690780e3fff696a0d98e411f238e33af9dd2aff563ee365adef,e454b599b954d690780e3fff696a0d98e411f238e33af9dd2aff563ee365adef,PASS
2,1,Native-T512,610001,190000,60000,20000,5000,10000,15000,30000,300000,2500000,500000,300000,200000,07d045ed48293f67cbced4dcac6545548430a029618a7f410f6d5ed4972ffb59,754fa93ff0d86dce6a008835f9069194adee47ffeb6199a21cd039bc29b42b0b,a11a1782c233d4ce7e56a4825059dca5507a17aaf3589e1301efd9861e66aad7,d900a54ff4f6e869ba8efbab6557529d2a824a3ace14bebaf267b79125e211b0,e454b599b954d690780e3fff696a0d98e411f238e33af9dd2aff563ee365adef,e454b599b954d690780e3fff696a0d98e411f238e33af9dd2aff563ee365adef,PASS
3,1,AMTV-T0,610001,190000,60000,20000,5000,10000,15000,30000,300000,2500000,500000,300000,200000,07d045ed48293f67cbced4dcac6545548430a029618a7f410f6d5ed4972ffb59,754fa93ff0d86dce6a008835f9069194adee47ffeb6199a21cd039bc29b42b0b,a11a1782c233d4ce7e56a4825059dca5507a17aaf3589e1301efd9861e66aad7,d900a54ff4f6e869ba8efbab6557529d2a824a3ace14bebaf267b79125e211b0,e454b599b954d690780e3fff696a0d98e411f238e33af9dd2aff563ee365adef,e454b599b954d690780e3fff696a0d98e411f238e33af9dd2aff563ee365adef,PASS
4,1,AMTV-T512,610001,190000,60000,20000,5000,10000,15000,30000,300000,2500000,500000,300000,200000,07d045ed48293f67cbced4dcac6545548430a029618a7f410f6d5ed4972ffb59,754fa93ff0d86dce6a008835f9069194adee47ffeb6199a21cd039bc29b42b0b,a11a1782c233d4ce7e56a4825059dca5507a17aaf3589e1301efd9861e66aad7,d900a54ff4f6e869ba8efbab6557529d2a824a3ace14bebaf267b79125e211b0,e454b599b954d690780e3fff696a0d98e411f238e33af9dd2aff563ee365adef,e454b599b954d690780e3fff696a0d98e411f238e33af9dd2aff563ee365adef,PASS
5,2,Native-T0,620001,190000,60000,20000,5000,10000,15000,30000,300000,2500000,500000,300000,200000,fb17050ea335d1efd3308d4ac1c0e3b65eeb3af66970db8b89ea5b7e55e89c9e,8591153450b573331d88e45b7c8a1c390c35c37f88202821264c6c763e455517,2f0f77d17ee0d1c60641206cf4a7595fc9aa296bd6a3cd21a465570cc77b40f5,d900a54ff4f6e869ba8efbab6557529d2a824a3ace14bebaf267b79125e211b0,c613e928a006b0c03a6f181ac7a20a2ff6571b9587809eccd2ea24b8f4e28842,c613e928a006b0c03a6f181ac7a20a2ff6571b9587809eccd2ea24b8f4e28842,PASS
6,2,Native-T512,620001,190000,60000,20000,5000,10000,15000,30000,300000,2500000,500000,300000,200000,fb17050ea335d1efd3308d4ac1c0e3b65eeb3af66970db8b89ea5b7e55e89c9e,8591153450b573331d88e45b7c8a1c390c35c37f88202821264c6c763e455517,2f0f77d17ee0d1c60641206cf4a7595fc9aa296bd6a3cd21a465570cc77b40f5,d900a54ff4f6e869ba8efbab6557529d2a824a3ace14bebaf267b79125e211b0,c613e928a006b0c03a6f181ac7a20a2ff6571b9587809eccd2ea24b8f4e28842,c613e928a006b0c03a6f181ac7a20a2ff6571b9587809eccd2ea24b8f4e28842,PASS
7,2,AMTV-T0,620001,190000,60000,20000,5000,10000,15000,30000,300000,2500000,500000,300000,200000,fb17050ea335d1efd3308d4ac1c0e3b65eeb3af66970db8b89ea5b7e55e89c9e,8591153450b573331d88e45b7c8a1c390c35c37f88202821264c6c763e455517,2f0f77d17ee0d1c60641206cf4a7595fc9aa296bd6a3cd21a465570cc77b40f5,d900a54ff4f6e869ba8efbab6557529d2a824a3ace14bebaf267b79125e211b0,c613e928a006b0c03a6f181ac7a20a2ff6571b9587809eccd2ea24b8f4e28842,c613e928a006b0c03a6f181ac7a20a2ff6571b9587809eccd2ea24b8f4e28842,PASS
8,2,AMTV-T512,620001,190000,60000,20000,5000,10000,15000,30000,300000,2500000,500000,300000,200000,fb17050ea335d1efd3308d4ac1c0e3b65eeb3af66970db8b89ea5b7e55e89c9e,8591153450b573331d88e45b7c8a1c390c35c37f88202821264c6c763e455517,2f0f77d17ee0d1c60641206cf4a7595fc9aa296bd6a3cd21a465570cc77b40f5,d900a54ff4f6e869ba8efbab6557529d2a824a3ace14bebaf267b79125e211b0,c613e928a006b0c03a6f181ac7a20a2ff6571b9587809eccd2ea24b8f4e28842,c613e928a006b0c03a6f181ac7a20a2ff6571b9587809eccd2ea24b8f4e28842,PASS
9,3,Native-T0,630001,190000,60000,20000,5000,10000,15000,30000,300000,2500000,500000,300000,200000,775630d795db3e31449aa3dd248140c4747698f075f8d3d013c7d85f52d82d86,461896ab0ca3f90fc5b0ec713b2a8f2c9f305e403d5dc7137fadc5e5a9eb3b7f,3e93c1caeaa6580c0d3c1c90e68a8f2dac309da89a989d256db8ff1bd8cab9c4,d900a54ff4f6e869ba8efbab6557529d2a824a3ace14bebaf267b79125e211b0,3725f335dd2269f3f22b4f6649f58673610ddb4e1eeced9713fb6b7f3d4409ab,3725f335dd2269f3f22b4f6649f58673610ddb4e1eeced9713fb6b7f3d4409ab,PASS
10,3,Native-T512,630001,190000,60000,20000,5000,10000,15000,30000,300000,2500000,500000,300000,200000,775630d795db3e31449aa3dd248140c4747698f075f8d3d013c7d85f52d82d86,461896ab0ca3f90fc5b0ec713b2a8f2c9f305e403d5dc7137fadc5e5a9eb3b7f,3e93c1caeaa6580c0d3c1c90e68a8f2dac309da89a989d256db8ff1bd8cab9c4,d900a54ff4f6e869ba8efbab6557529d2a824a3ace14bebaf267b79125e211b0,3725f335dd2269f3f22b4f6649f58673610ddb4e1eeced9713fb6b7f3d4409ab,3725f335dd2269f3f22b4f6649f58673610ddb4e1eeced9713fb6b7f3d4409ab,PASS
