config,rep,seed,generation,range_deletions,flush_reason
Native-T512,1,610001,1,513,Memtable Max Range Deletions
Native-T512,1,610001,2,512,Memtable Max Range Deletions
Native-T512,1,610001,3,512,Memtable Max Range Deletions
Native-T512,1,610001,4,512,Memtable Max Range Deletions
Native-T512,1,610001,5,512,Memtable Max Range Deletions
Native-T512,1,610001,6,512,Memtable Max Range Deletions
Native-T512,1,610001,7,512,Memtable Max Range Deletions
Native-T512,1,610001,8,513,Memtable Max Range Deletions
Native-T512,1,610001,9,512,Memtable Max Range Deletions
Native-T512,1,610001,10,512,Memtable Max Range Deletions
Native-T512,1,610001,11,513,Memtable Max Range Deletions
Native-T512,1,610001,12,512,Memtable Max Range Deletions
Native-T512,1,610001,13,513,Memtable Max Range Deletions
Native-T512,1,610001,14,512,Memtable Max Range Deletions
Native-T512,1,610001,15,512,Memtable Max Range Deletions
Native-T512,1,610001,16,512,Memtable Max Range Deletions
Native-T512,1,610001,17,512,Memtable Max Range Deletions
Native-T512,1,610001,18,512,Memtable Max Range Deletions
Native-T512,1,610001,19,512,Memtable Max Range Deletions
Native-T512,1,610001,20,514,Memtable Max Range Deletions
Native-T512,1,610001,21,512,Memtable Max Range Deletions
Native-T512,1,610001,22,512,Memtable Max Range Deletions
Native-T512,1,610001,23,513,Memtable Max Range Deletions
Native-T512,1,610001,24,512,Memtable Max Range Deletions
Native-T512,1,610001,25,513,Memtable Max Range Deletions
Native-T512,1,610001,26,512,Memtable Max Range Deletions
Native-T512,1,610001,27,512,Memtable Max Range Deletions
Native-T512,1,610001,28,513,Memtable Max Range Deletions
Native-T512,1,610001,29,512,Memtable Max Range Deletions
Native-T512,1,610001,30,513,Memtable Max Range Deletions
Native-T512,1,610001,31,512,Memtable Max Range Deletions
Native-T512,1,610001,32,512,Memtable Max Range Deletions
Native-T512,1,610001,33,512,Memtable Max Range Deletions
Native-T512,1,610001,34,512,Memtable Max Range Deletions
Native-T512,1,610001,35,512,Memtable Max Range Deletions
Native-T512,1,610001,36,512,Memtable Max Range Deletions
Native-T512,1,610001,37,512,Memtable Max Range Deletions
Native-T512,1,610001,38,512,Memtable Max Range Deletions
Native-T512,1,610001,39,512,Memtable Max Range Deletions
Native-T512,2,620001,1,513,Memtable Max Range Deletions
Native-T512,2,620001,2,512,Memtable Max Range Deletions
Native-T512,2,620001,3,512,Memtable Max Range Deletions
Native-T512,2,620001,4,513,Memtable Max Range Deletions
Native-T512,2,620001,5,513,Memtable Max Range Deletions
Native-T512,2,620001,6,512,Memtable Max Range Deletions
Native-T512,2,620001,7,512,Memtable Max Range Deletions
Native-T512,2,620001,8,515,Memtable Max Range Deletions
Native-T512,2,620001,9,512,Memtable Max Range Deletions
Native-T512,2,620001,10,513,Memtable Max Range Deletions
Native-T512,2,620001,11,512,Memtable Max Range Deletions
Native-T512,2,620001,12,512,Memtable Max Range Deletions
Native-T512,2,620001,13,512,Memtable Max Range Deletions
Native-T512,2,620001,14,512,Memtable Max Range Deletions
Native-T512,2,620001,15,513,Memtable Max Range Deletions
Native-T512,2,620001,16,512,Memtable Max Range Deletions
Native-T512,2,620001,17,515,Memtable Max Range Deletions
Native-T512,2,620001,18,512,Memtable Max Range Deletions
Native-T512,2,620001,19,512,Memtable Max Range Deletions
Native-T512,2,620001,20,516,Memtable Max Range Deletions
Native-T512,2,620001,21,513,Memtable Max Range Deletions
Native-T512,2,620001,22,512,Memtable Max Range Deletions
Native-T512,2,620001,23,512,Memtable Max Range Deletions
Native-T512,2,620001,24,512,Memtable Max Range Deletions
Native-T512,2,620001,25,514,Memtable Max Range Deletions
Native-T512,2,620001,26,513,Memtable Max Range Deletions
Native-T512,2,620001,27,513,Memtable Max Range Deletions
Native-T512,2,620001,28,512,Memtable Max Range Deletions
Native-T512,2,620001,29,514,Memtable Max Range Deletions
Native-T512,2,620001,30,512,Memtable Max Range Deletions
Native-T512,2,620001,31,513,Memtable Max Range Deletions
Native-T512,2,620001,32,512,Memtable Max Range Deletions
Native-T512,2,620001,33,513,Memtable Max Range Deletions
Native-T512,2,620001,34,512,Memtable Max Range Deletions
Native-T512,2,620001,35,512,Memtable Max Range Deletions
Native-T512,2,620001,36,512,Memtable Max Range Deletions
Native-T512,2,620001,37,514,Memtable Max Range Deletions
Native-T512,2,620001,38,512,Memtable Max Range Deletions
Native-T512,2,620001,39,512,Memtable Max Range Deletions
Native-T512,3,630001,1,512,Memtable Max Range Deletions
Native-T512,3,630001,2,513,Memtable Max Range Deletions
Native-T512,3,630001,3,512,Memtable Max Range Deletions
Native-T512,3,630001,4,512,Memtable Max Range Deletions
Native-T512,3,630001,5,512,Memtable Max Range Deletions
Native-T512,3,630001,6,513,Memtable Max Range Deletions
Native-T512,3,630001,7,513,Memtable Max Range Deletions
Native-T512,3,630001,8,512,Memtable Max Range Deletions
Native-T512,3,630001,9,512,Memtable Max Range Deletions
Native-T512,3,630001,10,512,Memtable Max Range Deletions
Native-T512,3,630001,11,512,Memtable Max Range Deletions
Native-T512,3,630001,12,513,Memtable Max Range Deletions
Native-T512,3,630001,13,512,Memtable Max Range Deletions
Native-T512,3,630001,14,512,Memtable Max Range Deletions
Native-T512,3,630001,15,512,Memtable Max Range Deletions
Native-T512,3,630001,16,512,Memtable Max Range Deletions
Native-T512,3,630001,17,512,Memtable Max Range Deletions
Native-T512,3,630001,18,513,Memtable Max Range Deletions
Native-T512,3,630001,19,514,Memtable Max Range Deletions
Native-T512,3,630001,20,512,Memtable Max Range Deletions
Native-T512,3,630001,21,512,Memtable Max Range Deletions
Native-T512,3,630001,22,512,Memtable Max Range Deletions
Native-T512,3,630001,23,513,Memtable Max Range Deletions
Native-T512,3,630001,24,512,Memtable Max Range Deletions
Native-T512,3,630001,25,513,Memtable Max Range Deletions
Native-T512,3,630001,26,513,Memtable Max Range Deletions
Native-T512,3,630001,27,512,Memtable Max Range Deletions
Native-T512,3,630001,28,512,Memtable Max Range Deletions
Native-T512,3,630001,29,512,Memtable Max Range Deletions
Native-T512,3,630001,30,513,Memtable Max Range Deletions
Native-T512,3,630001,31,512,Memtable Max Range Deletions
Native-T512,3,630001,32,512,Memtable Max Range Deletions
Native-T512,3,630001,33,512,Memtable Max Range Deletions
Native-T512,3,630001,34,512,Memtable Max Range Deletions
Native-T512,3,630001,35,514,Memtable Max Range Deletions
Native-T512,3,630001,36,512,Memtable Max Range Deletions
Native-T512,3,630001,37,512,Memtable Max Range Deletions
Native-T512,3,630001,38,512,Memtable Max Range Deletions
Native-T512,3,630001,39,512,Memtable Max Range Deletions
Native-T512,4,640001,1,512,Memtable Max Range Deletions
Native-T512,4,640001,2,513,Memtable Max Range Deletions
Native-T512,4,640001,3,513,Memtable Max Range Deletions
Native-T512,4,640001,4,512,Memtable Max Range Deletions
Native-T512,4,640001,5,512,Memtable Max Range Deletions
Native-T512,4,640001,6,512,Memtable Max Range Deletions
Native-T512,4,640001,7,513,Memtable Max Range Deletions
Native-T512,4,640001,8,512,Memtable Max Range Deletions
Native-T512,4,640001,9,513,Memtable Max Range Deletions
Native-T512,4,640001,10,512,Memtable Max Range Deletions
Native-T512,4,640001,11,513,Memtable Max Range Deletions
Native-T512,4,640001,12,513,Memtable Max Range Deletions
Native-T512,4,640001,13,514,Memtable Max Range Deletions
Native-T512,4,640001,14,512,Memtable Max Range Deletions
Native-T512,4,640001,15,512,Memtable Max Range Deletions
Native-T512,4,640001,16,512,Memtable Max Range Deletions
Native-T512,4,640001,17,514,Memtable Max Range Deletions
Native-T512,4,640001,18,512,Memtable Max Range Deletions
Native-T512,4,640001,19,513,Memtable Max Range Deletions
Native-T512,4,640001,20,515,Memtable Max Range Deletions
Native-T512,4,640001,21,512,Memtable Max Range Deletions
Native-T512,4,640001,22,512,Memtable Max Range Deletions
Native-T512,4,640001,23,513,Memtable Max Range Deletions
Native-T512,4,640001,24,512,Memtable Max Range Deletions
Native-T512,4,640001,25,513,Memtable Max Range Deletions
Native-T512,4,640001,26,512,Memtable Max Range Deletions
Native-T512,4,640001,27,513,Memtable Max Range Deletions
Native-T512,4,640001,28,512,Memtable Max Range Deletions
Native-T512,4,640001,29,513,Memtable Max Range Deletions
Native-T512,4,640001,30,512,Memtable Max Range Deletions
Native-T512,4,640001,31,512,Memtable Max Range Deletions
Native-T512,4,640001,32,512,Memtable Max Range Deletions
Native-T512,4,640001,33,512,Memtable Max Range Deletions
Native-T512,4,640001,34,512,Memtable Max Range Deletions
Native-T512,4,640001,35,512,Memtable Max Range Deletions
Native-T512,4,640001,36,513,Memtable Max Range Deletions
Native-T512,4,640001,37,514,Memtable Max Range Deletions
Native-T512,4,640001,38,512,Memtable Max Range Deletions
Native-T512,4,640001,39,512,Memtable Max Range Deletions
Native-T512,5,650001,1,514,Memtable Max Range Deletions
Native-T512,5,650001,2,512,Memtable Max Range Deletions
Native-T512,5,650001,3,512,Memtable Max Range Deletions
Native-T512,5,650001,4,513,Memtable Max Range Deletions
Native-T512,5,650001,5,512,Memtable Max Range Deletions
Native-T512,5,650001,6,513,Memtable Max Range Deletions
Native-T512,5,650001,7,512,Memtable Max Range Deletions
Native-T512,5,650001,8,513,Memtable Max Range Deletions
Native-T512,5,650001,9,514,Memtable Max Range Deletions
Native-T512,5,650001,10,512,Memtable Max Range Deletions
Native-T512,5,650001,11,512,Memtable Max Range Deletions
Native-T512,5,650001,12,513,Memtable Max Range Deletions
Native-T512,5,650001,13,513,Memtable Max Range Deletions
Native-T512,5,650001,14,512,Memtable Max Range Deletions
Native-T512,5,650001,15,512,Memtable Max Range Deletions
Native-T512,5,650001,16,512,Memtable Max Range Deletions
Native-T512,5,650001,17,512,Memtable Max Range Deletions
Native-T512,5,650001,18,513,Memtable Max Range Deletions
Native-T512,5,650001,19,513,Memtable Max Range Deletions
Native-T512,5,650001,20,512,Memtable Max Range Deletions
Native-T512,5,650001,21,512,Memtable Max Range Deletions
Native-T512,5,650001,22,512,Memtable Max Range Deletions
Native-T512,5,650001,23,512,Memtable Max Range Deletions
Native-T512,5,650001,24,512,Memtable Max Range Deletions
Native-T512,5,650001,25,512,Memtable Max Range Deletions
Native-T512,5,650001,26,512,Memtable Max Range Deletions
Native-T512,5,650001,27,512,Memtable Max Range Deletions
Native-T512,5,650001,28,513,Memtable Max Range Deletions
Native-T512,5,650001,29,512,Memtable Max Range Deletions
Native-T512,5,650001,30,512,Memtable Max Range Deletions
Native-T512,5,650001,31,513,Memtable Max Range Deletions
Native-T512,5,650001,32,513,Memtable Max Range Deletions
Native-T512,5,650001,33,512,Memtable Max Range Deletions
Native-T512,5,650001,34,512,Memtable Max Range Deletions
Native-T512,5,650001,35,512,Memtable Max Range Deletions
Native-T512,5,650001,36,512,Memtable Max Range Deletions
Native-T512,5,650001,37,512,Memtable Max Range Deletions
Native-T512,5,650001,38,512,Memtable Max Range Deletions
Native-T512,5,650001,39,512,Memtable Max Range Deletions
AMTV-T512,1,610001,1,513,Memtable Max Range Deletions
AMTV-T512,1,610001,2,513,Memtable Max Range Deletions
AMTV-T512,1,610001,3,512,Memtable Max Range Deletions
AMTV-T512,1,610001,4,515,Memtable Max Range Deletions
AMTV-T512,1,610001,5,513,Memtable Max Range Deletions
AMTV-T512,1,610001,6,514,Memtable Max Range Deletions
AMTV-T512,1,610001,7,514,Memtable Max Range Deletions
AMTV-T512,1,610001,8,512,Memtable Max Range Deletions
AMTV-T512,1,610001,9,513,Memtable Max Range Deletions
AMTV-T512,1,610001,10,513,Memtable Max Range Deletions
AMTV-T512,1,610001,11,515,Memtable Max Range Deletions
AMTV-T512,1,610001,12,512,Memtable Max Range Deletions
AMTV-T512,1,610001,13,514,Memtable Max Range Deletions
AMTV-T512,1,610001,14,514,Memtable Max Range Deletions
AMTV-T512,1,610001,15,513,Memtable Max Range Deletions
AMTV-T512,1,610001,16,513,Memtable Max Range Deletions
AMTV-T512,1,610001,17,515,Memtable Max Range Deletions
AMTV-T512,1,610001,18,513,Memtable Max Range Deletions
AMTV-T512,1,610001,19,513,Memtable Max Range Deletions
AMTV-T512,1,610001,20,512,Memtable Max Range Deletions
AMTV-T512,1,610001,21,512,Memtable Max Range Deletions
AMTV-T512,1,610001,22,512,Memtable Max Range Deletions
AMTV-T512,1,610001,23,512,Memtable Max Range Deletions
AMTV-T512,1,610001,24,513,Memtable Max Range Deletions
AMTV-T512,1,610001,25,512,Memtable Max Range Deletions
AMTV-T512,1,610001,26,513,Memtable Max Range Deletions
AMTV-T512,1,610001,27,514,Memtable Max Range Deletions
AMTV-T512,1,610001,28,514,Memtable Max Range Deletions
AMTV-T512,1,610001,29,514,Memtable Max Range Deletions
AMTV-T512,1,610001,30,513,Memtable Max Range Deletions
AMTV-T512,1,610001,31,515,Memtable Max Range Deletions
AMTV-T512,1,610001,32,513,Memtable Max Range Deletions
AMTV-T512,1,610001,33,513,Memtable Max Range Deletions
AMTV-T512,1,610001,34,514,Memtable Max Range Deletions
AMTV-T512,1,610001,35,515,Memtable Max Range Deletions
AMTV-T512,1,610001,36,512,Memtable Max Range Deletions
AMTV-T512,1,610001,37,513,Memtable Max Range Deletions
AMTV-T512,1,610001,38,512,Memtable Max Range Deletions
AMTV-T512,2,620001,1,514,Memtable Max Range Deletions
AMTV-T512,2,620001,2,512,Memtable Max Range Deletions
AMTV-T512,2,620001,3,513,Memtable Max Range Deletions
