exp_id,stage,event_type,job_id,timestamp_sec,reason,size_or_out_bytes,extra_info
formal_e5_e5_hot_t0_rep01,PRELOAD,FLUSH,2,0.3841,"Write Buffer Full",59991933,"/home/wam/grad/s14-range-delete-study/run-db/e5_matrix/db_formal_e5_e5_hot_t0_rep01/000009.sst"
formal_e5_e5_hot_t0_rep01,PRELOAD,FLUSH,3,0.6650,"Write Buffer Full",59992850,"/home/wam/grad/s14-range-delete-study/run-db/e5_matrix/db_formal_e5_e5_hot_t0_rep01/000011.sst"
formal_e5_e5_hot_t0_rep01,PRELOAD,FLUSH,4,0.6650,"Manual Flush",15632065,"/home/wam/grad/s14-range-delete-study/run-db/e5_matrix/db_formal_e5_e5_hot_t0_rep01/000013.sst"
formal_e5_e5_cold_t0_rep01,PRELOAD,FLUSH,2,0.3911,"Write Buffer Full",59992842,"/home/wam/grad/s14-range-delete-study/run-db/e5_matrix/db_formal_e5_e5_cold_t0_rep01/000009.sst"
formal_e5_e5_cold_t0_rep01,PRELOAD,FLUSH,3,0.6535,"Write Buffer Full",59992998,"/home/wam/grad/s14-range-delete-study/run-db/e5_matrix/db_formal_e5_e5_cold_t0_rep01/000011.sst"
formal_e5_e5_cold_t0_rep01,PRELOAD,FLUSH,4,0.6569,"Manual Flush",15632027,"/home/wam/grad/s14-range-delete-study/run-db/e5_matrix/db_formal_e5_e5_cold_t0_rep01/000013.sst"
formal_e5_e5_cold_oracleflush_rep01,PRELOAD,FLUSH,2,0.4304,"Write Buffer Full",59993904,"/home/wam/grad/s14-range-delete-study/run-db/e5_matrix/db_formal_e5_e5_cold_oracleflush_rep01/000009.sst"
formal_e5_e5_cold_oracleflush_rep01,PRELOAD,FLUSH,3,0.6874,"Write Buffer Full",59992997,"/home/wam/grad/s14-range-delete-study/run-db/e5_matrix/db_formal_e5_e5_cold_oracleflush_rep01/000011.sst"
formal_e5_e5_cold_oracleflush_rep01,PRELOAD,FLUSH,4,0.6874,"Manual Flush",15632066,"/home/wam/grad/s14-range-delete-study/run-db/e5_matrix/db_formal_e5_e5_cold_oracleflush_rep01/000013.sst"
formal_e5_e5_cold_oracleflush_rep01,FOREGROUND,FLUSH,5,0.7247,"Manual Flush",10175004,"/home/wam/grad/s14-range-delete-study/run-db/e5_matrix/db_formal_e5_e5_cold_oracleflush_rep01/000015.sst"
formal_e5_e5_cold_oracleflush_rep01,COOLDOWN,COMPACTION,6,1.3597,"kLevelL0FilesNum",82373041,"in_level=0;out_level=6;in_bytes=147638480"
formal_e5_e5_hot_clean_rep01,PRELOAD,FLUSH,2,0.3996,"Write Buffer Full",59993904,"/home/wam/grad/s14-range-delete-study/run-db/e5_matrix/db_formal_e5_e5_hot_clean_rep01/000009.sst"
formal_e5_e5_hot_clean_rep01,PRELOAD,FLUSH,3,0.6819,"Write Buffer Full",59993910,"/home/wam/grad/s14-range-delete-study/run-db/e5_matrix/db_formal_e5_e5_hot_clean_rep01/000011.sst"
formal_e5_e5_hot_clean_rep01,PRELOAD,FLUSH,4,0.6819,"Manual Flush",15631875,"/home/wam/grad/s14-range-delete-study/run-db/e5_matrix/db_formal_e5_e5_hot_clean_rep01/000013.sst"
formal_e5_e5_hot_oracleflush_rep01,PRELOAD,FLUSH,2,0.3891,"Write Buffer Full",59992994,"/home/wam/grad/s14-range-delete-study/run-db/e5_matrix/db_formal_e5_e5_hot_oracleflush_rep01/000009.sst"
formal_e5_e5_hot_oracleflush_rep01,PRELOAD,FLUSH,3,0.6581,"Write Buffer Full",59994971,"/home/wam/grad/s14-range-delete-study/run-db/e5_matrix/db_formal_e5_e5_hot_oracleflush_rep01/000011.sst"
formal_e5_e5_hot_oracleflush_rep01,PRELOAD,FLUSH,4,0.6581,"Manual Flush",15632067,"/home/wam/grad/s14-range-delete-study/run-db/e5_matrix/db_formal_e5_e5_hot_oracleflush_rep01/000013.sst"
formal_e5_e5_hot_oracleflush_rep01,FOREGROUND,FLUSH,5,0.6830,"Manual Flush",10175004,"/home/wam/grad/s14-range-delete-study/run-db/e5_matrix/db_formal_e5_e5_hot_oracleflush_rep01/000015.sst"
formal_e5_e5_hot_oracleflush_rep01,COOLDOWN,COMPACTION,6,1.0623,"kLevelL0FilesNum",82373041,"in_level=0;out_level=6;in_bytes=147640610"
formal_e5_e5_cold_clean_rep01,PRELOAD,FLUSH,2,0.3754,"Write Buffer Full",59992993,"/home/wam/grad/s14-range-delete-study/run-db/e5_matrix/db_formal_e5_e5_cold_clean_rep01/000009.sst"
formal_e5_e5_cold_clean_rep01,PRELOAD,FLUSH,3,0.6536,"Write Buffer Full",59992995,"/home/wam/grad/s14-range-delete-study/run-db/e5_matrix/db_formal_e5_e5_cold_clean_rep01/000011.sst"
formal_e5_e5_cold_clean_rep01,PRELOAD,FLUSH,4,0.6536,"Manual Flush",15632027,"/home/wam/grad/s14-range-delete-study/run-db/e5_matrix/db_formal_e5_e5_cold_clean_rep01/000013.sst"
