exp_id,group_name,threshold,phase,elapsed_sec,completed_ops,true_phase_iops,scan_us_per_key,scan_p99_us,scan_intersect_p99_us,scan_non_intersect_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count
formal_e5_e5_hot_t0_rep01,E5-Hot-T0,0,"Phase A (Read Sensitive)",0.2294,100000,435936.5821,0.4818,97.3691,0.0000,97.3691,14.9805,0.0000,23.9883,0
formal_e5_e5_hot_t0_rep01,E5-Hot-T0,0,"Phase B (Write Burst)",0.2100,100000,476100.0897,0.7252,135.7984,133.2714,145.8637,93.3254,94.4633,44.3447,0
formal_e5_e5_hot_t0_rep01,E5-Hot-T0,0,"Phase B-Inject (20% Window)",0.0420,20000,476100.0897,0.9075,174.2018,173.3594,175.6859,122.9524,128.3574,62.4491,0
formal_e5_e5_hot_t0_rep01,E5-Hot-T0,0,"Phase B-PostBurst (80% Window)",0.1680,80000,476100.0897,0.6490,63.3255,56.6102,80.2067,11.6851,3.5892,28.5621,0
formal_e5_e5_hot_t0_rep01,E5-Hot-T0,0,"Phase C (Read Recovery)",0.1164,100000,859451.9344,0.5995,61.1386,51.4106,65.0760,8.6780,2.6160,22.0373,0
formal_e5_e5_cold_t0_rep01,E5-Cold-T0,0,"Phase A (Read Sensitive)",0.2409,100000,415143.7671,0.5045,103.9542,0.0000,103.9542,15.7532,0.0000,25.0125,0
formal_e5_e5_cold_t0_rep01,E5-Cold-T0,0,"Phase B (Write Burst)",0.3192,100000,313278.9073,0.5339,158.8739,162.8704,158.7777,103.5770,107.5422,48.8889,0
formal_e5_e5_cold_t0_rep01,E5-Cold-T0,0,"Phase B-Inject (20% Window)",0.0638,20000,313278.9073,0.7762,182.7436,193.1032,182.6329,128.9030,123.6996,70.7517,0
formal_e5_e5_cold_t0_rep01,E5-Cold-T0,0,"Phase B-PostBurst (80% Window)",0.2554,80000,313278.9073,0.4783,74.5364,63.2488,74.6268,10.8327,4.0199,26.4786,0
formal_e5_e5_cold_t0_rep01,E5-Cold-T0,0,"Phase C (Read Recovery)",0.2247,100000,444960.9135,0.4597,70.9664,58.1751,71.1817,8.4754,3.2301,22.7979,0
formal_e5_e5_cold_oracleflush_rep01,E5-Cold-OracleFlush,0,"Phase A (Read Sensitive)",0.2345,100000,426527.4881,0.4887,104.9670,0.0000,104.9670,15.7532,0.0000,34.7789,0
formal_e5_e5_cold_oracleflush_rep01,E5-Cold-OracleFlush,0,"Phase B (Write Burst)",0.2912,100000,343389.6680,0.5102,149.0806,150.2596,149.0806,96.1379,95.6730,46.0703,0
formal_e5_e5_cold_oracleflush_rep01,E5-Cold-OracleFlush,0,"Phase B-Inject (20% Window)",0.0582,20000,343389.6680,0.7319,177.7202,177.8279,177.7202,121.1772,116.8508,67.8957,0
formal_e5_e5_cold_oracleflush_rep01,E5-Cold-OracleFlush,0,"Phase B-PostBurst (80% Window)",0.2330,80000,343389.6680,0.4593,72.1370,62.1095,72.3120,10.6118,3.6396,25.5797,0
formal_e5_e5_cold_oracleflush_rep01,E5-Cold-OracleFlush,0,"Phase C (Read Recovery)",0.2327,100000,429732.5192,0.5349,101.7728,82.1247,102.4534,12.8591,4.6887,25.9386,0
formal_e5_e5_hot_clean_rep01,E5-Hot-CLEAN,0,"Phase A (Read Sensitive)",0.1888,100000,529747.2299,0.4387,102.3913,0.0000,102.3913,14.2976,0.0000,32.8334,0
formal_e5_e5_hot_clean_rep01,E5-Hot-CLEAN,0,"Phase B (Write Burst)",0.2361,100000,423522.9365,0.4665,82.6739,82.4238,83.1260,15.0533,14.3149,26.5268,0
formal_e5_e5_hot_clean_rep01,E5-Hot-CLEAN,0,"Phase B-Inject (20% Window)",0.0472,20000,423522.9365,0.5463,90.8151,91.9781,60.5488,9.8437,15.9259,21.8114,0
formal_e5_e5_hot_clean_rep01,E5-Hot-CLEAN,0,"Phase B-PostBurst (80% Window)",0.1889,80000,423522.9365,0.4486,73.9964,68.2256,85.1654,15.5163,12.1030,27.1118,0
formal_e5_e5_hot_clean_rep01,E5-Hot-CLEAN,0,"Phase C (Read Recovery)",0.1904,100000,525255.0673,0.4614,76.5504,67.6083,89.6125,15.5258,11.4122,26.5911,0
formal_e5_e5_hot_oracleflush_rep01,E5-Hot-OracleFlush,0,"Phase A (Read Sensitive)",0.2399,100000,416847.5490,0.4972,105.1579,0.0000,105.1579,15.8106,0.0000,30.1812,0
formal_e5_e5_hot_oracleflush_rep01,E5-Hot-OracleFlush,0,"Phase B (Write Burst)",0.2573,100000,388639.0786,0.8752,169.4132,167.1698,182.7436,119.6451,116.9216,52.0059,0
formal_e5_e5_hot_oracleflush_rep01,E5-Hot-OracleFlush,0,"Phase B-Inject (20% Window)",0.0515,20000,388639.0786,1.1440,224.6875,222.3849,239.8833,152.4607,160.9085,73.5048,0
formal_e5_e5_hot_oracleflush_rep01,E5-Hot-OracleFlush,0,"Phase B-PostBurst (80% Window)",0.2058,80000,388639.0786,0.7629,95.8471,78.3335,102.5776,14.9624,4.5681,32.8334,0
formal_e5_e5_hot_oracleflush_rep01,E5-Hot-OracleFlush,0,"Phase C (Read Recovery)",0.1685,100000,593514.7193,0.8262,90.0479,75.7200,102.3293,15.0807,3.9403,23.7425,0
formal_e5_e5_cold_clean_rep01,E5-Cold-CLEAN,0,"Phase A (Read Sensitive)",0.2358,100000,424067.9206,0.4475,98.6160,0.0000,98.6160,14.3932,0.0000,21.8776,0
formal_e5_e5_cold_clean_rep01,E5-Cold-CLEAN,0,"Phase B (Write Burst)",0.2551,100000,392046.4041,0.4631,91.2564,139.4677,77.2025,12.4451,27.5089,25.3175,0
formal_e5_e5_cold_clean_rep01,E5-Cold-CLEAN,0,"Phase B-Inject (20% Window)",0.0510,20000,392046.4041,0.4808,98.2581,129.9225,68.5987,12.3251,25.7663,27.5757,0
formal_e5_e5_cold_clean_rep01,E5-Cold-CLEAN,0,"Phase B-PostBurst (80% Window)",0.2041,80000,392046.4041,0.4591,89.4497,140.4004,77.9074,12.4753,27.5089,24.9067,0
formal_e5_e5_cold_clean_rep01,E5-Cold-CLEAN,0,"Phase C (Read Recovery)",0.1972,100000,507036.2716,0.4616,82.6238,114.2601,74.0861,10.9051,23.0061,24.1780,0
formal_e5_e5_cold_t512_rep01,E5-Cold-T512,512,"Phase A (Read Sensitive)",0.2318,100000,431334.6266,0.4918,105.4131,0.0000,105.4131,15.5917,0.0000,24.3103,0
formal_e5_e5_cold_t512_rep01,E5-Cold-T512,512,"Phase B (Write Burst)",0.2595,100000,385365.2654,0.4863,156.0120,146.0406,156.9602,100.5468,99.5164,47.8050,0
formal_e5_e5_cold_t512_rep01,E5-Cold-T512,512,"Phase B-Inject (20% Window)",0.0519,20000,385365.2654,0.7542,183.0761,170.1334,183.2981,125.5878,129.3725,66.1896,0
formal_e5_e5_cold_t512_rep01,E5-Cold-T512,512,"Phase B-PostBurst (80% Window)",0.2076,80000,385365.2654,0.4249,64.6829,58.3870,64.7221,10.0425,3.3355,24.0029,0
formal_e5_e5_cold_t512_rep01,E5-Cold-T512,512,"Phase C (Read Recovery)",0.1548,100000,646125.0713,0.4113,53.0563,45.9866,53.4435,6.3518,2.5379,18.7114,0
formal_e5_e5_cold_t256_rep01,E5-Cold-T256,256,"Phase A (Read Sensitive)",0.2292,100000,436266.5352,0.4727,104.3961,0.0000,104.3961,14.6129,0.0000,31.4317,0
formal_e5_e5_cold_t256_rep01,E5-Cold-T256,256,"Phase B (Write Burst)",0.3037,100000,329243.1479,0.5426,115.4432,147.5528,113.7765,57.5091,59.8919,46.4346,0
formal_e5_e5_cold_t256_rep01,E5-Cold-T256,256,"Phase B-Inject (20% Window)",0.0607,20000,329243.1479,0.6850,139.3832,180.7612,136.2105,76.4577,89.9934,66.5112,0
formal_e5_e5_cold_t256_rep01,E5-Cold-T256,256,"Phase B-PostBurst (80% Window)",0.2430,80000,329243.1479,0.5099,91.2011,71.3544,91.4224,12.5436,4.7373,24.8765,0
formal_e5_e5_cold_t256_rep01,E5-Cold-T256,256,"Phase C (Read Recovery)",0.1953,100000,512119.0673,0.5073,63.1340,56.8508,63.4023,8.7202,3.8716,21.4705,0
formal_e5_e5_hot_t256_rep01,E5-Hot-T256,256,"Phase A (Read Sensitive)",0.2270,100000,440583.8316,0.4635,106.6984,0.0000,106.6984,15.2184,0.0000,22.0908,0
formal_e5_e5_hot_t256_rep01,E5-Hot-T256,256,"Phase B (Write Burst)",0.2517,100000,397278.0258,0.8227,126.3511,126.2745,127.0420,57.8587,58.8844,49.0967,0
formal_e5_e5_hot_t256_rep01,E5-Hot-T256,256,"Phase B-Inject (20% Window)",0.0503,20000,397278.0258,0.9308,161.3967,163.5627,150.4418,84.4460,83.9867,71.7446,0
formal_e5_e5_hot_t256_rep01,E5-Hot-T256,256,"Phase B-PostBurst (80% Window)",0.2014,80000,397278.0258,0.7775,82.8745,71.4843,103.1386,16.7474,6.4605,29.7635,0
formal_e5_e5_hot_t256_rep01,E5-Hot-T256,256,"Phase C (Read Recovery)",0.1214,100000,823803.6822,0.7245,64.3311,52.7358,77.1558,9.6255,3.5870,23.1459,0
formal_e5_e5_hot_t512_rep01,E5-Hot-T512,512,"Phase A (Read Sensitive)",0.2598,100000,384959.2154,0.5093,134.2440,0.0000,134.2440,18.7000,0.0000,31.0343,0
formal_e5_e5_hot_t512_rep01,E5-Hot-T512,512,"Phase B (Write Burst)",0.2685,100000,372482.1899,0.9728,193.5718,188.9365,210.0721,135.7162,136.8724,58.7418,0
formal_e5_e5_hot_t512_rep01,E5-Hot-T512,512,"Phase B-Inject (20% Window)",0.0537,20000,372482.1899,1.2009,249.5199,243.1025,255.7966,176.3258,174.9423,76.7827,0
formal_e5_e5_hot_t512_rep01,E5-Hot-T512,512,"Phase B-PostBurst (80% Window)",0.2148,80000,372482.1899,0.8775,84.1395,74.7626,98.1391,14.6573,6.4683,37.4928,0
formal_e5_e5_hot_t512_rep01,E5-Hot-T512,512,"Phase C (Read Recovery)",0.1385,100000,722259.2657,0.7932,69.0993,63.2872,84.9592,10.4967,3.2774,27.9119,0
formal_e5_e5_cold_clean_rep02,E5-Cold-CLEAN,0,"Phase A (Read Sensitive)",0.2040,100000,490166.8414,0.4452,102.8889,0.0000,102.8889,14.1940,0.0000,21.6665,0
