exp_id,stage,event_type,job_id,timestamp_sec,reason,size_or_out_bytes,extra_info
formal_e6_e6_c448_t512_rep01,PRELOAD,FLUSH,2,0.4715,"Write Buffer Full",59992842,"/home/wam/grad/s14-range-delete-study/run-db/e6_matrix/db_formal_e6_e6_c448_t512_rep01/000009.sst"
formal_e6_e6_c448_t512_rep01,PRELOAD,FLUSH,3,0.8829,"Write Buffer Full",59993911,"/home/wam/grad/s14-range-delete-study/run-db/e6_matrix/db_formal_e6_e6_c448_t512_rep01/000011.sst"
formal_e6_e6_c448_t512_rep01,PRELOAD,FLUSH,4,0.8829,"Manual Flush",15631876,"/home/wam/grad/s14-range-delete-study/run-db/e6_matrix/db_formal_e6_e6_c448_t512_rep01/000013.sst"
formal_e6_e6_c384_clean_rep01,PRELOAD,FLUSH,2,0.4138,"Write Buffer Full",59992993,"/home/wam/grad/s14-range-delete-study/run-db/e6_matrix/db_formal_e6_e6_c384_clean_rep01/000009.sst"
formal_e6_e6_c384_clean_rep01,PRELOAD,FLUSH,3,0.6863,"Write Buffer Full",59994972,"/home/wam/grad/s14-range-delete-study/run-db/e6_matrix/db_formal_e6_e6_c384_clean_rep01/000011.sst"
formal_e6_e6_c384_clean_rep01,PRELOAD,FLUSH,4,0.6863,"Manual Flush",15632066,"/home/wam/grad/s14-range-delete-study/run-db/e6_matrix/db_formal_e6_e6_c384_clean_rep01/000013.sst"
formal_e6_e6_c256_clean_rep01,PRELOAD,FLUSH,2,0.4103,"Write Buffer Full",59992842,"/home/wam/grad/s14-range-delete-study/run-db/e6_matrix/db_formal_e6_e6_c256_clean_rep01/000009.sst"
formal_e6_e6_c256_clean_rep01,PRELOAD,FLUSH,3,0.7257,"Write Buffer Full",59992999,"/home/wam/grad/s14-range-delete-study/run-db/e6_matrix/db_formal_e6_e6_c256_clean_rep01/000011.sst"
formal_e6_e6_c256_clean_rep01,PRELOAD,FLUSH,4,0.7257,"Manual Flush",15631721,"/home/wam/grad/s14-range-delete-study/run-db/e6_matrix/db_formal_e6_e6_c256_clean_rep01/000013.sst"
formal_e6_e6_c384_t512_rep01,PRELOAD,FLUSH,2,0.4289,"Write Buffer Full",59993904,"/home/wam/grad/s14-range-delete-study/run-db/e6_matrix/db_formal_e6_e6_c384_t512_rep01/000009.sst"
formal_e6_e6_c384_t512_rep01,PRELOAD,FLUSH,3,0.7040,"Write Buffer Full",59992999,"/home/wam/grad/s14-range-delete-study/run-db/e6_matrix/db_formal_e6_e6_c384_t512_rep01/000011.sst"
formal_e6_e6_c384_t512_rep01,PRELOAD,FLUSH,4,0.7040,"Manual Flush",15631877,"/home/wam/grad/s14-range-delete-study/run-db/e6_matrix/db_formal_e6_e6_c384_t512_rep01/000013.sst"
formal_e6_e6_c448_oracleflush_rep01,PRELOAD,FLUSH,2,0.5471,"Write Buffer Full",59992994,"/home/wam/grad/s14-range-delete-study/run-db/e6_matrix/db_formal_e6_e6_c448_oracleflush_rep01/000009.sst"
formal_e6_e6_c448_oracleflush_rep01,PRELOAD,FLUSH,3,0.9640,"Write Buffer Full",59993151,"/home/wam/grad/s14-range-delete-study/run-db/e6_matrix/db_formal_e6_e6_c448_oracleflush_rep01/000011.sst"
