exp_id,group_name,threshold,phase,elapsed_sec,completed_ops,true_phase_iops,scan_us_per_key,scan_p99_us,scan_intersect_p99_us,scan_non_intersect_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count
formal_e6_e6_c448_t512_rep01,E6-C448-T512,512,"Phase A (Read Sensitive)",0.2545,100000,392945.7051,0.5401,112.3379,104.2696,122.2837,19.0546,15.5729,22.9365,0
formal_e6_e6_c448_t512_rep01,E6-C448-T512,512,"Phase B (Write Burst)",0.2206,100000,453208.9167,0.9802,129.9225,122.2837,169.8244,85.0107,85.1138,52.5126,0
formal_e6_e6_c448_t512_rep01,E6-C448-T512,512,"Phase B-Inject (20% Window)",0.0441,20000,453208.9167,0.9391,171.2711,150.8983,209.8177,124.9047,112.6788,76.9690,0
formal_e6_e6_c448_t512_rep01,E6-C448-T512,512,"Phase B-PostBurst (80% Window)",0.1765,80000,453208.9167,1.0070,88.4794,45.8197,102.2673,19.5221,5.2672,37.0187,0
formal_e6_e6_c448_t512_rep01,E6-C448-T512,512,"Phase C (Read Recovery)",0.1020,100000,980170.0138,0.8805,73.3713,37.4473,84.5996,15.3016,2.6607,28.5621,0
formal_e6_e6_c384_clean_rep01,E6-C384-CLEAN,0,"Phase A (Read Sensitive)",0.2710,100000,368975.0475,0.5826,154.9755,143.5837,177.8279,23.0759,19.4042,28.1497,0
formal_e6_e6_c384_clean_rep01,E6-C384-CLEAN,0,"Phase B (Write Burst)",0.2380,100000,420231.0101,0.4616,77.4837,64.6046,87.9449,16.5356,11.7989,26.1755,0
formal_e6_e6_c384_clean_rep01,E6-C384-CLEAN,0,"Phase B-Inject (20% Window)",0.0476,20000,420231.0101,0.5019,85.5792,71.3544,96.4296,17.8259,12.9608,28.9278,0
formal_e6_e6_c384_clean_rep01,E6-C384-CLEAN,0,"Phase B-PostBurst (80% Window)",0.1904,80000,420231.0101,0.4516,74.3109,60.5855,85.5274,16.1397,11.3501,25.7195,0
formal_e6_e6_c384_clean_rep01,E6-C384-CLEAN,0,"Phase C (Read Recovery)",0.1847,100000,541430.1630,0.4599,75.8118,61.2870,85.7869,16.0519,10.8393,24.9823,0
formal_e6_e6_c256_clean_rep01,E6-C256-CLEAN,0,"Phase A (Read Sensitive)",0.2878,100000,347485.3736,0.6094,126.3511,115.3733,157.0553,23.4707,16.3167,35.4384,0
formal_e6_e6_c256_clean_rep01,E6-C256-CLEAN,0,"Phase B (Write Burst)",0.3063,100000,326447.8304,0.5790,98.9152,88.9632,114.9546,20.5042,14.7821,30.3647,0
formal_e6_e6_c256_clean_rep01,E6-C256-CLEAN,0,"Phase B-Inject (20% Window)",0.0613,20000,326447.8304,0.6136,104.6494,95.0374,123.9247,23.2724,16.1397,33.3952,0
formal_e6_e6_c256_clean_rep01,E6-C256-CLEAN,0,"Phase B-PostBurst (80% Window)",0.2451,80000,326447.8304,0.5703,96.6051,86.8855,111.7947,19.8201,14.2371,29.6735,0
formal_e6_e6_c256_clean_rep01,E6-C256-CLEAN,0,"Phase C (Read Recovery)",0.2271,100000,440428.1062,0.5324,88.7479,78.2860,102.0197,18.0324,13.6707,29.5479,0
formal_e6_e6_c384_t512_rep01,E6-C384-T512,512,"Phase A (Read Sensitive)",0.2619,100000,381820.7548,0.5797,119.2831,112.6105,130.4747,21.2247,16.4856,39.0699,0
formal_e6_e6_c384_t512_rep01,E6-C384-T512,512,"Phase B (Write Burst)",0.1889,100000,529273.9265,0.8767,109.2499,99.2154,132.3860,71.9623,63.5177,47.3725,0
formal_e6_e6_c384_t512_rep01,E6-C384-T512,512,"Phase B-Inject (20% Window)",0.0378,20000,529273.9265,0.8312,139.4677,130.2377,161.7884,96.1962,85.9951,63.5562,0
formal_e6_e6_c384_t512_rep01,E6-C384-T512,512,"Phase B-PostBurst (80% Window)",0.1512,80000,529273.9265,0.9070,79.5774,39.6422,92.5371,18.3743,2.8269,30.4383,0
formal_e6_e6_c384_t512_rep01,E6-C384-T512,512,"Phase C (Read Recovery)",0.0917,100000,1090696.2465,0.8422,69.6036,34.4642,82.0252,14.9714,2.2592,25.3329,0
formal_e6_e6_c448_oracleflush_rep01,E6-C448-OracleFlush,0,"Phase A (Read Sensitive)",0.2873,100000,348042.3114,0.6531,124.7535,114.3294,143.9322,22.2655,16.9824,26.6073,0
formal_e6_e6_c448_oracleflush_rep01,E6-C448-OracleFlush,0,"Phase B (Write Burst)",0.2279,100000,438773.2245,1.0134,149.5329,139.2988,190.6616,106.5692,97.1334,57.3352,0
formal_e6_e6_c448_oracleflush_rep01,E6-C448-OracleFlush,0,"Phase B-Inject (20% Window)",0.0456,20000,438773.2245,1.0302,200.4958,180.5423,237.7128,141.0827,131.3473,73.9068,0
formal_e6_e6_c448_oracleflush_rep01,E6-C448-OracleFlush,0,"Phase B-PostBurst (80% Window)",0.1823,80000,438773.2245,1.0025,94.4633,47.9501,106.3112,21.4835,6.2829,38.2037,0
formal_e6_e6_c448_oracleflush_rep01,E6-C448-OracleFlush,0,"Phase C (Read Recovery)",0.1442,100000,693686.1299,1.1757,99.5767,52.2903,117.9177,17.8476,4.8476,31.9309,0
formal_e6_e6_c448_t256_rep01,E6-C448-T256,256,"Phase A (Read Sensitive)",0.2357,100000,424295.7770,0.5530,116.3562,108.0648,124.7535,20.9183,15.9163,24.3397,0
formal_e6_e6_c448_t256_rep01,E6-C448-T256,256,"Phase B (Write Burst)",0.2351,100000,425368.4829,0.9916,104.2696,80.8410,121.8399,42.6580,39.7384,43.8637,0
formal_e6_e6_c448_t256_rep01,E6-C448-T256,256,"Phase B-Inject (20% Window)",0.0470,20000,425368.4829,0.7368,110.9847,105.0306,119.4278,59.1347,54.8543,59.8557,0
formal_e6_e6_c448_t256_rep01,E6-C448-T256,256,"Phase B-PostBurst (80% Window)",0.1881,80000,425368.4829,1.1574,100.0000,52.8317,121.9137,20.3063,6.0880,35.5459,0
formal_e6_e6_c448_t256_rep01,E6-C448-T256,256,"Phase C (Read Recovery)",0.1290,100000,775254.8633,1.1215,90.8701,49.0076,107.8685,18.6887,4.5515,33.2136,0
formal_e6_e6_c256_t512_rep01,E6-C256-T512,512,"Phase A (Read Sensitive)",0.2671,100000,374455.0270,0.5953,120.2993,113.0207,132.0655,23.1599,16.4357,36.6393,0
formal_e6_e6_c256_t512_rep01,E6-C256-T512,512,"Phase B (Write Burst)",0.2417,100000,413684.6844,0.9996,127.7367,89.9934,158.2015,48.6820,46.1262,48.1247,0
formal_e6_e6_c256_t512_rep01,E6-C256-T512,512,"Phase B-Inject (20% Window)",0.0483,20000,413684.6844,0.8720,151.8154,128.8250,209.1830,102.3913,85.3721,62.9049,0
formal_e6_e6_c256_t512_rep01,E6-C256-T512,512,"Phase B-PostBurst (80% Window)",0.1934,80000,413684.6844,1.0819,117.7749,48.4466,145.7754,23.9013,5.9314,37.8810,0
formal_e6_e6_c256_t512_rep01,E6-C256-T512,512,"Phase C (Read Recovery)",0.1159,100000,862735.9720,1.0009,84.4972,40.8864,103.2636,17.6861,3.1185,30.9592,0
formal_e6_e6_c256_t256_rep01,E6-C256-T256,256,"Phase A (Read Sensitive)",0.2543,100000,393256.9984,0.5741,128.9030,122.2096,141.3394,21.9307,16.8798,23.7425,0
formal_e6_e6_c256_t256_rep01,E6-C256-T256,256,"Phase B (Write Burst)",0.2026,100000,493547.9342,0.9728,112.6788,91.7554,144.0194,44.3447,40.5902,47.0293,0
formal_e6_e6_c256_t256_rep01,E6-C256-T256,256,"Phase B-Inject (20% Window)",0.0405,20000,493547.9342,0.8138,155.4458,132.1456,189.9696,71.7012,67.1185,58.3516,0
formal_e6_e6_c256_t256_rep01,E6-C256-T256,256,"Phase B-PostBurst (80% Window)",0.1621,80000,493547.9342,1.0754,94.9223,45.9588,112.1339,20.2817,4.9186,36.5949,0
formal_e6_e6_c256_t256_rep01,E6-C256-T256,256,"Phase C (Read Recovery)",0.1418,100000,705262.7589,1.1972,96.8982,46.0703,111.0520,18.8479,4.2195,29.1920,0
