exp_id,stage,event_type,job_id,timestamp_sec,reason,size_or_out_bytes,extra_info
formal_e7_e7_t512_rep01,PRELOAD,FLUSH,2,0.2875,"Write Buffer Full",68488400,"/home/wam/grad/s14-range-delete-study/run-db/e7_matrix/db_formal_e7_e7_t512_rep01/000009.sst"
formal_e7_e7_t512_rep01,PRELOAD,FLUSH,3,0.3778,"Write Buffer Full",68488392,"/home/wam/grad/s14-range-delete-study/run-db/e7_matrix/db_formal_e7_e7_t512_rep01/000011.sst"
formal_e7_e7_t512_rep01,PRELOAD,FLUSH,4,0.5650,"Write Buffer Full",68488400,"/home/wam/grad/s14-range-delete-study/run-db/e7_matrix/db_formal_e7_e7_t512_rep01/000013.sst"
formal_e7_e7_t512_rep01,PRELOAD,FLUSH,5,0.7487,"Write Buffer Full",68488392,"/home/wam/grad/s14-range-delete-study/run-db/e7_matrix/db_formal_e7_e7_t512_rep01/000015.sst"
formal_e7_e7_t512_rep01,PRELOAD,FLUSH,6,0.8449,"Write Buffer Full",68488400,"/home/wam/grad/s14-range-delete-study/run-db/e7_matrix/db_formal_e7_e7_t512_rep01/000017.sst"
formal_e7_e7_t512_rep01,PRELOAD,FLUSH,8,1.1631,"Write Buffer Full",68488400,"/home/wam/grad/s14-range-delete-study/run-db/e7_matrix/db_formal_e7_e7_t512_rep01/000020.sst"
formal_e7_e7_t512_rep01,PRELOAD,FLUSH,9,1.6077,"Write Buffer Full",68488392,"/home/wam/grad/s14-range-delete-study/run-db/e7_matrix/db_formal_e7_e7_t512_rep01/000023.sst"
formal_e7_e7_t512_rep01,PRELOAD,FLUSH,10,1.6491,"Manual Flush",43106224,"/home/wam/grad/s14-range-delete-study/run-db/e7_matrix/db_formal_e7_e7_t512_rep01/000025.sst"
formal_e7_e7_t512_rep01,FOREGROUND,FLUSH,12,0.8556,"Write Buffer Full",58697748,"/home/wam/grad/s14-range-delete-study/run-db/e7_matrix/db_formal_e7_e7_t512_rep01/000031.sst"
formal_e7_e7_t512_rep01,FOREGROUND,FLUSH,13,0.8556,"Memtable Max Range Deletions",13320938,"/home/wam/grad/s14-range-delete-study/run-db/e7_matrix/db_formal_e7_e7_t512_rep01/000033.sst"
