exp_id,group_name,threshold,phase,elapsed_sec,completed_ops,true_phase_iops,scan_us_per_key,scan_p99_us,scan_intersect_p99_us,scan_non_intersect_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count
formal_e7_e7_t512_rep01,E7-T512,512,"Phase A (Read Sensitive)",0.4299,100000,232619.6003,1.5803,301.9952,326.3504,301.4467,20.5166,22.9504,36.6393,0
formal_e7_e7_t512_rep01,E7-T512,512,"Phase B (Write Burst)",0.5341,100000,187246.6975,1.9717,301.8122,292.8053,301.9952,62.8668,55.3551,51.5978,0
formal_e7_e7_t512_rep01,E7-T512,512,"Phase B-Inject (20% Window)",0.1068,10000,93623.3487,2.0823,327.9363,320.8602,328.5330,122.1356,98.6160,78.2860,0
formal_e7_e7_t512_rep01,E7-T512,512,"Phase B-PostBurst (80% Window)",0.4272,90000,210652.5346,1.9592,297.4548,160.2274,298.7192,26.9153,14.3845,38.5525,0
formal_e7_e7_t512_rep01,E7-T512,512,"Phase C (Read Recovery)",0.5582,100000,179152.8249,2.7049,408.8641,211.6052,411.8479,30.6048,14.9805,40.0042,0
formal_e7_e7_t256_rep01,E7-T256,256,"Phase A (Read Sensitive)",0.4543,100000,220098.1503,1.6345,301.4467,316.4194,301.2641,22.1041,22.2116,39.6182,0
formal_e7_e7_t256_rep01,E7-T256,256,"Phase B (Write Burst)",0.8815,100000,113437.0975,2.7788,650.7603,340.4907,651.5494,70.0691,89.2332,912.5636,0
formal_e7_e7_t256_rep01,E7-T256,256,"Phase B-Inject (20% Window)",0.1763,10000,56718.5487,2.6984,660.2932,449.1262,677.3131,212.5046,179.3429,1243.0073,0
formal_e7_e7_t256_rep01,E7-T256,256,"Phase B-PostBurst (80% Window)",0.7052,90000,127616.7346,2.7880,644.4816,251.0365,648.7917,49.6954,27.7769,56.5074,0
formal_e7_e7_t256_rep01,E7-T256,256,"Phase C (Read Recovery)",0.5288,100000,189118.0534,2.8892,458.1974,256.8839,460.1450,33.5982,16.0325,52.2903,0
formal_e7_e7_t2048_rep01,E7-T2048,2048,"Phase A (Read Sensitive)",0.4372,100000,228718.4436,1.6158,297.8155,294.0499,298.1767,21.1093,21.9041,41.9149,0
formal_e7_e7_t2048_rep01,E7-T2048,2048,"Phase B (Write Burst)",0.5208,100000,192030.3646,1.9456,329.3302,296.0164,331.7336,95.3836,78.7618,52.2270,0
formal_e7_e7_t2048_rep01,E7-T2048,2048,"Phase B-Inject (20% Window)",0.1042,10000,96015.1823,2.2445,436.7804,320.4715,443.1788,227.2893,127.6594,81.5791,0
formal_e7_e7_t2048_rep01,E7-T2048,2048,"Phase B-PostBurst (80% Window)",0.4166,90000,216034.1602,1.9116,310.9078,155.9175,312.0402,30.9404,10.8393,47.2006,0
formal_e7_e7_t2048_rep01,E7-T2048,2048,"Phase C (Read Recovery)",0.4861,100000,205727.7007,2.5433,438.1057,197.8408,440.2346,35.0539,16.8492,49.0076,0
formal_e7_e7_clean_rep01,E7-CLEAN,0,"Phase A (Read Sensitive)",0.4567,100000,218983.2871,1.6499,306.2335,317.5719,305.4921,22.6602,23.3289,40.3939,0
formal_e7_e7_clean_rep01,E7-CLEAN,0,"Phase B (Write Burst)",0.4986,100000,200580.9728,1.7205,316.6112,353.7400,313.9367,28.7531,33.0931,46.2942,0
formal_e7_e7_clean_rep01,E7-CLEAN,0,"Phase B-Inject (20% Window)",0.0997,10000,100290.4864,1.8228,320.0834,436.2514,320.0834,31.6803,24.6365,47.6316,0
formal_e7_e7_clean_rep01,E7-CLEAN,0,"Phase B-PostBurst (80% Window)",0.3988,90000,225653.5944,1.7091,316.4194,343.3914,313.9367,28.6487,33.4763,46.2101,0
formal_e7_e7_clean_rep01,E7-CLEAN,0,"Phase C (Read Recovery)",0.4494,100000,222538.1745,2.1768,360.6660,314.5079,362.6383,30.8095,34.9267,45.5429,0
formal_e7_e7_t2048_rep02,E7-T2048,2048,"Phase A (Read Sensitive)",0.4888,100000,204576.5053,1.7692,331.3318,335.7783,330.5297,24.5322,25.1951,45.1035,0
formal_e7_e7_t2048_rep02,E7-T2048,2048,"Phase B (Write Burst)",0.5198,100000,192369.7500,2.0516,371.5352,339.0495,372.4368,121.1772,133.5948,63.6333,0
formal_e7_e7_t2048_rep02,E7-T2048,2048,"Phase B-Inject (20% Window)",0.1040,10000,96184.8750,2.4794,408.1215,406.3941,409.1119,200.9823,155.4458,98.0797,0
formal_e7_e7_t2048_rep02,E7-T2048,2048,"Phase B-PostBurst (80% Window)",0.4159,90000,216415.9688,2.0031,337.6145,167.1698,341.7309,30.8468,11.2270,43.6780,0
formal_e7_e7_t2048_rep02,E7-T2048,2048,"Phase C (Read Recovery)",0.5565,100000,179709.0627,2.9985,538.9878,240.7570,541.9352,39.6422,18.4412,51.4106,0
formal_e7_e7_t512_rep02,E7-T512,512,"Phase A (Read Sensitive)",0.4658,100000,214670.1548,1.7033,306.4191,321.6388,306.2335,22.2520,23.8579,40.6394,0
formal_e7_e7_t512_rep02,E7-T512,512,"Phase B (Write Burst)",0.6350,100000,157485.7726,2.1303,356.7536,306.0479,357.6194,72.1370,48.3000,67.3221,0
formal_e7_e7_t512_rep02,E7-T512,512,"Phase B-Inject (20% Window)",0.1270,10000,78742.8863,2.2498,389.2810,385.5251,391.6469,134.2440,114.1217,110.1806,0
formal_e7_e7_t512_rep02,E7-T512,512,"Phase B-PostBurst (80% Window)",0.5080,90000,177171.4942,2.1167,348.6329,186.0959,351.8162,34.0697,17.1479,47.6027,0
formal_e7_e7_t512_rep02,E7-T512,512,"Phase C (Read Recovery)",0.7258,100000,137785.0500,3.1112,538.0089,291.0364,540.2958,42.2976,24.0903,52.5126,0
formal_e7_e7_t256_rep02,E7-T256,256,"Phase A (Read Sensitive)",0.4826,100000,207190.0225,1.7312,311.8512,348.8443,307.5351,23.4139,22.7703,40.1986,0
formal_e7_e7_t256_rep02,E7-T256,256,"Phase B (Write Burst)",0.7882,100000,126864.0558,2.9550,627.9062,336.1855,634.7922,72.2682,74.3560,190.4306,0
formal_e7_e7_t256_rep02,E7-T256,256,"Phase B-Inject (20% Window)",0.1576,10000,63432.0279,2.9872,776.7176,658.6948,787.6183,199.7682,178.9087,1243.0073,0
formal_e7_e7_t256_rep02,E7-T256,256,"Phase B-PostBurst (80% Window)",0.6306,90000,142722.0627,2.9514,571.6172,242.5140,575.4399,46.0982,18.8822,58.1398,0
formal_e7_e7_t256_rep02,E7-T256,256,"Phase C (Read Recovery)",0.5293,100000,188932.3330,2.7478,422.9761,250.1255,423.4890,36.2638,19.0200,51.9114,0
formal_e7_e7_clean_rep02,E7-CLEAN,0,"Phase A (Read Sensitive)",0.4649,100000,215083.0254,1.6346,300.1708,302.9115,299.9890,21.5618,22.0506,38.9989,0
formal_e7_e7_clean_rep02,E7-CLEAN,0,"Phase B (Write Burst)",0.4733,100000,211291.4323,1.8658,290.8601,264.9463,291.3894,25.3175,27.3593,36.9291,0
formal_e7_e7_clean_rep02,E7-CLEAN,0,"Phase B-Inject (20% Window)",0.0947,10000,105645.7162,1.7318,268.0143,418.3877,267.5275,27.6929,27.3593,38.9989,0
