exp_id,group_name,threshold,phase,elapsed_sec,completed_ops,true_phase_iops,scan_us_per_key,scan_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count
formal_f1_t512_rep01,T512,512,"Phase A (Read Sensitive)",0.2836,100000,352666.8747,0.5846,140.4004,94.0065,93.0995,43.0474,29
formal_f1_t512_rep01,T512,512,"Phase B (Write Burst)",0.5720,100000,174824.8276,1.3686,285.7937,143.1494,136.5410,91.9781,32
formal_f1_t512_rep01,T512,512,"Phase C (Read Recovery)",0.7629,100000,131082.5861,1.4688,354.5985,152.8307,140.5707,938.9265,38
formal_f1_t0_rep01,T0,0,"Phase A (Read Sensitive)",0.4794,100000,208576.9986,0.7649,341.1102,271.6110,315.0802,51.4729,29
formal_f1_t0_rep01,T0,0,"Phase B (Write Burst)",6.7127,100000,14897.0506,15.9723,4748.7461,4499.4341,4510.3529,175.4731,32
formal_f1_t0_rep01,T0,0,"Phase C (Read Recovery)",11.6050,100000,8616.9796,11.3937,6476.1335,6241.1290,6241.1290,163.6618,38
formal_f1_t2048_rep01,T2048,2048,"Phase A (Read Sensitive)",0.4658,100000,214685.7805,0.7682,341.7309,279.7964,337.4100,54.5559,29
formal_f1_t2048_rep01,T2048,2048,"Phase B (Write Burst)",1.9148,100000,52223.7388,4.6686,1578.1849,1336.7575,1345.6973,158.1056,32
formal_f1_t2048_rep01,T2048,2048,"Phase C (Read Recovery)",1.9977,100000,50058.4728,2.9285,1270.4201,1085.8991,1037.6542,131.8257,38
formal_f1_t256_rep01,T256,256,"Phase A (Read Sensitive)",0.3507,100000,285125.4081,0.6458,126.1216,63.2488,53.8009,46.3503,29
formal_f1_t256_rep01,T256,256,"Phase B (Write Burst)",2.0162,100000,49597.2541,2.9139,681.4297,226.4644,206.7885,1222.8366,32
formal_f1_t256_rep01,T256,256,"Phase C (Read Recovery)",1.1759,100000,85038.5215,1.8551,463.2223,167.7787,145.3344,1235.4982,38
formal_f1_t1024_rep01,T1024,1024,"Phase A (Read Sensitive)",0.4012,100000,249243.0023,0.7089,272.1052,213.2786,244.8766,51.2551,29
formal_f1_t1024_rep01,T1024,1024,"Phase B (Write Burst)",0.9730,100000,102773.3204,2.4131,595.3013,445.8723,411.3491,107.8032,32
formal_f1_t1024_rep01,T1024,1024,"Phase C (Read Recovery)",0.9848,100000,101543.4553,1.7589,553.5513,392.1219,371.3102,101.4649,38
