exp_id,stage,event_type,job_id,timestamp_sec,reason,size_or_out_bytes,extra_info
formal_f3_clean_rep01,PRELOAD,FLUSH,2,0.3836,"Write Buffer Full",59991933,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f3_clean_rep01/000009.sst"
formal_f3_clean_rep01,PRELOAD,FLUSH,3,0.7756,"Write Buffer Full",59992999,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f3_clean_rep01/000011.sst"
formal_f3_clean_rep01,PRELOAD,FLUSH,4,0.7756,"Manual Flush",15631873,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f3_clean_rep01/000013.sst"
formal_f3_t0_rep01,PRELOAD,FLUSH,2,0.3817,"Write Buffer Full",59992843,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f3_t0_rep01/000009.sst"
formal_f3_t0_rep01,PRELOAD,FLUSH,3,0.6731,"Write Buffer Full",59991938,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f3_t0_rep01/000011.sst"
formal_f3_t0_rep01,PRELOAD,FLUSH,4,0.6731,"Manual Flush",15631721,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f3_t0_rep01/000013.sst"
formal_f3_t256_rep01,PRELOAD,FLUSH,2,0.3763,"Write Buffer Full",59992843,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f3_t256_rep01/000009.sst"
formal_f3_t256_rep01,PRELOAD,FLUSH,3,0.6397,"Write Buffer Full",59992998,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f3_t256_rep01/000011.sst"
formal_f3_t256_rep01,PRELOAD,FLUSH,4,0.6397,"Manual Flush",15632027,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f3_t256_rep01/000013.sst"
formal_f3_t256_rep01,FOREGROUND,FLUSH,5,0.1206,"Memtable Max Range Deletions",1117696,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f3_t256_rep01/000015.sst"
formal_f3_t256_rep01,FOREGROUND,FLUSH,7,0.1682,"Memtable Max Range Deletions",1052550,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f3_t256_rep01/000018.sst"
formal_f3_t256_rep01,FOREGROUND,FLUSH,8,0.2379,"Memtable Max Range Deletions",1158565,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f3_t256_rep01/000020.sst"
formal_f3_t256_rep01,FOREGROUND,FLUSH,9,0.2969,"Memtable Max Range Deletions",1047395,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f3_t256_rep01/000022.sst"
formal_f3_t256_rep01,FOREGROUND,FLUSH,10,0.4682,"Memtable Max Range Deletions",948776,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f3_t256_rep01/000025.sst"
formal_f3_t256_rep01,FOREGROUND,FLUSH,11,0.5179,"Memtable Max Range Deletions",714459,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f3_t256_rep01/000027.sst"
formal_f3_t256_rep01,FOREGROUND,FLUSH,13,0.6635,"Memtable Max Range Deletions",810211,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_f3_t256_rep01/000030.sst"
