exp_id,group_name,threshold,phase,elapsed_sec,completed_ops,true_phase_iops,scan_us_per_key,scan_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count
formal_f3_clean_rep01,F3-CLEAN,0,"Phase A (Read Sensitive)",0.2662,100000,375629.3425,0.5394,108.7875,15.9743,0.0000,22.7979,0
formal_f3_clean_rep01,F3-CLEAN,0,"Phase B (Write Burst)",0.2083,100000,480065.8627,0.4951,73.5048,14.1339,0.0000,28.6835,0
formal_f3_clean_rep01,F3-CLEAN,0,"Phase C (Read Recovery)",0.1877,100000,532665.4305,0.4772,66.0293,10.8853,0.0000,23.1880,0
formal_f3_t0_rep01,F3-T0,0,"Phase A (Read Sensitive)",0.4654,100000,214879.2325,0.8168,352.6699,282.1801,321.6388,54.8875,0
formal_f3_t0_rep01,F3-T0,0,"Phase B (Write Burst)",6.9732,100000,14340.5589,20.8098,4674.5181,4461.4259,4493.9846,223.0597,0
formal_f3_t0_rep01,F3-T0,0,"Phase C (Read Recovery)",11.9588,100000,8362.0770,18.6584,6543.1891,6301.9316,6282.8674,214.5749,0
formal_f3_t256_rep01,F3-T256,256,"Phase A (Read Sensitive)",0.3469,100000,288285.0819,0.6793,129.2159,65.1549,53.1850,48.3000,0
formal_f3_t256_rep01,F3-T256,256,"Phase B (Write Burst)",2.4592,100000,40663.0054,3.1914,568.1640,229.6427,194.0416,2432.4988,0
formal_f3_t256_rep01,F3-T256,256,"Phase C (Read Recovery)",0.8719,100000,114696.2921,2.0419,347.9998,163.4636,145.5106,2084.2383,0
formal_f3_t2048_rep01,F3-T2048,2048,"Phase A (Read Sensitive)",0.4456,100000,224428.8254,0.7460,316.8031,254.7139,319.8895,49.3951,0
formal_f3_t2048_rep01,F3-T2048,2048,"Phase B (Write Burst)",2.0497,100000,48787.6693,5.8327,1510.8124,1342.4395,1255.1170,180.6517,0
formal_f3_t2048_rep01,F3-T2048,2048,"Phase C (Read Recovery)",2.1185,100000,47202.3866,4.1542,1311.0872,1141.2175,1118.6242,160.3245,0
formal_f3_t2048_rep02,F3-T2048,2048,"Phase A (Read Sensitive)",0.4451,100000,224693.6123,0.7342,322.6147,265.1069,311.4735,50.6070,0
formal_f3_t2048_rep02,F3-T2048,2048,"Phase B (Write Burst)",2.1691,100000,46103.0906,6.4848,1565.8020,1368.7237,1357.1616,194.6303,0
formal_f3_t2048_rep02,F3-T2048,2048,"Phase C (Read Recovery)",2.2106,100000,45235.6434,4.6547,1352.2364,1174.1858,1141.9092,167.9822,0
formal_f3_t256_rep02,F3-T256,256,"Phase A (Read Sensitive)",0.3384,100000,295503.9735,0.6491,121.1772,58.8130,57.7886,45.6535,0
formal_f3_t256_rep02,F3-T256,256,"Phase B (Write Burst)",1.2545,100000,79710.6752,2.3159,451.8559,184.1888,163.9596,1157.2336,0
formal_f3_t256_rep02,F3-T256,256,"Phase C (Read Recovery)",0.6291,100000,158962.3583,1.6132,333.9521,117.1343,91.6443,1056.0493,0
formal_f3_t0_rep02,F3-T0,0,"Phase A (Read Sensitive)",0.4336,100000,230637.7249,0.7210,304.1991,243.2499,283.2078,47.4587,0
formal_f3_t0_rep02,F3-T0,0,"Phase B (Write Burst)",6.7411,100000,14834.3624,19.9745,4740.1215,4515.8223,4570.8819,195.8133,0
formal_f3_t0_rep02,F3-T0,0,"Phase C (Read Recovery)",10.9404,100000,9140.4699,14.5869,6421.4274,6229.7940,6222.2487,149.5329,0
formal_f3_clean_rep02,F3-CLEAN,0,"Phase A (Read Sensitive)",0.2628,100000,380535.9413,0.5626,107.4120,16.6261,0.0000,34.3391,0
