exp_id,group_name,threshold,phase,elapsed_sec,completed_ops,true_phase_iops,scan_us_per_key,scan_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count
formal_f4a_wbs_16mb_rep01,F4A-WBS-16MB,0,"Phase A (Read Sensitive)",0.4430,100000,225729.6252,0.7039,297.8155,241.6339,276.0912,50.5151,29
formal_f4a_wbs_16mb_rep01,F4A-WBS-16MB,0,"Phase B (Write Burst)",3.8360,100000,26068.7607,9.8078,2654.2839,2417.8038,2347.0715,197.1228,32
formal_f4a_wbs_16mb_rep01,F4A-WBS-16MB,0,"Phase C (Read Recovery)",5.5284,100000,18088.3206,6.8771,3731.1448,3473.6773,3442.2476,160.2274,38
formal_f4a_wbs_64mb_rep01,F4A-WBS-64MB,0,"Phase A (Read Sensitive)",0.4706,100000,212490.0983,0.7531,330.3295,259.2294,321.8337,53.2818,29
formal_f4a_wbs_64mb_rep01,F4A-WBS-64MB,0,"Phase B (Write Burst)",6.9897,100000,14306.6885,17.9158,4748.7461,4488.5417,4557.0544,201.3480,32
formal_f4a_wbs_64mb_rep01,F4A-WBS-64MB,0,"Phase C (Read Recovery)",12.1394,100000,8237.6624,13.4072,6535.2643,6256.2744,6256.2744,186.2087,38
formal_f4a_wbs_128mb_rep01,F4A-WBS-128MB,0,"Phase A (Read Sensitive)",0.4500,100000,222205.0384,0.7057,300.7169,246.2157,273.2618,52.0059,29
formal_f4a_wbs_128mb_rep01,F4A-WBS-128MB,0,"Phase B (Write Burst)",6.5430,100000,15283.4520,15.1013,4717.1991,4458.7233,4499.4341,169.7215,32
formal_f4a_wbs_128mb_rep01,F4A-WBS-128MB,0,"Phase C (Read Recovery)",11.3244,100000,8830.5053,10.3586,6425.3196,6214.7126,6210.9480,166.1599,38
formal_f4b_wbs_16mb_rep01,F4B-WBS-16MB,0,"Phase A (Read Sensitive)",1.4308,436904,305361.1744,0.0000,0.0000,0.0000,0.0000,52.7677,0
formal_f4b_wbs_16mb_rep01,F4B-WBS-16MB,0,"Phase B (Write Burst)",1.3818,436904,316177.0520,0.0000,0.0000,0.0000,0.0000,37.4247,0
formal_f4b_wbs_16mb_rep01,F4B-WBS-16MB,0,"Phase C (Read Recovery)",1.9116,436912,228557.6801,0.0000,0.0000,0.0000,0.0000,73.2825,0
formal_f4b_wbs_64mb_rep01,F4B-WBS-64MB,0,"Phase A (Read Sensitive)",0.9241,436904,472763.8546,0.0000,0.0000,0.0000,0.0000,25.1493,0
formal_f4b_wbs_64mb_rep01,F4B-WBS-64MB,0,"Phase B (Write Burst)",1.1239,436904,388745.2872,0.0000,0.0000,0.0000,0.0000,29.3872,0
formal_f4b_wbs_64mb_rep01,F4B-WBS-64MB,0,"Phase C (Read Recovery)",1.2020,436912,363482.9035,0.0000,0.0000,0.0000,0.0000,32.1249,0
formal_f4b_wbs_128mb_rep01,F4B-WBS-128MB,0,"Phase A (Read Sensitive)",0.9298,436904,469869.7294,0.0000,0.0000,0.0000,0.0000,25.3022,0
formal_f4b_wbs_128mb_rep01,F4B-WBS-128MB,0,"Phase B (Write Burst)",1.1458,436904,381319.9136,0.0000,0.0000,0.0000,0.0000,28.8928,0
formal_f4b_wbs_128mb_rep01,F4B-WBS-128MB,0,"Phase C (Read Recovery)",1.0826,436912,403559.4842,0.0000,0.0000,0.0000,0.0000,28.5448,0
formal_f4b_wbs_128mb_rep02,F4B-WBS-128MB,0,"Phase A (Read Sensitive)",0.8597,436904,508206.9719,0.0000,0.0000,0.0000,0.0000,22.2250,0
formal_f4b_wbs_128mb_rep02,F4B-WBS-128MB,0,"Phase B (Write Burst)",0.9911,436904,440810.7269,0.0000,0.0000,0.0000,0.0000,25.6107,0
formal_f4b_wbs_128mb_rep02,F4B-WBS-128MB,0,"Phase C (Read Recovery)",0.9712,436912,449869.8538,0.0000,0.0000,0.0000,0.0000,25.3482,0
formal_f4b_wbs_64mb_rep02,F4B-WBS-64MB,0,"Phase A (Read Sensitive)",0.8190,436904,533453.1982,0.0000,0.0000,0.0000,0.0000,21.6928,0
formal_f4b_wbs_64mb_rep02,F4B-WBS-64MB,0,"Phase B (Write Burst)",1.0259,436904,425865.4940,0.0000,0.0000,0.0000,0.0000,27.9966,0
formal_f4b_wbs_64mb_rep02,F4B-WBS-64MB,0,"Phase C (Read Recovery)",1.2219,436912,357562.2567,0.0000,0.0000,0.0000,0.0000,27.9796,0
formal_f4b_wbs_16mb_rep02,F4B-WBS-16MB,0,"Phase A (Read Sensitive)",1.5043,436904,290440.0938,0.0000,0.0000,0.0000,0.0000,51.5666,0
formal_f4b_wbs_16mb_rep02,F4B-WBS-16MB,0,"Phase B (Write Burst)",1.9837,436904,220241.4672,0.0000,0.0000,0.0000,0.0000,82.1247,0
formal_f4b_wbs_16mb_rep02,F4B-WBS-16MB,0,"Phase C (Read Recovery)",1.8679,436912,233901.2405,0.0000,0.0000,0.0000,0.0000,62.2979,0
formal_f4a_wbs_128mb_rep02,F4A-WBS-128MB,0,"Phase A (Read Sensitive)",0.4488,100000,222812.2623,0.6913,286.3137,237.4249,314.1270,48.8001,29
formal_f4a_wbs_128mb_rep02,F4A-WBS-128MB,0,"Phase B (Write Burst)",6.9116,100000,14468.3706,17.7469,4725.7820,4513.0868,4524.0387,216.5341,32
formal_f4a_wbs_128mb_rep02,F4A-WBS-128MB,0,"Phase C (Read Recovery)",12.1460,100000,8233.1464,13.4952,6539.2255,6305.7514,6305.7514,181.7497,38
