elapsed_sec,phase_label,level,total_files,total_bytes,tombstone_files,total_range_tombstones
44.60,phase_a,0,17,3424315876,7,1850
44.60,phase_a,1,0,0,0,0
44.60,phase_a,2,0,0,0,0
44.60,phase_a,3,0,0,0,0
44.60,phase_a,4,0,0,0,0
44.60,phase_a,5,21,2518783503,0,0
44.60,phase_a,6,23,1339806747,0,0
143.29,phase_b,0,11,3004802858,11,4111
143.29,phase_b,1,0,0,0,0
143.29,phase_b,2,0,0,0,0
143.29,phase_b,3,0,0,0,0
143.29,phase_b,4,15,1741901297,7,2694
143.29,phase_b,5,9,652350575,9,1486
143.29,phase_b,6,141,8956298804,0,0
356.83,phase_c,0,1,61123901,1,1878
356.83,phase_c,1,0,0,0,0
356.83,phase_c,2,0,0,0,0
356.83,phase_c,3,0,0,0,0
356.83,phase_c,4,7,467135351,5,5158
356.83,phase_c,5,24,1527251283,10,8091
356.83,phase_c,6,267,16528071970,0,0
539.47,phase_d,0,0,0,0,0
539.47,phase_d,1,0,0,0,0
539.47,phase_d,2,0,0,0,0
539.47,phase_d,3,0,0,0,0
539.47,phase_d,4,5,258944469,0,0
539.47,phase_d,5,34,2208010484,9,1080
539.47,phase_d,6,330,20720274676,0,0
1143.36,COOLDOWN_FINAL,0,1,65343695,0,0
1143.36,COOLDOWN_FINAL,1,0,0,0,0
1143.36,COOLDOWN_FINAL,2,0,0,0,0
1143.36,COOLDOWN_FINAL,3,0,0,0,0
1143.36,COOLDOWN_FINAL,4,5,258944469,0,0
1143.36,COOLDOWN_FINAL,5,31,1983520258,9,1080
1143.36,COOLDOWN_FINAL,6,334,20939365584,0,0
