elapsed_sec,phase_label,level,total_files,total_bytes,tombstone_files,total_range_tombstones
41.22,phase_a,0,15,3301685554,0,0
41.22,phase_a,1,0,0,0,0
41.22,phase_a,2,0,0,0,0
41.22,phase_a,3,0,0,0,0
41.22,phase_a,4,0,0,0,0
41.22,phase_a,5,21,2580464214,0,0
41.22,phase_a,6,23,1390087619,0,0
130.49,phase_b,0,14,3864946210,0,0
130.49,phase_b,1,0,0,0,0
130.49,phase_b,2,0,0,0,0
130.49,phase_b,3,0,0,0,0
130.49,phase_b,4,21,2325296598,0,0
130.49,phase_b,5,9,768963183,0,0
130.49,phase_b,6,126,8438836710,0,0
384.52,phase_c,0,2,130209484,0,0
384.52,phase_c,1,0,0,0,0
384.52,phase_c,2,0,0,0,0
384.52,phase_c,3,0,0,0,0
384.52,phase_c,4,4,264280732,0,0
384.52,phase_c,5,30,1956513820,0,0
384.52,phase_c,6,311,19617903644,0,0
648.03,phase_d,0,0,0,0,0
648.03,phase_d,1,0,0,0,0
648.03,phase_d,2,0,0,0,0
648.03,phase_d,3,0,0,0,0
648.03,phase_d,4,6,459933066,0,0
648.03,phase_d,5,35,2620594646,0,0
648.03,phase_d,6,411,25982884781,0,0
1248.58,COOLDOWN_FINAL,0,0,0,0,0
1248.58,COOLDOWN_FINAL,1,0,0,0,0
1248.58,COOLDOWN_FINAL,2,0,0,0,0
1248.58,COOLDOWN_FINAL,3,0,0,0,0
1248.58,COOLDOWN_FINAL,4,4,259135652,0,0
1248.58,COOLDOWN_FINAL,5,34,2535603032,0,0
1248.58,COOLDOWN_FINAL,6,413,26178599043,0,0
