elapsed_sec,phase_id,interval_trace_ops,interval_trace_iops,interval_db_api_ops,interval_db_api_iops,cum_new_puts,cum_update_puts,cum_del_ranges,cum_clean_noops,put_cnt,put_p50,put_p95,put_p99,put_p999,get_del_cnt,get_del_p99,get_adj_cnt,get_adj_p99,get_ctl_cnt,get_ctl_p99,scan_inter_cnt,scan_inter_p99,scan_non_cnt,scan_non_p99,scan_bound_cnt,scan_bound_p99,del_range_cnt,del_range_p99,stall_micros_delta,is_write_stopped,is_write_slowdown,memtable_size_bytes,memtable_tombstones,num_imm,l0_files,l1_files,l2_files,l3_files,l4_files,l5_files,l6_files,l0_bytes,l1_bytes,l2_bytes,l3_bytes,l4_bytes,l5_bytes,l6_bytes,pending_compaction_bytes,disk_bytes
5.00,0,1150845,230169.00,1150845,230169.00,805998,115163,0,0,920908,27.00,39.00,47.00,213.000000,46715,25.00,37895,24.00,87612,24.00,17805,327.00,39910,349.00,0,0.00,0,0.00,0,0,0,62917088,57229,1,5,0,0,0,0,0,7,0,0,0,0,0,0,0,451398726,1702887009
10.04,0,847867,169573.40,847867,169573.40,1406262,201182,0,0,678453,26.00,46.00,70.00,1183.000000,33986,48.00,27875,47.00,65211,46.00,12968,619.00,29374,637.00,0,0.00,0,0.00,0,0,0,67111424,61256,0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,2246070832,1794168020
15.11,0,940407,188081.40,940407,188081.40,2063339,294805,0,0,751836,25.00,40.00,56.00,1136.000000,37970,39.00,30886,38.00,72660,39.00,14596,543.00,32459,577.00,0,0.00,0,0.00,0,0,0,10487888,8779,1,8,0,0,0,0,8,7,0,0,0,0,0,0,0,3781647274,2585590289
20.14,0,987391,197478.20,987391,197478.20,2753185,393526,0,0,789385,24.00,37.00,46.00,135.000000,39801,34.00,33177,34.00,75836,34.00,15107,474.00,34085,508.00,0,0.00,0,0.00,0,0,0,65014256,59293,0,12,0,0,0,0,8,7,0,0,0,0,0,0,0,5474940159,5045820518
25.18,0,1037262,207452.40,1037262,207452.40,3480196,496834,0,0,829334,22.00,35.00,43.00,139.000000,41746,35.00,33944,34.00,80137,33.00,16054,457.00,36047,491.00,0,0.00,0,0.00,0,0,0,26216648,23502,1,14,0,0,0,0,15,7,0,0,0,0,0,0,0,7023609976,4614265707
30.22,0,1000059,200011.80,1000059,200011.80,4180701,597281,0,0,800714,22.00,36.00,44.00,181.000000,39854,38.00,32859,38.00,76729,38.00,15129,500.00,34774,537.00,0,0.00,0,0.00,0,0,0,26216648,22246,1,18,0,0,0,0,15,7,0,0,0,0,0,0,0,8710862736,7046232223
35.26,0,878747,175749.40,878747,175749.40,4793668,684863,0,0,702583,21.00,37.00,62.00,1211.000000,35233,49.00,29205,48.00,67578,47.00,13583,715.00,30565,746.00,0,0.00,0,0.00,0,0,0,47188328,43642,1,17,0,0,0,0,15,7,0,0,0,0,0,0,0,10136823983,9469763596
40.30,0,741813,148362.60,741813,148362.60,5317835,759620,1,0,594042,23.00,45.00,1122.00,1710.000000,29567,60.00,24209,60.00,56785,60.00,11406,810.00,25805,864.00,0,0.00,0,0.00,0,0,0,30410984,27752,1,13,0,0,0,0,21,9,0,0,0,0,0,0,0,10855157813,10970129807
45.35,0,823705,164741.00,823705,164741.00,5890261,841054,942,0,658559,24.00,42.00,77.00,1247.000000,32754,63.00,26996,61.00,63466,62.00,12536,743.00,28461,789.00,0,0.00,932,139.00,0,0,0,31459568,27552,1,11,0,0,0,0,21,9,0,0,0,0,0,0,0,12228036119,6827294261
50.38,1,780339,156067.80,780339,156067.80,6423629,923818,2053,0,619045,20.00,34.00,47.00,217.000000,31889,47.00,26384,48.00,61174,48.00,12462,630.00,28268,688.00,0,0.00,1117,97.00,0,0,0,8390720,6534,1,16,0,0,0,0,21,9,0,0,0,0,0,0,0,13563812898,8894634047
