elapsed_sec,phase_id,interval_trace_ops,interval_trace_iops,interval_db_api_ops,interval_db_api_iops,cum_new_puts,cum_update_puts,cum_del_ranges,cum_clean_noops,put_cnt,put_p50,put_p95,put_p99,put_p999,get_del_cnt,get_del_p99,get_adj_cnt,get_adj_p99,get_ctl_cnt,get_ctl_p99,scan_inter_cnt,scan_inter_p99,scan_non_cnt,scan_non_p99,scan_bound_cnt,scan_bound_p99,del_range_cnt,del_range_p99,stall_micros_delta,is_write_stopped,is_write_slowdown,memtable_size_bytes,memtable_tombstones,num_imm,l0_files,l1_files,l2_files,l3_files,l4_files,l5_files,l6_files,l0_bytes,l1_bytes,l2_bytes,l3_bytes,l4_bytes,l5_bytes,l6_bytes,pending_compaction_bytes,disk_bytes
5.00,0,1161819,232363.80,1161819,232363.80,820519,117320,0,0,929803,27.00,38.00,46.00,227.000000,47122,26.00,38222,26.00,88414,26.00,17977,339.00,40281,360.00,0,0.00,0,0.00,0,0,0,14682224,12822,2,9,0,0,0,0,0,4,0,0,0,0,0,0,0,578074231,1597296397
10.05,0,249850,49970.00,249851,49970.20,990358,141477,0,0,200000,32.00,1165.00,1346.00,2328.000000,9965,166.00,8184,161.00,19230,165.00,3872,1144.00,8600,1269.00,0,0.00,0,0.00,0,0,0,24119480,21581,1,5,0,0,0,0,0,7,0,0,0,0,0,0,0,1122465780,1307469589
15.07,0,570865,114173.00,570864,114172.80,1387795,198584,0,0,456553,32.00,53.00,72.00,217.000000,22925,57.00,18798,58.00,44037,57.00,8672,776.00,19879,814.00,0,0.00,0,0.00,0,0,0,48236912,43533,1,9,0,0,0,0,0,7,0,0,0,0,0,0,0,2118560425,2348975531
20.16,0,801147,160229.40,801147,160229.40,1953862,279328,0,0,640549,28.00,45.00,63.00,875.000000,32352,48.00,26317,47.00,61931,48.00,12451,626.00,27547,676.00,0,0.00,0,0.00,0,0,0,12585056,10908,2,12,0,0,0,0,7,7,0,0,0,0,0,0,0,3434836717,3079301109
25.22,0,679161,135832.20,679161,135832.20,2427331,347232,0,0,543130,28.00,47.00,64.00,172.000000,27549,53.00,22558,55.00,52035,54.00,10401,798.00,23488,832.00,0,0.00,0,0.00,0,0,0,67111424,60775,1,11,0,0,0,0,7,7,0,0,0,0,0,0,0,4604275522,4810352885
30.25,0,946156,189231.20,946157,189231.40,3090201,441702,0,0,756089,25.00,37.00,46.00,143.000000,38092,35.00,31553,34.00,72955,35.00,14570,448.00,32898,470.00,0,0.00,0,0.00,0,0,0,23070896,20091,1,13,0,0,0,0,10,7,0,0,0,0,0,0,0,6174571336,4562079994
35.29,0,914042,182808.40,914041,182808.20,3730495,532774,0,0,731643,23.00,36.00,43.00,149.000000,36408,39.00,30022,38.00,70247,39.00,14037,484.00,31684,518.00,0,0.00,0,0.00,0,0,0,12585056,10859,1,16,0,0,0,0,10,7,0,0,0,0,0,0,0,7734259295,6862049378
40.33,0,837847,167569.40,837847,167569.40,4319397,617085,0,0,670343,24.00,39.00,67.00,1241.000000,33676,52.00,27474,49.00,64528,51.00,12721,773.00,29105,820.00,0,0.00,0,0.00,0,0,0,8390720,6951,1,18,0,0,0,0,10,7,0,0,0,0,0,0,0,9160486049,9137722663
45.38,0,847236,169447.20,847236,169447.20,4909404,701385,0,0,677839,25.00,40.00,54.00,140.000000,33743,48.00,28054,49.00,65082,49.00,13153,711.00,29365,767.00,0,0.00,0,0.00,0,0,0,4196384,3044,1,16,0,0,0,0,20,7,0,0,0,0,0,0,0,10335775877,6847992511
50.42,0,883950,176790.00,883950,176790.00,5524535,789027,193,0,707570,25.00,39.00,51.00,1101.000000,35167,48.00,29005,49.00,67731,48.00,13479,632.00,30805,669.00,0,0.00,193,222.00,0,0,0,30410984,26163,1,18,0,0,0,0,20,7,0,0,0,0,0,0,0,11763453546,9321460812
55.46,0,561686,112337.20,561686,112337.20,5917885,844834,999,0,448679,27.00,59.00,1148.00,1369.000000,22499,84.00,18350,84.00,43351,85.00,8563,975.00,19439,1047.00,0,0.00,805,1194.00,0,0,0,51382664,44894,0,20,0,0,0,0,20,7,0,0,0,0,0,0,0,12798704605,11745650060
60.50,0,256345,51269.00,256345,51269.00,6098253,870670,1375,0,204771,31.00,1195.00,2274.00,2442.000000,10251,127.00,8597,129.00,19766,129.00,3826,1311.00,8762,1377.00,0,0.00,372,2321.00,0,0,0,8390720,7045,1,14,0,0,0,0,20,7,0,0,0,0,0,0,0,13131506435,13986163897
65.52,1,716873,143374.60,716874,143374.80,6543769,971336,2295,0,544945,20.00,36.00,50.00,83.000000,32413,50.00,26735,51.00,62186,52.00,15246,667.00,34429,763.00,0,0.00,920,110.00,0,0,0,3147800,1667,1,7,0,0,0,0,29,10,0,0,0,0,0,0,0,14864669906,14667456144
70.55,1,628574,125714.80,628573,125714.60,6857243,1096795,2932,0,439874,20.00,36.00,49.00,129.000000,33076,49.00,27965,52.00,64431,51.00,19070,568.00,43519,604.00,0,0.00,638,92.00,0,0,0,12585056,10702,1,11,0,0,0,0,28,12,0,0,0,0,0,0,0,16136467459,10086636118
75.59,1,292484,58496.80,292484,58496.80,7002809,1154710,3226,0,204397,23.00,77.00,1163.00,1315.000000,15545,110.00,12844,113.00,30090,114.00,8992,1108.00,20319,1153.00,0,0.00,297,1195.00,0,0,0,31459568,27661,1,13,0,0,0,0,20,28,0,0,0,0,0,0,0,13348244970,10186730625
80.61,1,352263,70452.60,352263,70452.60,7179087,1225323,3585,0,246054,21.00,51.00,725.00,1197.000000,18723,88.00,15606,92.00,35985,91.00,10973,881.00,24564,957.00,0,0.00,358,149.00,0,0,0,33556736,30139,2,13,0,0,0,0,20,28,0,0,0,0,0,0,0,13735035574,10938699959
85.63,1,457332,91466.40,457333,91466.60,7409058,1316771,4053,0,319790,19.00,40.00,57.00,103.000000,24218,72.00,20259,76.00,46785,75.00,14066,836.00,31752,891.00,0,0.00,463,114.00,0,0,0,50334080,46257,0,16,0,0,0,0,17,34,0,0,0,0,0,0,0,14213798245,11979628635
