elapsed_sec,phase_label,level,total_files,total_bytes,tombstone_files,total_range_tombstones
64.51,phase_a,0,8,2295214882,8,1830
64.51,phase_a,1,0,0,0,0
64.51,phase_a,2,0,0,0,0
64.51,phase_a,3,0,0,0,0
64.51,phase_a,4,0,0,0,0
64.51,phase_a,5,28,3772452784,0,0
64.51,phase_a,6,13,990523916,0,0
180.77,phase_b,0,8,3086101179,8,4220
180.77,phase_b,1,0,0,0,0
180.77,phase_b,2,0,0,0,0
180.77,phase_b,3,0,0,0,0
180.77,phase_b,4,27,3568062752,12,5177
180.77,phase_b,5,16,2118557663,10,2697
180.77,phase_b,6,97,6448070368,0,0
445.31,phase_c,0,8,97055148,8,3085
445.31,phase_c,1,0,0,0,0
445.31,phase_c,2,0,0,0,0
445.31,phase_c,3,0,0,0,0
445.31,phase_c,4,1,79201709,1,2408
445.31,phase_c,5,34,2187499051,26,16079
445.31,phase_c,6,276,17364007919,0,0
600.61,phase_d,0,9,2345732763,0,0
600.61,phase_d,1,0,0,0,0
600.61,phase_d,2,0,0,0,0
600.61,phase_d,3,0,0,0,0
600.61,phase_d,4,17,1532491132,3,113
600.61,phase_d,5,19,1509721644,9,4975
600.61,phase_d,6,304,19179638377,0,0
1204.21,COOLDOWN_FINAL,0,0,0,0,0
1204.21,COOLDOWN_FINAL,1,0,0,0,0
1204.21,COOLDOWN_FINAL,2,0,0,0,0
1204.21,COOLDOWN_FINAL,3,0,0,0,0
1204.21,COOLDOWN_FINAL,4,3,208526899,0,0
1204.21,COOLDOWN_FINAL,5,27,1944034163,6,1267
1204.21,COOLDOWN_FINAL,6,333,21002042827,0,0
