elapsed_sec,event_type,job_id,reason,input_level,output_level,sst_path,num_range_deletions,data_size,num_entries,dropped_records
0.40,flush,2,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000009.sst,0,56467555,54084,0
0.70,flush,3,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000011.sst,0,61886054,59271,0
1.00,flush,4,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000013.sst,0,62670842,60021,0
1.35,flush,5,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000015.sst,0,63414056,60733,0
1.70,flush,7,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000018.sst,0,63128406,60458,0
2.19,flush,8,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000022.sst,0,63992282,61285,0
2.32,compaction,6,kCompaction,0,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000016.sst,0,228003420,216667,17442
2.62,flush,9,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000025.sst,0,64001301,61293,0
3.08,flush,10,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000027.sst,0,63695484,60999,0
3.59,flush,12,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000030.sst,0,63634805,60942,0
4.11,flush,13,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000033.sst,0,63855908,61152,0
4.72,flush,14,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000036.sst,0,61935237,59313,0
5.34,flush,15,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000039.sst,0,64024588,61314,0
5.98,flush,17,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000043.sst,0,64419623,61692,0
7.11,compaction,16,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000042.sst,0,250217242,237773,4948
7.12,flush,18,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000047.sst,0,128454209,123019,0
7.12,compaction,11,kCompaction,0,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000029.sst,0,455415883,432779,27923
7.49,flush,22,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000051.sst,0,64506230,61774,0
7.87,flush,23,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000054.sst,0,64489276,61758,0
8.36,flush,24,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000057.sst,0,62062660,59434,0
8.82,flush,25,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000060.sst,0,64460964,61730,0
9.16,flush,27,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000065.sst,0,63482999,60794,0
9.58,flush,28,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000067.sst,0,64677061,61937,0
10.19,compaction,21,kCompaction,0,5,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000050.sst,0,434956322,413315,9169
10.20,flush,29,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000070.sst,0,63659680,60963,0
10.20,compaction,26,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000062.sst,0,254344513,241692,3004
10.70,flush,32,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000074.sst,0,64266781,61543,0
11.04,compaction,31,kCompaction,5,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000072.sst,0,100071994,95094,4009
11.05,flush,35,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000078.sst,0,64395455,61667,0
11.13,compaction,30,kCompaction,5,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000071.sst,0,164727667,156540,5196
11.51,flush,40,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000083.sst,0,63356534,60672,0
11.88,compaction,39,kCompaction,5,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000081.sst,0,121293321,115264,5457
11.89,flush,43,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000086.sst,0,64122043,61405,0
12.62,flush,46,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000088.sst,0,64099103,61383,0
12.66,compaction,38,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000080.sst,0,318613636,302745,4159
12.90,flush,50,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000090.sst,0,64429922,61699,0
13.44,flush,52,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000093.sst,0,64469109,61737,0
13.69,flush,53,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000096.sst,0,64610128,61872,0
13.95,flush,54,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000098.sst,0,64629298,61891,0
14.26,flush,56,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000101.sst,0,64255295,61532,0
14.49,flush,57,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000104.sst,0,63784838,61082,0
14.83,flush,58,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000106.sst,0,64106714,61390,0
15.29,compaction,55,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000099.sst,0,258208912,245367,1832
15.36,flush,59,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000109.sst,0,64292369,61568,0
15.66,flush,62,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000112.sst,0,64635574,61896,0
15.95,flush,64,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000115.sst,0,64863813,62114,0
16.56,flush,67,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R8-T0-NATIVE/000117.sst,0,64309479,61583,0
