elapsed_sec,event_type,job_id,reason,input_level,output_level,sst_path,num_range_deletions,data_size,num_entries,dropped_records
0.46,flush,2,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000009.sst,0,56514424,54128,0
0.76,flush,3,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000011.sst,0,61200117,58614,0
1.07,flush,4,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000013.sst,0,61762331,59152,0
1.38,flush,5,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000015.sst,0,62429699,59789,0
1.69,flush,7,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000018.sst,0,63264997,60590,0
2.09,flush,8,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000022.sst,0,63873687,61171,0
2.20,compaction,6,kCompaction,0,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000016.sst,0,225675539,214454,17229
2.41,flush,9,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000025.sst,0,63039807,60372,0
2.72,flush,10,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000027.sst,0,62640037,59989,0
3.03,flush,12,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000030.sst,0,64199450,61482,0
3.54,flush,13,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000034.sst,0,64217200,61500,0
4.34,flush,14,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000037.sst,0,64144994,61430,0
5.09,flush,15,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000040.sst,0,63461011,60774,0
5.82,flush,17,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000044.sst,0,63765636,61065,0
7.40,compaction,11,kCompaction,0,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000028.sst,0,451349647,428911,27665
7.50,flush,18,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000047.sst,0,63316672,60635,0
7.55,compaction,16,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000043.sst,0,252700661,240130,5056
8.57,flush,20,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000051.sst,0,127627807,122225,0
9.02,flush,21,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000054.sst,0,63486972,60797,0
9.45,flush,22,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000057.sst,0,63581707,60889,0
10.12,flush,23,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000060.sst,0,64658459,61920,0
10.41,flush,26,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000064.sst,0,64431027,61702,0
10.83,flush,28,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000067.sst,0,64574546,61839,0
11.31,compaction,19,kCompaction,0,5,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000050.sst,0,374422832,355790,6040
11.32,flush,29,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_formal/db_LC20-R9-CLEAN/000070.sst,0,64276347,61554,0
