elapsed_sec,phase_id,interval_trace_ops,interval_trace_iops,interval_db_api_ops,interval_db_api_iops,cum_new_puts,cum_update_puts,cum_del_ranges,cum_clean_noops,put_cnt,put_p50,put_p95,put_p99,put_p999,get_del_cnt,get_del_p99,get_adj_cnt,get_adj_p99,get_ctl_cnt,get_ctl_p99,scan_inter_cnt,scan_inter_p99,scan_non_cnt,scan_non_p99,scan_bound_cnt,scan_bound_p99,del_range_cnt,del_range_p99,stall_micros_delta,is_write_stopped,is_write_slowdown,memtable_size_bytes,memtable_tombstones,num_imm,l0_files,l1_files,l2_files,l3_files,l4_files,l5_files,l6_files,l0_bytes,l1_bytes,l2_bytes,l3_bytes,l4_bytes,l5_bytes,l6_bytes,pending_compaction_bytes,disk_bytes
5.00,0,1044737,208947.40,1044737,208947.40,737433,105382,0,0,835960,27.00,41.00,66.00,259.000000,42528,26.00,34347,26.00,79589,26.00,16191,326.00,36122,353.00,0,0.00,0,0.00,0,0,0,49285496,44071,1,8,0,0,0,0,0,4,0,0,0,0,0,0,0,512834745,1211038154
10.08,0,492564,98512.80,492564,98512.80,1081164,154387,0,0,394494,34.00,64.00,177.00,1332.000000,19488,94.00,16159,90.00,37734,86.00,7588,957.00,17101,1035.00,0,0.00,0,0.00,0,0,0,7342136,6060,1,7,0,0,0,0,0,7,0,0,0,0,0,0,0,1415767229,1489927219
15.11,0,849526,169905.20,849526,169905.20,1675997,239755,0,0,679427,26.00,42.00,63.00,1181.000000,34288,43.00,28065,42.00,65392,42.00,12957,565.00,29397,595.00,0,0.00,0,0.00,0,0,0,10487888,8594,1,8,0,0,0,0,5,10,0,0,0,0,0,0,0,2712608399,2357022237
20.14,0,923917,184783.40,923917,184783.40,2317575,331338,0,0,738359,25.00,38.00,53.00,995.000000,37469,43.00,30452,42.00,71331,42.00,14320,525.00,31986,540.00,0,0.00,0,0.00,0,0,0,7342136,5423,3,12,0,0,0,0,5,10,0,0,0,0,0,0,0,4036898131,3861868212
25.19,0,807139,161427.80,807139,161427.80,2885053,412274,0,0,645018,25.00,45.00,67.00,297.000000,32498,52.00,27085,50.00,62125,49.00,12439,708.00,27974,738.00,0,0.00,0,0.00,0,0,0,40896824,36453,1,10,0,0,0,0,12,10,0,0,0,0,0,0,0,5461815196,4996918525
30.21,0,775142,155028.40,775142,155028.40,3428699,489545,0,0,620190,26.00,43.00,58.00,161.000000,31119,47.00,25358,47.00,59652,46.00,11953,638.00,26870,682.00,0,0.00,0,0.00,0,0,0,46139744,40413,1,14,0,0,0,0,12,10,0,0,0,0,0,0,0,6764025913,5215841470
35.24,0,758250,151650.00,758250,151650.00,3958398,565601,0,0,607028,24.00,39.00,49.00,156.000000,30291,43.00,24938,42.00,58210,42.00,11505,565.00,26278,615.00,0,0.00,0,0.00,0,0,0,34605320,31210,2,17,0,0,0,0,12,10,0,0,0,0,0,0,0,7930819487,7128293545
40.28,0,799663,159932.60,799663,159932.60,4514961,645243,0,0,639655,22.00,38.00,57.00,1174.000000,32039,53.00,26274,52.00,61647,51.00,12236,725.00,27812,779.00,0,0.00,0,0.00,0,0,0,53479832,49276,1,18,0,0,0,0,12,10,0,0,0,0,0,0,0,9362504612,9379070153
45.36,0,723223,144644.60,723223,144644.60,5026878,718166,0,0,578754,24.00,42.00,93.00,1301.000000,28810,54.00,23882,53.00,55488,54.00,11162,788.00,25127,841.00,0,0.00,0,0.00,0,0,0,22022312,18932,1,17,0,0,0,0,22,10,0,0,0,0,0,0,0,10398629205,6537234429
50.41,0,877097,175419.40,876686,175337.20,5640848,805460,0,422,701793,23.00,37.00,48.00,108.000000,34893,44.00,28792,43.00,67227,44.00,13463,595.00,30518,635.00,0,0.00,0,0.00,0,0,0,48236912,43202,1,19,0,0,0,0,22,10,0,0,0,0,0,0,0,11821219967,9006151285
55.44,0,582161,116432.20,581313,116262.60,6045805,863201,0,1266,464866,24.00,49.00,1102.00,2294.000000,23263,74.00,19143,73.00,45221,75.00,8819,927.00,20001,961.00,0,0.00,0,0.00,0,0,0,16779392,14918,1,18,0,0,0,0,22,10,0,0,0,0,0,0,0,12852557561,10772628006
60.47,0,373081,74616.20,372539,74507.80,6303802,900332,0,1801,298315,26.00,96.00,1186.00,2301.000000,14866,82.00,12408,79.00,28521,80.00,5557,1022.00,12872,1056.00,0,0.00,0,0.00,0,0,0,3147800,2631,1,20,0,0,0,0,22,10,0,0,0,0,0,0,0,13499468790,13468396629
65.49,1,212544,42508.80,212267,42453.40,6438145,929692,0,2083,162424,24.00,1085.00,1308.00,2383.000000,9602,95.00,7817,95.00,18211,94.00,4373,1074.00,9840,1121.00,0,0.00,0,0.00,0,0,0,48236912,42236,1,14,0,0,0,0,22,10,0,0,0,0,0,0,0,13716834121,14931607813
70.51,1,691291,138258.20,690589,138117.80,6783810,1067869,0,2783,484104,19.00,33.00,41.00,76.000000,36371,40.00,30585,39.00,70716,39.00,21067,534.00,47746,574.00,0,0.00,0,0.00,0,0,0,39848240,35569,1,9,0,0,0,0,31,14,0,0,0,0,0,0,0,15403010655,8406174089
75.54,1,508626,101725.20,508111,101622.20,7038345,1169054,0,3301,355117,21.00,38.00,48.00,138.000000,27079,48.00,22479,46.00,52302,48.00,15615,648.00,35519,685.00,0,0.00,0,0.00,0,0,0,27265232,23518,0,16,0,0,0,0,25,25,0,0,0,0,0,0,0,16144764415,10732082265
80.58,1,555648,111129.60,555084,111016.80,7316672,1280124,0,3867,388244,18.00,34.00,45.00,117.000000,29581,47.00,24655,46.00,56775,46.00,17247,639.00,38582,665.00,0,0.00,0,0.00,0,0,0,57674168,46542,0,13,0,0,0,0,21,33,0,0,0,0,0,0,0,14142540117,12656627331
85.62,1,592594,118518.80,591993,118398.60,7612249,1398276,0,4464,414494,19.00,36.00,46.00,89.000000,31395,50.00,25902,50.00,60682,48.00,18274,694.00,41246,721.00,0,0.00,0,0.00,0,0,0,48236912,40130,0,17,0,0,0,0,17,41,0,0,0,0,0,0,0,17656959183,14941261385
90.65,1,607391,121478.20,606773,121354.60,7917030,1520003,0,5083,425129,18.00,33.00,43.00,80.000000,32374,45.00,26630,44.00,62174,45.00,18576,594.00,41890,626.00,0,0.00,0,0.00,0,0,0,50334080,40862,0,17,0,0,0,21,8,58,0,0,0,0,0,0,0,17457976373,11126796313
95.68,1,582653,116530.60,582062,116412.40,8207786,1636164,0,5673,407855,17.00,32.00,42.00,74.000000,30874,48.00,25523,47.00,59978,48.00,17795,673.00,40037,702.00,0,0.00,0,0.00,0,0,0,25168064,22364,1,16,0,0,0,21,3,67,0,0,0,0,0,0,0,17853120539,13172559408
100.72,1,637791,127558.20,637144,127428.80,8527328,1763725,0,6321,446100,17.00,31.00,40.00,81.000000,33969,46.00,27979,45.00,65552,45.00,19561,611.00,43983,655.00,0,0.00,0,0.00,0,0,0,47188328,43230,0,18,0,0,0,21,3,67,0,0,0,0,0,0,0,19429784509,14877768955
105.76,1,427767,85553.40,427333,85466.60,8738702,1848162,0,6750,299103,20.00,70.00,1163.00,1229.000000,22729,87.00,18860,86.00,43917,84.00,13023,1026.00,29701,1097.00,0,0.00,0,0.00,0,0,0,34605320,30967,0,20,0,0,0,21,3,67,0,0,0,0,0,0,0,20421735807,17242624095
110.78,1,355630,71126.00,355269,71053.80,8917898,1919924,0,7114,248850,21.00,100.00,1192.00,1452.000000,18917,99.00,15510,95.00,36635,95.00,10837,1349.00,24520,1413.00,0,0.00,0,0.00,0,0,0,38799656,34993,1,16,0,0,0,21,3,67,0,0,0,0,0,0,0,20966022289,18646622476
115.81,1,390820,78164.00,390424,78084.80,9112482,1998279,0,7512,272793,19.00,95.00,1225.00,1455.000000,20842,99.00,17131,98.00,40545,99.00,11986,929.00,27127,995.00,0,0.00,0,0.00,0,0,0,67111440,60889,2,8,0,0,0,23,11,67,0,0,0,0,0,0,0,20035138829,11503307193
120.84,1,227672,45534.40,227440,45488.00,9223954,2043205,0,7739,159024,28.00,191.00,1273.00,1472.000000,12045,105.00,10107,107.00,23602,107.00,6970,1091.00,15692,1155.00,0,0.00,0,0.00,0,0,0,39848240,35519,2,10,0,0,0,23,11,67,0,0,0,0,0,0,0,20631471385,12378103841
126.03,1,373860,74772.00,373482,74696.40,9414283,2119712,0,8126,261889,23.00,46.00,74.00,1232.000000,19837,65.00,16292,64.00,38480,65.00,11246,805.00,25738,868.00,0,0.00,0,0.00,0,0,0,62917088,58045,2,10,0,0,0,23,6,77,0,0,0,0,0,0,0,20539544361,13593158517
131.08,1,527146,105429.20,526611,105322.20,9674117,2224112,0,8652,368897,18.00,36.00,54.00,1171.000000,27971,54.00,23251,53.00,53961,53.00,16147,701.00,36384,746.00,0,0.00,0,0.00,0,0,0,59771336,54405,1,13,0,0,0,23,5,79,0,0,0,0,0,0,0,21743701251,14957612948
136.14,1,674139,134827.80,673454,134690.80,10015814,2360635,0,9347,471359,17.00,31.00,41.00,71.000000,35851,45.00,29762,45.00,68942,44.00,20726,594.00,46814,640.00,0,0.00,0,0.00,0,0,0,45091160,40991,1,15,0,0,0,23,5,79,0,0,0,0,0,0,0,23323195583,16713106111
141.21,1,577527,115505.40,576942,115388.40,10301689,2474527,0,9927,403507,16.00,32.00,45.00,76.000000,30469,55.00,25677,53.00,59164,54.00,17934,758.00,40191,818.00,0,0.00,0,0.00,0,0,0,19925144,17565,2,15,0,0,0,23,5,79,0,0,0,0,0,0,0,24491621875,18826238702
146.25,1,609716,121943.20,609098,121819.60,10606535,2596174,0,10546,426222,17.00,32.00,41.00,65.000000,32681,46.00,26913,45.00,62357,44.00,18670,595.00,42255,643.00,0,0.00,0,0.00,0,0,0,16779392,13078,1,14,0,0,0,23,5,79,0,0,0,0,0,0,0,26042600915,20484521983
151.28,1,627946,125589.20,627307,125461.40,10919170,2721368,0,11181,439085,17.00,32.00,42.00,68.000000,33568,48.00,27718,47.00,64176,47.00,19129,668.00,43631,729.00,0,0.00,0,0.00,0,0,0,28313816,25364,1,18,0,0,0,23,5,79,0,0,0,0,0,0,0,27405054978,22252071676
156.31,1,667782,133556.40,667106,133421.20,11252695,2854824,0,11861,466214,17.00,31.00,38.00,61.000000,35933,43.00,29356,43.00,68652,43.00,20418,551.00,46533,603.00,0,0.00,0,0.00,0,0,0,7342136,5399,1,14,0,0,0,27,14,79,0,0,0,0,0,0,0,27159998514,20502279916
161.34,1,458556,91711.20,458090,91618.00,11481003,2946357,0,12325,320712,21.00,40.00,55.00,110.000000,24573,58.00,20117,58.00,46913,57.00,14127,804.00,31648,870.00,0,0.00,0,0.00,0,0,0,28313816,25727,1,9,0,0,0,27,8,91,0,0,0,0,0,0,0,27031164959,14902433548
166.38,1,673598,134719.60,672916,134583.20,11817612,3081883,0,13009,471209,17.00,31.00,40.00,74.000000,35703,41.00,29680,40.00,69029,40.00,20530,554.00,46765,601.00,0,0.00,0,0.00,0,0,0,8390720,6807,1,14,0,0,0,27,6,95,0,0,0,0,0,0,0,28233216729,17055724698
171.41,1,679032,135806.40,678342,135668.40,12156617,3217368,0,13700,474328,16.00,29.00,37.00,61.000000,36196,40.00,30140,39.00,69281,39.00,21000,534.00,47398,584.00,0,0.00,0,0.00,0,0,0,63965672,56693,0,16,0,0,0,27,6,95,0,0,0,0,0,0,0,29796447095,18891977666
176.44,1,612379,122475.80,611757,122351.40,12463066,3339649,0,14319,428592,15.00,28.00,37.00,59.000000,32577,43.00,26790,43.00,62916,42.00,18712,596.00,42170,655.00,0,0.00,0,0.00,0,0,0,2099216,1183,2,16,0,0,0,27,6,95,0,0,0,0,0,0,0,30956202148,21380132941
181.48,1,600366,120073.20,599760,119952.00,12761482,3458727,0,14923,420006,12.00,25.00,32.00,48.000000,32209,39.00,26440,38.00,61456,38.00,18184,504.00,41464,545.00,0,0.00,0,0.00,0,0,0,4196384,3550,1,14,0,0,0,27,6,95,0,0,0,0,0,0,0,32444026734,23162529471
186.51,2,351448,70289.60,351370,70274.00,12896223,3543003,0,15000,218552,11.00,30.00,42.00,64.000000,22611,47.00,18481,45.00,43033,45.00,14951,677.00,33742,760.00,0,0.00,0,0.00,0,0,0,51382664,46608,1,14,0,0,0,27,6,95,0,0,0,0,0,0,0,32993066902,25089646091
191.53,2,543843,108768.60,543842,108768.40,13086733,3679145,0,15000,325664,13.00,27.00,34.00,52.000000,36373,40.00,29759,39.00,69724,39.00,24907,529.00,57415,587.00,0,0.00,0,0.00,0,0,0,19925144,15549,1,14,0,0,0,27,6,95,0,0,0,0,0,0,0,34150047773,26519295189
196.57,2,533195,106639.00,533196,106639.20,13273948,3812229,0,15000,320254,13.00,26.00,34.00,51.000000,35459,41.00,29424,40.00,68307,40.00,24584,564.00,55168,619.00,0,0.00,0,0.00,0,0,0,54528416,44745,0,17,0,0,0,27,6,95,0,0,0,0,0,0,0,35257043205,28655021097
201.60,2,485924,97184.80,485923,97184.60,13444075,3933185,0,15000,291332,13.00,28.00,37.00,59.000000,32586,47.00,27212,46.00,62138,45.00,22079,644.00,50576,714.00,0,0.00,0,0.00,0,0,0,51382664,46037,0,16,0,0,0,27,6,95,0,0,0,0,0,0,0,36156901189,30043172868
