elapsed_sec,phase_label,level,total_files,total_bytes,tombstone_files,total_range_tombstones
38.78,phase_a,0,13,2905653858,10,1888
38.78,phase_a,1,0,0,0,0
38.78,phase_a,2,0,0,0,0
38.78,phase_a,3,0,0,0,0
38.78,phase_a,4,0,0,0,0
38.78,phase_a,5,15,1960614732,0,0
38.78,phase_a,6,39,2377118510,0,0
129.24,phase_b,0,10,2504033265,10,3430
129.24,phase_b,1,0,0,0,0
129.24,phase_b,2,0,0,0,0
129.24,phase_b,3,0,0,0,0
129.24,phase_b,4,21,2107515757,11,3879
129.24,phase_b,5,7,511773318,6,2443
129.24,phase_b,6,150,9502421071,0,0
396.75,phase_c,0,3,195405453,2,2650
396.75,phase_c,1,0,0,0,0
396.75,phase_c,2,0,0,0,0
396.75,phase_c,3,0,0,0,0
396.75,phase_c,4,4,315833564,1,188
396.75,phase_c,5,20,1118166714,12,7729
396.75,phase_c,6,257,16170247328,0,0
627.82,phase_d,0,2,130787640,0,0
627.82,phase_d,1,0,0,0,0
627.82,phase_d,2,0,0,0,0
627.82,phase_d,3,0,0,0,0
627.82,phase_d,4,3,196430888,0,0
627.82,phase_d,5,30,2024187149,1,96
627.82,phase_d,6,327,20799921301,0,0
689.21,COOLDOWN_FINAL,0,2,130787640,0,0
689.21,COOLDOWN_FINAL,1,0,0,0,0
689.21,COOLDOWN_FINAL,2,0,0,0,0
689.21,COOLDOWN_FINAL,3,0,0,0,0
689.21,COOLDOWN_FINAL,4,3,196430888,0,0
689.21,COOLDOWN_FINAL,5,30,2024187149,1,96
689.21,COOLDOWN_FINAL,6,327,20799921301,0,0
