elapsed_sec,event_type,job_id,reason,input_level,output_level,sst_path,num_range_deletions,data_size,num_entries,dropped_records
0.34,flush,2,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t0_native/000009.sst,0,56792865,54395,0
0.58,flush,3,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t0_native/000011.sst,0,61522616,58923,0
0.86,flush,4,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t0_native/000013.sst,0,62917690,60258,0
1.09,flush,5,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t0_native/000015.sst,0,63313193,60636,0
1.38,flush,7,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t0_native/000018.sst,0,63545750,60857,0
1.64,flush,8,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t0_native/000021.sst,0,63504715,60818,0
1.82,compaction,6,kCompaction,0,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t0_native/000016.sst,0,228138912,216798,17414
1.91,flush,9,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t0_native/000025.sst,0,64156899,61442,0
2.18,flush,10,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t0_native/000027.sst,0,63868597,61166,0
2.51,flush,12,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t0_native/000030.sst,0,64334044,61611,0
2.81,flush,13,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t0_native/000034.sst,0,62919546,60255,0
3.12,flush,14,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t0_native/000037.sst,0,62258705,59623,0
3.45,flush,15,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t0_native/000041.sst,0,64400637,61675,0
3.60,compaction,11,kCompaction,0,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t0_native/000028.sst,0,455739430,433090,27991
3.75,flush,17,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t0_native/000045.sst,0,64560677,61827,0
