elapsed_sec,phase_id,interval_trace_ops,interval_trace_iops,interval_db_api_ops,interval_db_api_iops,cum_new_puts,cum_update_puts,cum_del_ranges,cum_clean_noops,put_cnt,put_p50,put_p95,put_p99,put_p999,get_del_cnt,get_del_p99,get_adj_cnt,get_adj_p99,get_ctl_cnt,get_ctl_p99,scan_inter_cnt,scan_inter_p99,scan_non_cnt,scan_non_p99,scan_bound_cnt,scan_bound_p99,del_range_cnt,del_range_p99,stall_micros_delta,is_write_stopped,is_write_slowdown,memtable_size_bytes,memtable_tombstones,num_imm,l0_files,l1_files,l2_files,l3_files,l4_files,l5_files,l6_files,l0_bytes,l1_bytes,l2_bytes,l3_bytes,l4_bytes,l5_bytes,l6_bytes,pending_compaction_bytes,disk_bytes
5.00,0,1343912,268782.40,1343912,268782.40,950849,135860,0,0,1075632,22.00,34.00,41.00,146.000000,54378,24.00,44127,24.00,102442,23.00,20793,301.00,46540,314.00,0,0.00,0,0.00,0,0,0,42993992,39247,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,1118787198,1307516043
10.05,0,1198489,239697.80,1198489,239697.80,1787105,255631,0,0,958444,23.00,34.00,40.00,73.000000,48203,27.00,39541,27.00,92440,27.00,18380,335.00,41481,358.00,0,0.00,0,0.00,0,0,0,9439304,7111,1,9,0,0,0,0,5,14,0,0,0,0,0,0,0,2695863609,2719728600
15.10,0,1216121,243224.20,1216121,243224.20,2638358,376992,0,0,972359,22.00,33.00,39.00,79.000000,49168,27.00,40516,27.00,93435,27.00,18712,338.00,41931,350.00,0,0.00,0,0.00,0,0,0,63965672,58558,0,10,0,0,0,0,5,19,0,0,0,0,0,0,0,4306042730,4235033893
20.15,0,1195638,239127.60,1195638,239127.60,3475232,496223,0,0,956001,21.00,32.00,39.00,84.000000,48006,28.00,39284,28.00,92288,28.00,18474,335.00,41585,350.00,0,0.00,0,0.00,0,0,0,27265232,24404,1,12,0,0,0,0,8,24,0,0,0,0,0,0,0,5889238890,5521600280
25.20,0,1176144,235228.80,1176144,235228.80,4298486,614144,0,0,941277,21.00,32.00,38.00,80.000000,47055,30.00,38700,30.00,90437,30.00,17849,370.00,40826,393.00,0,0.00,0,0.00,0,0,0,41945408,38024,0,13,0,0,0,0,13,28,0,0,0,0,0,0,0,7593886923,5715170390
30.25,0,1142859,228571.80,1142859,228571.80,5097485,728215,0,0,914450,20.00,32.00,38.00,65.000000,45672,33.00,37612,33.00,87698,33.00,17703,415.00,39724,440.00,0,0.00,0,0.00,0,0,0,28313816,24469,1,15,0,0,0,0,13,28,0,0,0,0,0,0,0,9437112237,9485983917
35.29,0,1143566,228713.20,1143566,228713.20,5898388,842378,959,0,914319,21.00,33.00,41.00,80.000000,45556,35.00,37559,35.00,88008,35.00,17448,418.00,39733,445.00,0,0.00,943,77.00,0,0,0,16779392,14378,1,9,0,0,0,0,15,39,0,0,0,0,0,0,0,10390307322,7002195742
40.34,1,983945,196789.00,983945,196789.00,6531487,966505,2270,0,761068,20.00,32.00,42.00,74.000000,42696,41.00,35372,43.00,82114,42.00,18814,449.00,42560,494.00,0,0.00,1321,82.00,0,0,0,32508152,29631,0,13,0,0,0,0,15,39,0,0,0,0,0,0,0,12102066577,10635157660
45.38,1,873300,174660.00,873300,174660.00,6967590,1140550,3156,0,610829,14.00,27.00,34.00,64.000000,46061,38.00,38709,39.00,89594,39.00,26643,393.00,60579,425.00,0,0.00,885,71.00,0,0,0,28313816,24507,0,14,0,0,0,0,15,39,0,0,0,0,0,0,0,13394731922,14138793232
50.41,1,869005,173801.00,869005,173801.00,7402075,1313778,4037,0,607335,15.00,28.00,36.00,77.000000,46231,38.00,38361,40.00,88864,39.00,26808,368.00,60525,409.00,0,0.00,881,73.00,0,0,0,19925144,17152,1,11,0,0,0,0,17,64,0,0,0,0,0,0,0,13534304935,12821649886
55.45,1,886798,177359.60,886798,177359.60,7844922,1491296,4937,0,620186,15.00,27.00,35.00,81.000000,47289,37.00,38769,39.00,90910,39.00,27327,373.00,61416,412.00,0,0.00,901,78.00,0,0,0,32508152,29761,0,10,0,0,0,6,11,86,0,0,0,0,0,0,0,12153502427,11515487577
60.48,1,897517,179503.40,897518,179503.60,8294117,1670703,5849,0,628133,15.00,28.00,36.00,70.000000,47715,38.00,39616,39.00,92034,39.00,27377,359.00,61733,390.00,0,0.00,910,73.00,0,0,0,46139744,42616,0,9,0,0,0,10,9,101,0,0,0,0,0,0,0,11159468731,11623765228
65.52,1,889278,177855.60,889277,177855.40,8739246,1848535,6751,0,622226,15.00,27.00,35.00,79.000000,47214,36.00,38904,39.00,91495,39.00,27142,348.00,61394,370.00,0,0.00,902,68.00,0,0,0,61868504,56163,0,8,0,0,0,5,11,114,0,0,0,0,0,0,0,9652905586,12150094949
70.57,1,889239,177847.80,889239,177847.80,9182948,2026606,7655,0,621305,15.00,28.00,37.00,78.000000,47291,37.00,38936,39.00,92105,39.00,27188,364.00,61511,398.00,0,0.00,903,75.00,0,0,0,5244968,3484,2,9,0,0,0,7,11,125,0,0,0,0,0,0,0,9276493666,12646470626
75.61,1,268017,53603.40,268017,53603.40,9312550,2078615,7919,0,187365,22.00,142.00,1259.00,1462.000000,14158,109.00,11942,115.00,27684,114.00,8003,774.00,18594,843.00,0,0.00,271,1242.00,0,0,0,2048,0,2,7,0,0,0,7,10,126,0,0,0,0,0,0,0,9840619439,13463554328
80.73,1,757689,151537.80,757689,151537.80,9695845,2232562,8696,0,530574,16.00,31.00,45.00,91.000000,40032,48.00,33278,52.00,77637,52.00,23376,556.00,52022,625.00,0,0.00,770,94.00,0,0,0,52431248,46266,0,10,0,0,0,8,11,131,0,0,0,0,0,0,0,11230650920,12775063508
85.80,1,743253,148650.60,743253,148650.60,10065083,2380314,9448,0,519318,14.00,27.00,36.00,80.000000,39860,41.00,32696,44.00,75882,44.00,22871,413.00,51872,450.00,0,0.00,754,72.00,0,0,0,11536472,9899,1,14,0,0,0,8,8,134,0,0,0,0,0,0,0,12919570482,16074263626
