elapsed_sec,phase_label,level,total_files,total_bytes,tombstone_files,total_range_tombstones
38.55,phase_a,0,14,2839568983,8,1860
38.55,phase_a,1,0,0,0,0
38.55,phase_a,2,0,0,0,0
38.55,phase_a,3,0,0,0,0
38.55,phase_a,4,0,0,0,0
38.55,phase_a,5,19,2404270643,0,0
38.55,phase_a,6,33,1967497153,0,0
119.19,phase_b,0,13,2931560319,13,4015
119.19,phase_b,1,0,0,0,0
119.19,phase_b,2,0,0,0,0
119.19,phase_b,3,0,0,0,0
119.19,phase_b,4,12,1261295943,5,2207
119.19,phase_b,5,8,717730882,5,1344
119.19,phase_b,6,142,9193889520,0,0
315.78,phase_c,0,1,15778099,1,496
315.78,phase_c,1,0,0,0,0
315.78,phase_c,2,0,0,0,0
315.78,phase_c,3,0,0,0,0
315.78,phase_c,4,4,195832595,4,5171
315.78,phase_c,5,24,1746534411,17,7934
315.78,phase_c,6,265,16437532947,0,0
478.82,phase_d,0,0,0,0,0
478.82,phase_d,1,0,0,0,0
478.82,phase_d,2,0,0,0,0
478.82,phase_d,3,0,0,0,0
478.82,phase_d,4,4,263667796,0,0
478.82,phase_d,5,33,2155199016,8,620
478.82,phase_d,6,340,20878276532,0,0
543.63,COOLDOWN_FINAL,0,0,0,0,0
543.63,COOLDOWN_FINAL,1,0,0,0,0
543.63,COOLDOWN_FINAL,2,0,0,0,0
543.63,COOLDOWN_FINAL,3,0,0,0,0
543.63,COOLDOWN_FINAL,4,4,263667796,0,0
543.63,COOLDOWN_FINAL,5,30,1910922147,8,620
543.63,COOLDOWN_FINAL,6,344,21108408830,0,0
