elapsed_sec,event_type,job_id,reason,input_level,output_level,sst_path,num_range_deletions,data_size,num_entries,dropped_records
0.45,flush,2,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t512_static/000009.sst,0,56667644,54275,0
0.74,flush,3,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t512_static/000011.sst,0,61942238,59324,0
1.04,flush,4,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t512_static/000013.sst,0,62848566,60192,0
1.33,flush,5,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t512_static/000015.sst,0,63701264,61007,0
1.69,flush,7,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t512_static/000019.sst,0,63717004,61022,0
1.97,flush,8,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t512_static/000022.sst,0,63811224,61111,0
2.01,compaction,6,kCompaction,0,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t512_static/000016.sst,0,228648322,217281,17517
2.31,flush,9,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t512_static/000025.sst,0,62878921,60218,0
2.62,flush,10,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t512_static/000027.sst,0,64162580,61447,0
2.90,flush,12,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t512_static/000030.sst,0,64269583,61549,0
3.26,flush,13,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t512_static/000034.sst,0,64016621,61306,0
3.56,flush,14,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t512_static/000037.sst,0,64280833,61559,0
3.91,flush,15,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t512_static/000041.sst,0,63972284,61264,0
4.11,compaction,11,kCompaction,0,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t512_static/000028.sst,0,455824840,433158,27921
4.23,flush,17,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t512_static/000045.sst,0,64402394,61675,0
4.51,flush,18,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t512_static/000047.sst,0,63995347,61286,0
4.59,compaction,16,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t512_static/000042.sst,0,253256738,240662,5016
