elapsed_sec,phase_id,interval_trace_ops,interval_trace_iops,interval_db_api_ops,interval_db_api_iops,cum_new_puts,cum_update_puts,cum_del_ranges,cum_clean_noops,put_cnt,put_p50,put_p95,put_p99,put_p999,get_del_cnt,get_del_p99,get_adj_cnt,get_adj_p99,get_ctl_cnt,get_ctl_p99,scan_inter_cnt,scan_inter_p99,scan_non_cnt,scan_non_p99,scan_bound_cnt,scan_bound_p99,del_range_cnt,del_range_p99,stall_micros_delta,is_write_stopped,is_write_slowdown,memtable_size_bytes,memtable_tombstones,num_imm,l0_files,l1_files,l2_files,l3_files,l4_files,l5_files,l6_files,l0_bytes,l1_bytes,l2_bytes,l3_bytes,l4_bytes,l5_bytes,l6_bytes,pending_compaction_bytes,disk_bytes
5.00,0,1252530,250506.00,1252530,250506.00,884250,126322,0,0,1002395,25.00,38.00,45.00,194.000000,50775,23.00,41203,23.00,95402,23.00,19359,310.00,43396,323.00,0,0.00,0,0.00,0,0,0,23070896,20490,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,973168410,1158439101
10.05,0,1184060,236812.00,1184060,236812.00,1713212,245018,0,0,947108,23.00,35.00,41.00,100.000000,47604,27.00,38981,27.00,91203,27.00,18172,337.00,40993,354.00,0,0.00,0,0.00,0,0,0,46139744,41927,0,8,0,0,0,0,8,10,0,0,0,0,0,0,0,2831465099,2751340192
15.10,0,1188205,237641.00,1188205,237641.00,2543599,363557,0,0,950048,22.00,33.00,40.00,86.000000,47987,28.00,39405,28.00,91432,28.00,18365,356.00,40967,377.00,0,0.00,0,0.00,0,0,0,8390720,5745,1,8,0,0,0,0,6,13,0,0,0,0,0,0,0,4475456671,4444211616
20.14,0,1206874,241374.80,1206874,241374.80,3389741,484081,0,0,964839,20.00,32.00,38.00,72.000000,48564,30.00,39785,29.00,93164,29.00,18606,367.00,41916,392.00,0,0.00,0,0.00,0,0,0,50334080,46472,0,11,0,0,0,0,10,17,0,0,0,0,0,0,0,6212017779,5643429507
25.18,0,1220827,244165.40,1220828,244165.60,4244350,606347,0,0,977145,19.00,30.00,36.00,75.000000,48793,30.00,40177,30.00,93722,30.00,18526,368.00,42466,389.00,0,0.00,0,0.00,0,0,0,39848240,35961,0,12,0,0,0,0,14,24,0,0,0,0,0,0,0,7669554454,5157688040
30.23,0,1250059,250011.80,1250058,250011.60,5119371,731381,0,0,1000256,17.00,28.00,34.00,56.000000,49888,32.00,41220,32.00,95983,32.00,19310,370.00,43400,392.00,0,0.00,0,0.00,0,0,0,56625584,51841,0,16,0,0,0,0,14,24,0,0,0,0,0,0,0,9761481118,8930169383
35.27,0,1214741,242948.20,1214741,242948.20,5969002,852397,1105,0,971046,16.00,28.00,36.00,68.000000,48381,37.00,39946,37.00,93637,37.00,18502,392.00,42140,418.00,0,0.00,1089,74.00,0,0,0,45091160,41277,0,12,0,0,0,0,19,33,0,0,0,0,0,0,0,11039091962,6961301232
40.32,1,912456,182491.20,912456,182491.20,6545963,972229,2298,0,701056,16.00,29.00,39.00,69.000000,40300,43.00,33270,43.00,77198,43.00,18217,485.00,41211,526.00,0,0.00,1204,74.00,0,0,0,63965672,59097,0,17,0,0,0,0,19,33,0,0,0,0,0,0,0,12479736605,10139659381
45.35,1,786848,157369.60,786848,157369.60,6938631,1129012,3096,0,550529,14.00,28.00,37.00,136.000000,41424,44.00,34964,46.00,80763,45.00,23945,492.00,54425,527.00,0,0.00,798,79.00,0,0,0,6293552,4857,1,14,0,0,0,0,19,33,0,0,0,0,0,0,0,13608839128,13713208805
50.38,1,795920,159184.00,795920,159184.00,7336045,1287765,3905,0,556016,16.00,30.00,38.00,73.000000,42399,43.00,35155,44.00,81463,44.00,24571,466.00,55509,502.00,0,0.00,807,77.00,0,0,0,19925144,16748,0,8,0,0,0,0,28,45,0,0,0,0,0,0,0,14490677077,14377554621
