elapsed_sec,phase_label,level,total_files,total_bytes,tombstone_files,total_range_tombstones
40.24,phase_a,0,17,2784008725,11,1892
40.24,phase_a,1,0,0,0,0
40.24,phase_a,2,0,0,0,0
40.24,phase_a,3,0,0,0,0
40.24,phase_a,4,0,0,0,0
40.24,phase_a,5,16,1909474102,0,0
40.24,phase_a,6,38,2516134718,0,0
122.97,phase_b,0,13,3232414486,13,4426
122.97,phase_b,1,0,0,0,0
122.97,phase_b,2,0,0,0,0
122.97,phase_b,3,0,0,0,0
122.97,phase_b,4,18,1935900743,11,2867
122.97,phase_b,5,9,528857115,9,2045
122.97,phase_b,6,137,8935581673,0,0
373.88,phase_c,0,8,29541724,8,949
373.88,phase_c,1,0,0,0,0
373.88,phase_c,2,0,0,0,0
373.88,phase_c,3,0,0,0,0
373.88,phase_c,4,3,94679568,3,1896
373.88,phase_c,5,19,963287725,13,7687
373.88,phase_c,6,262,16277851474,0,0
559.40,phase_d,0,3,195905565,0,0
559.40,phase_d,1,0,0,0,0
559.40,phase_d,2,0,0,0,0
559.40,phase_d,3,0,0,0,0
559.40,phase_d,4,4,207533870,0,0
559.40,phase_d,5,27,1865419782,9,871
559.40,phase_d,6,328,20824927098,0,0
624.17,COOLDOWN_FINAL,0,3,195905565,0,0
624.17,COOLDOWN_FINAL,1,0,0,0,0
624.17,COOLDOWN_FINAL,2,0,0,0,0
624.17,COOLDOWN_FINAL,3,0,0,0,0
624.17,COOLDOWN_FINAL,4,4,207533870,0,0
624.17,COOLDOWN_FINAL,5,27,1865419782,9,871
624.17,COOLDOWN_FINAL,6,328,20824927098,0,0
