elapsed_sec,event_type,job_id,reason,input_level,output_level,sst_path,num_range_deletions,data_size,num_entries,dropped_records
0.43,flush,2,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000009.sst,0,56608433,54219,0
0.71,flush,3,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000011.sst,0,61933259,59317,0
1.00,flush,4,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000013.sst,0,62915284,60255,0
1.31,flush,5,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000015.sst,0,63532538,60845,0
1.62,flush,7,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000018.sst,0,63341709,60662,0
1.94,flush,8,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000022.sst,0,62901092,60239,0
1.94,compaction,6,kCompaction,0,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000016.sst,0,228545619,217186,17450
2.25,flush,9,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000025.sst,0,63981027,61274,0
2.55,flush,10,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000027.sst,0,62887251,60225,0
2.87,flush,12,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000030.sst,0,63988080,61280,0
3.20,flush,13,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000034.sst,0,64258115,61538,0
3.52,flush,14,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000038.sst,0,63825848,61124,0
3.72,compaction,11,kCompaction,0,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000028.sst,0,454445779,431845,27741
3.81,flush,15,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000042.sst,0,64318200,61595,0
4.16,flush,17,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000046.sst,0,63637660,60943,0
4.48,flush,18,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000049.sst,0,63316499,60635,0
4.59,compaction,16,kCompaction,0,5,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000043.sst,0,253097512,240510,5027
4.79,flush,19,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000052.sst,0,64518531,61786,0
5.07,flush,20,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000054.sst,0,64219231,61500,0
5.36,flush,22,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000057.sst,0,64566378,61832,0
5.64,flush,23,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000061.sst,0,64222857,61503,0
5.93,flush,24,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000065.sst,0,64484280,61752,0
6.21,flush,25,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000068.sst,0,64278909,61556,0
6.46,compaction,21,kCompaction,0,5,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000055.sst,0,496455731,471767,13607
6.50,flush,27,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000072.sst,0,64415198,61686,0
6.75,compaction,29,kCompaction,5,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000073.sst,0,107049527,101725,4338
6.81,flush,30,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000077.sst,0,64478898,61747,0
7.10,compaction,28,kCompaction,5,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000074.sst,0,180095957,171143,5776
7.13,compaction,26,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000069.sst,0,256480572,243716,2927
7.13,flush,32,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000083.sst,0,64424417,61694,0
7.14,compaction,31,kCompaction,5,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000079.sst,0,126155214,119884,6103
7.42,flush,36,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000086.sst,0,64615061,61877,0
7.74,flush,37,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000089.sst,0,62301343,59662,0
8.07,flush,38,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000092.sst,0,64670720,61930,0
8.39,flush,39,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000095.sst,0,63633034,60937,0
8.71,flush,41,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000099.sst,0,63880444,61174,0
9.01,flush,42,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000103.sst,0,64206509,61486,0
9.20,compaction,35,kCompaction,0,5,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000084.sst,0,681497721,647609,18761
9.25,compaction,40,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000096.sst,0,254965137,242275,2131
9.38,flush,45,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000108.sst,0,63892676,61185,0
9.69,flush,48,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000112.sst,0,63598540,60903,0
9.74,compaction,44,kCompaction,5,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000106.sst,0,175014626,166315,8665
9.74,compaction,43,kCompaction,5,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000105.sst,0,175010531,166310,8818
10.05,flush,52,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000117.sst,0,64579614,61842,0
10.42,flush,53,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000120.sst,0,64485920,61753,0
10.75,flush,54,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000123.sst,0,64610994,61873,0
11.09,flush,55,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000126.sst,0,64459246,61728,0
11.42,flush,57,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000130.sst,0,63927752,61218,0
11.74,flush,58,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000132.sst,0,64418476,61688,0
11.93,compaction,56,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000127.sst,0,258441516,245580,1616
12.08,flush,61,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000135.sst,0,64753117,62009,0
12.44,flush,63,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000138.sst,0,64775357,62030,0
12.78,flush,66,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000142.sst,0,64423347,61692,0
12.84,compaction,51,kCompaction,0,5,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000115.sst,0,934661158,888187,24899
13.15,flush,71,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000145.sst,0,64508090,61774,0
13.31,compaction,65,kCompaction,0,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000139.sst,0,258330321,245467,1478
13.49,flush,75,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000148.sst,0,64782113,62036,0
13.64,compaction,68,kCompaction,5,6,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000143.sst,0,195372899,185658,7172
13.82,flush,78,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000152.sst,0,64621055,61881,0
14.14,flush,79,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000154.sst,0,64617779,61878,0
14.46,flush,80,Write Buffer Full,-1,0,/home/wam/grad/s14-range-delete-study/scratch/longcycle_pilot/db_t64_admission/000157.sst,0,64684612,61942,0
