elapsed_sec,phase_id,interval_trace_ops,interval_trace_iops,interval_db_api_ops,interval_db_api_iops,cum_new_puts,cum_update_puts,cum_del_ranges,cum_clean_noops,put_cnt,put_p50,put_p95,put_p99,put_p999,get_del_cnt,get_del_p99,get_adj_cnt,get_adj_p99,get_ctl_cnt,get_ctl_p99,scan_inter_cnt,scan_inter_p99,scan_non_cnt,scan_non_p99,scan_bound_cnt,scan_bound_p99,del_range_cnt,del_range_p99,stall_micros_delta,is_write_stopped,is_write_slowdown,memtable_size_bytes,memtable_tombstones,num_imm,l0_files,l1_files,l2_files,l3_files,l4_files,l5_files,l6_files,l0_bytes,l1_bytes,l2_bytes,l3_bytes,l4_bytes,l5_bytes,l6_bytes,pending_compaction_bytes,disk_bytes
5.00,0,1260023,252004.60,1260023,252004.60,888767,127036,0,0,1008409,25.00,38.00,46.00,199.000000,51039,23.00,41390,23.00,96011,23.00,19479,301.00,43695,315.00,0,0.00,0,0.00,0,0,0,31459568,28688,0,4,0,0,0,0,4,7,0,0,0,0,0,0,0,968778304,1001908280
10.04,0,1243221,248644.20,1243221,248644.20,1760356,251684,0,0,994374,21.00,34.00,40.00,107.000000,49978,28.00,40963,27.00,95853,27.00,19086,353.00,42967,375.00,0,0.00,0,0.00,0,0,0,42993992,38924,0,6,0,0,0,0,6,15,0,0,0,0,0,0,0,2447043113,2094775134
15.08,0,1154913,230982.60,1154913,230982.60,2567498,366846,0,0,923352,23.00,35.00,42.00,79.000000,46684,30.00,38410,29.00,88749,29.00,17842,369.00,39876,387.00,0,0.00,0,0.00,0,0,0,35653904,32677,0,10,0,0,0,0,7,17,0,0,0,0,0,0,0,4281057520,3494502608
20.13,0,1180978,236195.60,1180978,236195.60,3394262,484727,0,0,944144,21.00,33.00,39.00,79.000000,47531,29.00,38971,29.00,91097,29.00,18194,360.00,41041,374.00,0,0.00,0,0.00,0,0,0,55577000,50803,0,11,0,0,0,0,13,17,0,0,0,0,0,0,0,6181367740,4814924056
25.18,0,1220045,244009.00,1220045,244009.00,4248125,606970,0,0,976615,19.00,31.00,37.00,75.000000,48700,30.00,40125,30.00,93802,30.00,18571,369.00,42232,389.00,0,0.00,0,0.00,0,0,0,40896824,37214,0,10,0,0,0,0,19,17,0,0,0,0,0,0,0,8133795765,4981046343
30.22,0,1206384,241276.80,1206384,241276.80,5093048,727557,0,0,965067,18.00,30.00,37.00,64.000000,48284,32.00,39695,33.00,92708,32.00,18615,394.00,42015,411.00,0,0.00,0,0.00,0,0,0,17827976,15138,1,13,0,0,0,0,19,17,0,0,0,0,0,0,0,10089554044,8759647961
35.26,0,1046534,209306.80,1046534,209306.80,5823969,831635,803,0,837148,17.00,32.00,52.00,1164.000000,41653,50.00,34303,51.00,80259,51.00,16013,712.00,36366,725.00,0,0.00,792,128.00,0,0,0,6293552,4897,2,11,0,0,0,0,25,20,0,0,0,0,0,0,0,12347335443,8469721449
40.30,1,846813,169362.60,846813,169362.60,6409677,918150,2024,0,675041,17.00,33.00,55.00,1151.000000,34019,52.00,28292,52.00,65720,54.00,12960,650.00,29555,692.00,0,0.00,1226,109.00,0,0,0,12585056,9785,0,18,0,0,0,0,16,38,0,0,0,0,0,0,0,11563554748,11521468288
45.34,1,881074,176214.80,881074,176214.80,6852793,1095046,2921,0,616791,13.00,26.00,34.00,78.000000,46522,39.00,38961,39.00,90181,39.00,26808,421.00,60917,447.00,0,0.00,894,75.00,0,0,0,12585056,10791,1,11,0,0,0,8,8,66,0,0,0,0,0,0,0,11989592952,10276729366
50.40,1,912659,182531.80,912659,182531.80,7309454,1277174,3850,0,637498,11.00,21.00,28.00,54.000000,48479,37.00,40372,38.00,93477,38.00,28271,368.00,63635,403.00,0,0.00,927,57.00,0,0,0,39848240,34334,0,7,0,0,0,6,15,74,0,0,0,0,0,0,0,11612669821,8810488442
55.46,1,887152,177430.40,887152,177430.40,7750459,1453485,4745,0,620814,11.00,21.00,27.00,63.000000,47300,38.00,38707,39.00,90710,39.00,27293,370.00,61428,401.00,0,0.00,900,54.00,0,0,0,36702488,32399,0,8,0,0,0,5,14,89,0,0,0,0,0,0,0,10306104062,12581646442
60.49,1,837140,167428.00,837140,167428.00,8169399,1620460,5594,0,585547,15.00,29.00,37.00,83.000000,44487,41.00,36926,44.00,86039,43.00,25579,441.00,57714,477.00,0,0.00,848,75.00,0,0,0,1050632,487,1,7,0,0,0,9,14,97,0,0,0,0,0,0,0,10476935904,11787471755
65.53,1,876986,175397.20,876986,175397.20,8607542,1795684,6484,0,613503,15.00,28.00,37.00,97.000000,46575,37.00,38370,39.00,90209,39.00,26887,382.00,60553,413.00,0,0.00,889,80.00,0,0,0,45091160,40961,0,5,0,0,0,6,17,104,0,0,0,0,0,0,0,10212483992,11046419950
70.57,1,873847,174769.40,873848,174769.60,9043363,1970524,7372,0,611112,15.00,28.00,36.00,75.000000,46426,37.00,38455,38.00,90136,38.00,26572,354.00,60259,383.00,0,0.00,888,71.00,0,0,0,39848240,33371,1,10,0,0,0,14,9,116,0,0,0,0,0,0,0,10440714901,11981932554
75.61,1,797033,159406.60,797032,159406.40,9440346,2129839,8178,0,557288,15.00,28.00,36.00,75.000000,42183,42.00,34966,44.00,82335,44.00,24264,429.00,55189,459.00,0,0.00,807,79.00,0,0,0,19925144,17444,1,14,0,0,0,14,8,116,0,0,0,0,0,0,0,12449244958,14872996522
80.64,1,782748,156549.60,782748,156549.60,9831612,2286763,8971,0,547782,15.00,28.00,37.00,89.000000,41697,43.00,34477,46.00,79886,46.00,24025,434.00,54084,471.00,0,0.00,797,76.00,0,0,0,38799656,35011,0,10,0,0,0,8,15,118,0,0,0,0,0,0,0,13319337092,11889941110
85.67,1,775428,155085.60,775428,155085.60,10217964,2441513,9758,0,541543,15.00,28.00,36.00,102.000000,41287,40.00,34383,43.00,79548,43.00,23940,393.00,53942,430.00,0,0.00,786,72.00,0,0,0,5244968,3562,1,14,0,0,0,8,13,122,0,0,0,0,0,0,0,14767968616,14759245292
90.70,1,677765,135553.00,677765,135553.00,10557887,2577384,10449,0,473995,16.00,30.00,38.00,73.000000,36117,48.00,29944,51.00,69141,52.00,20738,493.00,47141,531.00,0,0.00,688,76.00,0,0,0,46139744,38071,1,7,0,0,0,16,11,123,0,0,0,0,0,0,0,15790981129,16908662140
95.75,1,780519,156103.80,780519,156103.80,10946841,2732887,11240,0,545728,15.00,29.00,37.00,90.000000,41792,43.00,34399,46.00,79922,46.00,23879,446.00,54007,487.00,0,0.00,792,77.00,0,0,0,13633640,9782,1,14,0,0,0,16,9,126,0,0,0,0,0,0,0,17327461899,15067673045
100.79,1,775457,155091.40,775457,155091.40,11334079,2887381,12027,0,541578,15.00,28.00,36.00,65.000000,41564,44.00,34120,47.00,79607,47.00,23737,463.00,54065,510.00,0,0.00,786,77.00,0,0,0,25168064,22977,0,18,0,0,0,16,9,126,0,0,0,0,0,0,0,19345014574,17581318904
105.83,1,746992,149398.40,746992,149398.40,11705959,3037012,12783,0,522420,14.00,27.00,34.00,63.000000,39770,45.00,32901,49.00,76530,49.00,22804,479.00,51809,532.00,0,0.00,758,67.00,0,0,0,15730808,13780,1,17,0,0,0,16,9,126,0,0,0,0,0,0,0,21008599697,19732667043
