exp_id,group_name,threshold,phase,elapsed_sec,completed_ops,true_phase_iops,scan_us_per_key,scan_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count
formal_ls24_dp_clean_rep01,LS24-DP-CLEAN,0,"Phase A (Read Sensitive)",0.4005,100000,249673.3654,0.7842,115.6533,21.7455,0.0000,38.7633,0
formal_ls24_dp_clean_rep01,LS24-DP-CLEAN,0,"Phase B (Write Burst)",0.2951,100000,338820.6260,0.8005,110.1139,22.4415,0.0000,45.2952,0
formal_ls24_dp_clean_rep01,LS24-DP-CLEAN,0,"Phase C (Read Recovery)",0.3441,100000,290571.3882,0.7870,95.8471,21.3667,0.0000,25.9072,1
formal_ls24_dp_t0_rep01,LS24-DP-T0,0,"Phase A (Read Sensitive)",2.0354,100000,49131.4592,2.7661,1921.6939,1712.7115,1723.1211,177.9357,0
formal_ls24_dp_t0_rep01,LS24-DP-T0,0,"Phase B (Write Burst)",15.8273,100000,6318.1990,39.5567,9654.6568,9270.5449,9969.7487,249.8225,0
formal_ls24_dp_t0_rep01,LS24-DP-T0,0,"Phase C (Read Recovery)",32.0789,100000,3117.3159,28.8876,12835.7442,12513.2010,12452.6895,183.4092,1
formal_ls24_dp_t256_rep01,LS24-DP-T256,256,"Phase A (Read Sensitive)",0.5633,100000,177516.3869,0.9983,156.2958,67.6903,55.0541,85.0622,0
formal_ls24_dp_t256_rep01,LS24-DP-T256,256,"Phase B (Write Burst)",2.3533,100000,42492.7256,3.2685,560.6402,234.5650,192.7525,1285.9099,0
formal_ls24_dp_t256_rep01,LS24-DP-T256,256,"Phase C (Read Recovery)",5.7834,100000,17290.7244,2.7681,574.0469,243.1025,187.6813,14176.8240,1
formal_ls24_dp_t2048_rep01,LS24-DP-T2048,2048,"Phase A (Read Sensitive)",1.5046,100000,66464.6660,2.2106,1653.5642,1367.8946,1468.3923,152.4607,0
formal_ls24_dp_t2048_rep01,LS24-DP-T2048,2048,"Phase B (Write Burst)",2.9586,100000,33799.2542,6.7538,1591.6300,1327.8771,1319.8553,254.8683,0
formal_ls24_dp_t2048_rep01,LS24-DP-T2048,2048,"Phase C (Read Recovery)",3.1385,100000,31862.1318,4.2526,1490.8057,1250.5621,1214.7130,167.1698,1
formal_ls24_dp_t2048_rep02,LS24-DP-T2048,2048,"Phase A (Read Sensitive)",1.4556,100000,68698.2920,2.0875,1367.0660,1182.7548,1329.4874,146.1291,0
formal_ls24_dp_t2048_rep02,LS24-DP-T2048,2048,"Phase B (Write Burst)",2.7275,100000,36663.0366,6.8494,1860.9592,1268.1128,1200.0809,237.4249,0
formal_ls24_dp_t2048_rep02,LS24-DP-T2048,2048,"Phase C (Read Recovery)",3.1598,100000,31647.5305,4.4113,2341.3896,1476.4221,1136.3872,147.4634,1
formal_ls24_dp_t256_rep02,LS24-DP-T256,256,"Phase A (Read Sensitive)",1.1377,100000,87893.3695,1.5380,773.8989,199.8893,70.5377,93.1559,0
formal_ls24_dp_t256_rep02,LS24-DP-T256,256,"Phase B (Write Burst)",6.4651,100000,15467.7158,6.1157,6483.9865,2474.1217,251.4932,4722.9193,0
formal_ls24_dp_t256_rep02,LS24-DP-T256,256,"Phase C (Read Recovery)",12.3568,100000,8092.7105,6.2648,11558.3206,4176.2787,197.3618,48829.7174,1
formal_ls24_dp_t0_rep02,LS24-DP-T0,0,"Phase A (Read Sensitive)",1.7715,100000,56448.4739,2.5339,992.7551,537.3573,496.6525,58.7774,0
formal_ls24_dp_t0_rep02,LS24-DP-T0,0,"Phase B (Write Burst)",16.0279,100000,6239.1014,41.8281,9631.2845,9114.5838,9248.1024,250.2771,0
formal_ls24_dp_t0_rep02,LS24-DP-T0,0,"Phase C (Read Recovery)",33.5296,100000,2982.4437,34.3664,13007.9999,12551.1700,12415.0184,167.5755,1
formal_ls24_dp_clean_rep02,LS24-DP-CLEAN,0,"Phase A (Read Sensitive)",1.8460,100000,54171.5701,2.2274,2606.4694,495.1501,0.0000,50.1187,0
formal_ls24_dp_clean_rep02,LS24-DP-CLEAN,0,"Phase B (Write Burst)",0.5725,100000,174663.1714,1.7794,808.4098,200.0104,0.0000,55.3551,0
formal_ls24_dp_clean_rep02,LS24-DP-CLEAN,0,"Phase C (Read Recovery)",0.9640,100000,103735.4845,1.6569,784.2846,194.1592,0.0000,29.1036,1
formal_ls24_dp_t256_rep03,LS24-DP-T256,256,"Phase A (Read Sensitive)",2.5773,100000,38800.9833,3.9926,4957.5050,2219.8099,68.0192,87.6788,0
formal_ls24_dp_t256_rep03,LS24-DP-T256,256,"Phase B (Write Burst)",3.1350,100000,31897.5942,5.3102,3897.5301,2355.6202,188.8220,2393.0257,0
