exp_id,stage,event_type,job_id,timestamp_sec,reason,size_or_out_bytes,extra_info
rtc_native_t512_rep01,PRELOAD,FLUSH,2,0.6830,"Write Buffer Full",59992994,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_native_t512_rep01/000009.sst"
rtc_native_t512_rep01,PRELOAD,FLUSH,3,1.4694,"Write Buffer Full",59992998,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_native_t512_rep01/000011.sst"
rtc_native_t512_rep01,PRELOAD,FLUSH,4,1.5029,"Manual Flush",15631683,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_native_t512_rep01/000013.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,5,0.3620,"Memtable Max Range Deletions",2199048,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_native_t512_rep01/000015.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,7,0.5602,"Memtable Max Range Deletions",2149926,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_native_t512_rep01/000018.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,8,0.7700,"Memtable Max Range Deletions",1631931,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_native_t512_rep01/000020.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,9,0.8670,"Memtable Max Range Deletions",1513350,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_native_t512_rep01/000023.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,10,0.9593,"Memtable Max Range Deletions",1475749,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_native_t512_rep01/000025.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,12,1.0551,"Memtable Max Range Deletions",1485542,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_native_t512_rep01/000028.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,13,1.1436,"Memtable Max Range Deletions",1479580,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_native_t512_rep01/000030.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,14,1.2204,"Memtable Max Range Deletions",1454000,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_native_t512_rep01/000032.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,16,1.2909,"Memtable Max Range Deletions",1389933,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_native_t512_rep01/000035.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,17,1.3778,"Memtable Max Range Deletions",1453673,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_native_t512_rep01/000037.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,18,1.4501,"Memtable Max Range Deletions",1465164,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_native_t512_rep01/000039.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,19,1.5194,"Memtable Max Range Deletions",1446086,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_native_t512_rep01/000041.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,21,1.6044,"Memtable Max Range Deletions",1483396,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_native_t512_rep01/000044.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,22,1.7232,"Memtable Max Range Deletions",1490227,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_native_t512_rep01/000046.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,23,1.9339,"Memtable Max Range Deletions",894898,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_native_t512_rep01/000049.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,26,2.0935,"Memtable Max Range Deletions",877786,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_native_t512_rep01/000052.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,27,2.2442,"Memtable Max Range Deletions",812379,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_native_t512_rep01/000054.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,28,2.4068,"Memtable Max Range Deletions",839892,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_native_t512_rep01/000057.sst"
rtc_native_t512_rep01,FOREGROUND,FLUSH,29,2.5645,"Memtable Max Range Deletions",873689,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_native_t512_rep01/000059.sst"
rtc_native_t512_rep01,FOREGROUND,COMPACTION,11,1.0580,"kLevelL0FilesNum",6595943,"in_level=0;out_level=0;in_bytes=6972570"
rtc_native_t512_rep01,FOREGROUND,COMPACTION,6,1.0615,"kLevelL0FilesNum",134518258,"in_level=0;out_level=6;in_bytes=139563045"
rtc_native_t512_rep01,FOREGROUND,COMPACTION,20,1.6033,"kLevelL0FilesNum",5670996,"in_level=0;out_level=0;in_bytes=5943915"
rtc_native_t512_rep01,FOREGROUND,COMPACTION,15,1.9729,"kLevelL0FilesNum",115812946,"in_level=0;out_level=6;in_bytes=145676450"
rtc_native_t512_rep01,FOREGROUND,COMPACTION,25,2.5469,"kLevelL0FilesNum",98290466,"in_level=0;out_level=6;in_bytes=125488797"
rtc_native_t512_rep01,COOLDOWN,COMPACTION,30,3.1988,"kLevelL0FilesNum",88162579,"in_level=0;out_level=6;in_bytes=101854143"
rtc_controller_observe_rep01,PRELOAD,FLUSH,2,0.7075,"Write Buffer Full",59992842,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_controller_observe_rep01/000009.sst"
rtc_controller_observe_rep01,PRELOAD,FLUSH,3,1.6497,"Write Buffer Full",59994972,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_controller_observe_rep01/000011.sst"
rtc_controller_observe_rep01,PRELOAD,FLUSH,4,1.7096,"Manual Flush",15631873,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_controller_observe_rep01/000013.sst"
rtc_controller_active_rep01,PRELOAD,FLUSH,2,0.7000,"Write Buffer Full",59992843,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_controller_active_rep01/000009.sst"
rtc_controller_active_rep01,PRELOAD,FLUSH,3,1.4677,"Write Buffer Full",59993910,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_controller_active_rep01/000011.sst"
rtc_controller_active_rep01,PRELOAD,FLUSH,4,1.5631,"Manual Flush",15631871,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_controller_active_rep01/000013.sst"
rtc_controller_active_rep01,FOREGROUND,FLUSH,5,1.1343,"Range Tombstone Controller",5669475,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_controller_active_rep01/000015.sst"
rtc_controller_active_rep01,FOREGROUND,FLUSH,7,2.1710,"Range Tombstone Controller",5179163,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_controller_active_rep01/000019.sst"
rtc_controller_active_rep01,FOREGROUND,FLUSH,8,3.2410,"Range Tombstone Controller",5688357,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_controller_active_rep01/000021.sst"
rtc_controller_active_rep01,FOREGROUND,FLUSH,9,4.5033,"Range Tombstone Controller",5024475,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_controller_active_rep01/000023.sst"
rtc_controller_active_rep01,FOREGROUND,COMPACTION,6,1.8924,"kLevelL0FilesNum",129297293,"in_level=0;out_level=6;in_bytes=143132802"
rtc_controller_observe_rep02,PRELOAD,FLUSH,2,0.7319,"Write Buffer Full",59992842,"/home/wam/grad/s14-range-delete-study/results/formal_v2/range_tombstone_controller/20260901-formal-r5/run-db/rtc_controller_observe_rep02/000009.sst"
