exp_id,group_name,threshold,phase,elapsed_sec,completed_ops,true_phase_iops,scan_us_per_key,scan_p99_us,scan_intersect_p99_us,scan_non_intersect_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count
rtc_native_t512_rep01,RTC-NATIVE-T512,512,"Phase A (Read Sensitive)",0.5546,100000,180302.7129,1.1007,260.9630,0.0000,260.9630,159.9364,0.0000,54.0296,29
rtc_native_t512_rep01,RTC-NATIVE-T512,512,"Phase B (Write Burst)",1.0194,100000,98096.9711,2.7576,608.0613,0.0000,608.0613,342.9755,0.0000,151.1728,32
rtc_native_t512_rep01,RTC-NATIVE-T512,512,"Phase B-Inject (20% Window)",0.2039,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_native_t512_rep01,RTC-NATIVE-T512,512,"Phase B-PostBurst (80% Window)",0.8155,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_native_t512_rep01,RTC-NATIVE-T512,512,"Phase C (Read Recovery)",0.9727,100000,102810.2018,2.1699,537.3573,0.0000,537.3573,199.6472,0.0000,95.3258,38
rtc_controller_observe_rep01,RTC-CONTROLLER-OBSERVE,0,"Phase A (Read Sensitive)",0.8075,100000,123833.2263,1.4010,565.7591,0.0000,565.7591,444.5235,0.0000,67.2814,29
rtc_controller_observe_rep01,RTC-CONTROLLER-OBSERVE,0,"Phase B (Write Burst)",10.9193,100000,9158.1377,27.8089,7399.6389,0.0000,7399.6389,6989.9438,0.0000,286.6609,32
rtc_controller_observe_rep01,RTC-CONTROLLER-OBSERVE,0,"Phase B-Inject (20% Window)",2.1839,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_controller_observe_rep01,RTC-CONTROLLER-OBSERVE,0,"Phase B-PostBurst (80% Window)",8.7354,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_controller_observe_rep01,RTC-CONTROLLER-OBSERVE,0,"Phase C (Read Recovery)",18.7848,100000,5323.4548,21.0997,10121.9260,0.0000,10121.9260,9719.2237,0.0000,253.6358,38
rtc_controller_active_rep01,RTC-CONTROLLER-ACTIVE,0,"Phase A (Read Sensitive)",0.8051,100000,124206.7051,1.3767,576.4869,0.0000,576.4869,466.8857,0.0000,67.5673,29
rtc_controller_active_rep01,RTC-CONTROLLER-ACTIVE,0,"Phase B (Write Burst)",3.2311,100000,30948.9478,8.2945,2448.7665,0.0000,2448.7665,2064.1290,0.0000,220.2393,32
rtc_controller_active_rep01,RTC-CONTROLLER-ACTIVE,0,"Phase B-Inject (20% Window)",0.6462,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_controller_active_rep01,RTC-CONTROLLER-ACTIVE,0,"Phase B-PostBurst (80% Window)",2.5849,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_controller_active_rep01,RTC-CONTROLLER-ACTIVE,0,"Phase C (Read Recovery)",4.0116,100000,24927.4973,5.9856,2871.8245,0.0000,2871.8245,2394.4762,0.0000,179.5604,38
rtc_controller_observe_rep02,RTC-CONTROLLER-OBSERVE,0,"Phase A (Read Sensitive)",0.7566,100000,132174.2049,1.3036,574.3948,0.0000,574.3948,447.2253,0.0000,66.6322,29
rtc_controller_observe_rep02,RTC-CONTROLLER-OBSERVE,0,"Phase B (Write Burst)",10.9303,100000,9148.8754,27.9574,7297.2276,0.0000,7297.2276,6935.0985,0.0000,298.1767,32
rtc_controller_observe_rep02,RTC-CONTROLLER-OBSERVE,0,"Phase B-Inject (20% Window)",2.1861,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_controller_observe_rep02,RTC-CONTROLLER-OBSERVE,0,"Phase B-PostBurst (80% Window)",8.7442,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_controller_observe_rep02,RTC-CONTROLLER-OBSERVE,0,"Phase C (Read Recovery)",17.1789,100000,5821.1060,17.1638,9987.8885,0.0000,9987.8885,9613.7923,0.0000,231.8799,38
rtc_controller_active_rep02,RTC-CONTROLLER-ACTIVE,0,"Phase A (Read Sensitive)",0.6853,100000,145928.2063,1.2200,514.4176,0.0000,514.4176,419.9116,0.0000,62.2979,29
rtc_controller_active_rep02,RTC-CONTROLLER-ACTIVE,0,"Phase B (Write Burst)",3.3679,100000,29692.0126,8.8845,2454.7089,0.0000,2454.7089,2030.6337,0.0000,226.7390,32
rtc_controller_active_rep02,RTC-CONTROLLER-ACTIVE,0,"Phase B-Inject (20% Window)",0.6736,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_controller_active_rep02,RTC-CONTROLLER-ACTIVE,0,"Phase B-PostBurst (80% Window)",2.6943,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_controller_active_rep02,RTC-CONTROLLER-ACTIVE,0,"Phase C (Read Recovery)",4.0293,100000,24818.3549,6.3396,2721.0520,0.0000,2721.0520,2306.1882,0.0000,186.8869,38
rtc_native_t512_rep02,RTC-NATIVE-T512,512,"Phase A (Read Sensitive)",0.5333,100000,187497.8693,1.1016,265.7503,0.0000,265.7503,162.3777,0.0000,58.7418,29
rtc_native_t512_rep02,RTC-NATIVE-T512,512,"Phase B (Write Burst)",0.9469,100000,105604.2114,2.3262,500.2770,0.0000,500.2770,262.0723,0.0000,117.1343,32
rtc_native_t512_rep02,RTC-NATIVE-T512,512,"Phase B-Inject (20% Window)",0.1894,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_native_t512_rep02,RTC-NATIVE-T512,512,"Phase B-PostBurst (80% Window)",0.7575,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_native_t512_rep02,RTC-NATIVE-T512,512,"Phase C (Read Recovery)",0.9591,100000,104262.6949,1.9739,552.8809,0.0000,552.8809,192.0530,0.0000,87.2548,38
