exp_id,group_name,desc,threshold,range_tombstone_controller_enabled,range_tombstone_controller_observe_only,range_tombstone_controller_min_range_deletions,range_tombstone_controller_min_memtable_bytes,range_tombstone_controller_cooldown_micros,total_keys,value_size,foreground_wallclock_sec,sum_phase_active_sec,oracle_flush_wait_sec,fg_trace_iops,fg_db_api_iops,scan_us_per_key,scan_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count,fg_flush_count,controller_fg_flush_count,fg_flush_engine_out_mb,fg_comp_read_mb,fg_comp_write_mb,fwa_val_norm_fg,cwa_val_norm_fg,pwa_val_norm_fg,total_exp_flush_count,controller_total_flush_count,total_exp_flush_engine_out_mb,total_exp_comp_write_mb,fwa_val_norm_total,cwa_val_norm_total,pwa_val_norm_total,sst_mb,db_live_keys,model_live_keys,sha256_hex,verification_status
rtc_native_t512_rep01,RTC-NATIVE-T512,"Formal V2 native memtable_max_range_deletions T512 comparator",512,0,1,512,8388608,1000000,500000,256,2.6834,2.5467,0.0000,111796.9157,111796.9157,1.8596,519.4291,221.3095,0.0000,126.1980,99,19,0,25.1925,404.0191,344.1702,1.0319,14.0972,15.1291,19,0,25.1925,428.2486,1.0319,17.5411,18.5729,84.0784,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
rtc_controller_observe_rep01,RTC-CONTROLLER-OBSERVE,"Formal V2 range tombstone controller observe-only control",0,1,1,512,8388608,1000000,500000,256,30.6525,30.5116,0.0000,9787.1337,9787.1337,14.5596,9903.5175,9521.0361,0.0000,269.8066,99,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9503,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
rtc_controller_active_rep01,RTC-CONTROLLER-ACTIVE,"Formal V2 active range tombstone controller candidate",0,1,0,512,8388608,1000000,500000,256,8.1570,8.0479,0.0000,36778.3972,36778.3972,4.6032,2698.0664,2242.7945,0.0000,199.1639,99,4,4,20.5626,136.5021,123.3075,0.8422,5.0507,5.8929,4,4,20.5626,123.3075,0.8422,5.0507,5.8929,138.9671,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
rtc_controller_observe_rep02,RTC-CONTROLLER-OBSERVE,"Formal V2 range tombstone controller observe-only control",0,1,1,512,8388608,1000000,500000,256,29.0080,28.8657,0.0000,10341.9576,10341.9576,12.9759,9754.6238,9394.9557,0.0000,281.6676,99,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9486,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
rtc_controller_active_rep02,RTC-CONTROLLER-ACTIVE,"Formal V2 active range tombstone controller candidate",0,1,0,512,8388608,1000000,500000,256,8.2233,8.0825,0.0000,36481.7715,36481.7715,4.8000,2570.3958,2147.0497,0.0000,209.9449,99,4,4,21.2684,136.6094,123.0051,0.8712,5.0383,5.9094,4,4,21.2684,123.0051,0.8712,5.0383,5.9094,139.2952,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
rtc_native_t512_rep02,RTC-NATIVE-T512,"Formal V2 native memtable_max_range_deletions T512 comparator",512,0,1,512,8388608,1000000,500000,256,2.5644,2.4394,0.0000,116988.0912,116988.0912,1.6953,473.1513,200.3743,0.0000,105.4770,99,19,0,25.1851,404.0345,344.2133,1.0316,14.0990,15.1306,19,0,25.1851,428.2925,1.0316,17.5429,18.5744,84.0791,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
rtc_controller_active_rep03,RTC-CONTROLLER-ACTIVE,"Formal V2 active range tombstone controller candidate",0,1,0,512,8388608,1000000,500000,256,8.8332,8.6977,0.0000,33962.8729,33962.8729,5.0833,2844.1164,2338.5538,0.0000,234.1390,99,4,4,20.4486,136.5123,123.2381,0.8376,5.0478,5.8854,4,4,20.4486,123.2381,0.8376,5.0478,5.8854,138.7682,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
rtc_native_t512_rep03,RTC-NATIVE-T512,"Formal V2 native memtable_max_range_deletions T512 comparator",512,0,1,512,8388608,1000000,500000,256,2.5516,2.4256,0.0000,117573.1510,117573.1510,1.8062,470.0080,208.0453,0.0000,105.5410,99,19,0,25.2451,287.8567,253.7996,1.0340,10.3956,11.4297,19,0,25.2451,347.5379,1.0340,14.2352,15.2692,97.0258,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
rtc_controller_observe_rep03,RTC-CONTROLLER-OBSERVE,"Formal V2 range tombstone controller observe-only control",0,1,1,512,8388608,1000000,500000,256,29.3982,29.2720,0.0000,10204.6976,10204.6976,12.7936,9831.7670,9372.2120,0.0000,249.0668,99,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,130.9486,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
rtc_controller_active_rep04,RTC-CONTROLLER-ACTIVE,"Formal V2 active range tombstone controller candidate",0,1,0,512,8388608,1000000,500000,256,7.9594,7.8225,0.0000,37691.2365,37691.2365,4.6306,2604.8905,2206.3998,0.0000,186.7737,99,4,4,21.6420,136.6623,122.9173,0.8865,5.0347,5.9211,4,4,21.6420,122.9173,0.8865,5.0347,5.9211,139.5505,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
