exp_id,group_name,threshold,phase,elapsed_sec,completed_ops,true_phase_iops,scan_us_per_key,scan_p99_us,scan_intersect_p99_us,scan_non_intersect_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count
rtc_native_t512_rep01,RTC-NATIVE-T512,512,"Phase A (Read Sensitive)",0.5727,100000,174599.2410,1.2029,279.2882,0.0000,279.2882,175.4731,0.0000,52.7997,29
rtc_native_t512_rep01,RTC-NATIVE-T512,512,"Phase B (Write Burst)",0.8858,100000,112897.1117,2.4602,514.4176,0.0000,514.4176,275.0893,0.0000,96.3712,32
rtc_native_t512_rep01,RTC-NATIVE-T512,512,"Phase B-Inject (20% Window)",0.1772,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_native_t512_rep01,RTC-NATIVE-T512,512,"Phase B-PostBurst (80% Window)",0.7086,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_native_t512_rep01,RTC-NATIVE-T512,512,"Phase C (Read Recovery)",0.9338,100000,107086.8585,2.0692,558.6056,0.0000,558.6056,195.1026,0.0000,83.1260,38
rtc_controller_observe_rep01,RTC-CONTROLLER-OBSERVE,0,"Phase A (Read Sensitive)",0.8256,100000,121120.4151,1.4483,604.7543,0.0000,604.7543,458.4751,0.0000,71.1817,29
rtc_controller_observe_rep01,RTC-CONTROLLER-OBSERVE,0,"Phase B (Write Burst)",10.2164,100000,9788.1412,24.5510,7283.9746,0.0000,7283.9746,6901.5616,0.0000,230.2000,32
rtc_controller_observe_rep01,RTC-CONTROLLER-OBSERVE,0,"Phase B-Inject (20% Window)",2.0433,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_controller_observe_rep01,RTC-CONTROLLER-OBSERVE,0,"Phase B-PostBurst (80% Window)",8.1732,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_controller_observe_rep01,RTC-CONTROLLER-OBSERVE,0,"Phase C (Read Recovery)",17.1040,100000,5846.5841,16.4990,10000.0000,0.0000,10000.0000,9613.7923,0.0000,196.5265,38
rtc_controller_active_rep01,RTC-CONTROLLER-ACTIVE,0,"Phase A (Read Sensitive)",0.8266,100000,120976.5202,1.3797,569.1977,0.0000,569.1977,451.8559,0.0000,67.7724,29
rtc_controller_active_rep01,RTC-CONTROLLER-ACTIVE,0,"Phase B (Write Burst)",3.3289,100000,30039.9187,8.8469,2410.4896,0.0000,2410.4896,1947.4830,0.0000,237.1374,32
rtc_controller_active_rep01,RTC-CONTROLLER-ACTIVE,0,"Phase B-Inject (20% Window)",0.6658,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_controller_active_rep01,RTC-CONTROLLER-ACTIVE,0,"Phase B-PostBurst (80% Window)",2.6631,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtc_controller_active_rep01,RTC-CONTROLLER-ACTIVE,0,"Phase C (Read Recovery)",4.6297,100000,21599.5969,6.9805,3127.9742,0.0000,3127.9742,2628.6747,0.0000,216.6654,38
