exp_id,action_id,request_time_us,action,reason,state_before,flush_begin_time_us,flush_end_time_us,compaction_related,read_relief,put_cost,flush_output_bytes,compaction_read_bytes,compaction_write_bytes,result
rtp_mc_active_v2a,1,382225,SEAL,READ_WARN,read_debt=0.0237;maint_debt=0.0000;tombstones=615,382225,0,0,0,0,0,0,0,REQUESTED
rtp_mc_active_v2a,2,769688,SEAL,READ_CRITICAL,read_debt=2.3492;maint_debt=0.3620;tombstones=1102,769688,0,0,0,0,0,0,0,REQUESTED
rtp_mc_active_v2a,3,826181,SEAL,READ_CRITICAL,read_debt=1.6939;maint_debt=0.3816;tombstones=300,826181,0,0,0,0,0,0,0,REQUESTED
rtp_mc_active_v2a,4,883145,SEAL,READ_CRITICAL,read_debt=0.0037;maint_debt=1.3348;tombstones=305,883145,0,0,0,0,0,0,0,REQUESTED
rtp_mc_active_v2a,5,1107779,SEAL,READ_CRITICAL,read_debt=1.6658;maint_debt=0.3907;tombstones=1136,1107779,0,0,0,0,0,0,0,REQUESTED
rtp_mc_active_v2a,6,1345602,SEAL,READ_CRITICAL,read_debt=0.5965;maint_debt=0.0000;tombstones=476,1345602,0,0,0,0,0,0,0,REQUESTED
rtp_mc_active_v2a,7,1407220,SEAL,READ_CRITICAL,read_debt=0.4006;maint_debt=0.0000;tombstones=346,1407220,0,0,0,0,0,0,0,REQUESTED
rtp_mc_active_v2a,8,1474848,SEAL,READ_CRITICAL,read_debt=0.0722;maint_debt=0.0000;tombstones=419,1474848,0,0,0,0,0,0,0,REQUESTED
rtp_mc_active_v2a,9,1584397,SEAL,READ_WARN,read_debt=0.3283;maint_debt=0.0000;tombstones=685,1584397,0,0,0,0,0,0,0,REQUESTED
rtp_mc_active_v2a,10,2395035,SEAL,READ_CRITICAL,read_debt=0.3116;maint_debt=0.0000;tombstones=258,2395035,0,0,0,0,0,0,0,REQUESTED
rtp_mc_active_v2a,11,2453788,SEAL,READ_CRITICAL,read_debt=0.1563;maint_debt=0.1927;tombstones=62,2453788,0,0,0,0,0,0,0,REQUESTED
rtp_mc_active_v2a,12,2511905,SEAL,READ_CRITICAL,read_debt=0.1201;maint_debt=0.2474;tombstones=114,2511905,0,0,0,0,0,0,0,REQUESTED
rtp_mc_active_v2a,13,2566993,SEAL,READ_CRITICAL,read_debt=0.0555;maint_debt=0.0000;tombstones=117,2566993,0,0,0,0,0,0,0,REQUESTED
rtp_mc_active_v2a,14,3244333,SEAL,READ_CRITICAL,read_debt=3.1526;maint_debt=0.0000;tombstones=109,3244333,0,0,0,0,0,0,0,REQUESTED
rtp_mc_active_v2a,15,3412251,SEAL,READ_WARN,read_debt=0.0168;maint_debt=0.0000;tombstones=484,3412251,0,0,0,0,0,0,0,REQUESTED
rtp_mc_active_v2a,16,3581418,SEAL,READ_WARN,read_debt=0.0676;maint_debt=0.0000;tombstones=548,3581418,0,0,0,0,0,0,0,REQUESTED
