exp_id,timestamp_us,phase,active_range_tombstones,active_memtable_bytes,range_del_rate,estimated_capacity_flush_ms,getlive_samples,getlive_p99_us,getdel_samples,getdel_p99_us,scan_samples,scan_p99_us,put_samples,put_p99_us,l0_files,immutable_memtables,pending_compaction_bytes,read_debt,reclaim_debt,maintenance_debt,decision,decision_reason,conflict_state
rtp_mc_observe,50305,0,0,2048,0.00,999999.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.0000,0.0000,0.0000,HOLD,NO_TOMBSTONES,NORMAL
rtp_mc_observe,102902,0,10,1050632,190.12,100534.28,400,118.13,0,0.00,157,658.69,135,274.59,0,0,0,0.0895,29.0125,0.8306,YIELD,PUT_SLO_VIOLATION,NORMAL
rtp_mc_observe,156196,0,109,1050632,1857.62,23960.15,5247,65.00,0,0.00,1762,228.81,1594,60.11,0,0,0,0.0000,295.9174,0.0000,HOLD,LOW_READ_DEBT,NORMAL
rtp_mc_observe,211087,0,212,2099216,1876.45,16092.29,4997,120.88,0,0.00,1739,302.00,1508,77.02,0,0,0,0.0000,404.2238,0.0000,HOLD,LOW_READ_DEBT,NORMAL
rtp_mc_observe,264352,0,304,2099216,1727.21,12699.79,5179,161.79,0,0.00,1638,345.90,1589,74.72,0,0,0,0.0000,486.5101,0.0000,HOLD,LOW_READ_DEBT,NORMAL
rtp_mc_observe,319863,0,406,3147800,1837.47,11036.33,4954,206.16,0,0.00,1684,379.73,1599,76.27,0,0,0,0.0230,607.2866,0.0000,SEAL,READ_WARN,NORMAL
rtp_mc_observe,376034,0,516,3147800,1958.31,10204.87,5237,227.98,0,0.00,1771,331.93,1617,69.44,0,0,0,0.1045,740.0042,0.0000,SEAL,READ_WARN,NORMAL
rtp_mc_observe,432009,0,625,4196384,1947.30,9643.74,5011,260.02,0,0.00,1652,361.98,1557,69.35,0,0,0,0.2257,860.8548,0.0000,SEAL,READ_CRITICAL,NORMAL
rtp_mc_observe,488328,0,715,4196384,1598.04,9041.20,5445,275.42,0,0.00,1791,384.59,1754,63.90,0,0,0,0.2838,929.8590,0.0000,SEAL,READ_CRITICAL,NORMAL
rtp_mc_observe,544312,0,807,5244968,1643.33,9054.23,4574,323.40,0,0.00,1571,415.36,1430,65.04,0,0,0,0.4593,1042.5101,0.0000,SEAL,READ_CRITICAL,NORMAL
rtp_mc_observe,600521,0,900,5244968,1654.54,9363.57,4263,360.88,0,0.00,1398,471.43,1335,74.09,0,0,0,0.6058,1154.9139,0.0000,SEAL,READ_CRITICAL,NORMAL
rtp_mc_observe,656540,0,973,5244968,1303.13,9894.83,3681,444.79,0,0.00,1242,551.88,1187,78.95,0,0,0,0.9414,1210.9267,0.0000,SEAL,READ_CRITICAL,NORMAL
rtp_mc_observe,712884,0,1037,6293552,1135.88,10359.64,3358,518.80,0,0.00,1109,655.51,1096,80.30,0,0,0,1.2755,1276.8946,0.0000,SEAL,READ_CRITICAL,NORMAL
