exp_id,stage,event_type,job_id,timestamp_sec,reason,size_or_out_bytes,extra_info
rtp_mc_observe,PRELOAD,FLUSH,2,0.7296,"Write Buffer Full",59992993,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_observe/000009.sst"
rtp_mc_observe,PRELOAD,FLUSH,3,1.6522,"Write Buffer Full",59992845,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_observe/000011.sst"
rtp_mc_observe,PRELOAD,FLUSH,4,1.6964,"Manual Flush",15631873,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_observe/000013.sst"
rtp_mc_shadow_t512,PRELOAD,FLUSH,2,0.7396,"Write Buffer Full",59993905,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_shadow_t512/000009.sst"
rtp_mc_shadow_t512,PRELOAD,FLUSH,3,1.4269,"Write Buffer Full",59992844,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_shadow_t512/000011.sst"
rtp_mc_shadow_t512,PRELOAD,FLUSH,4,1.4937,"Manual Flush",15632067,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_shadow_t512/000013.sst"
rtp_mc_shadow_t512,FOREGROUND,FLUSH,5,0.3631,"Memtable Max Range Deletions",2214051,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_shadow_t512/000015.sst"
rtp_mc_shadow_t512,FOREGROUND,FLUSH,7,0.5857,"Memtable Max Range Deletions",2110620,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_shadow_t512/000018.sst"
rtp_mc_shadow_t512,FOREGROUND,FLUSH,8,0.7630,"Memtable Max Range Deletions",1643315,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_shadow_t512/000020.sst"
rtp_mc_shadow_t512,FOREGROUND,FLUSH,9,0.8260,"Memtable Max Range Deletions",1565876,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_shadow_t512/000023.sst"
rtp_mc_shadow_t512,FOREGROUND,FLUSH,10,0.9144,"Memtable Max Range Deletions",1435135,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_shadow_t512/000025.sst"
rtp_mc_shadow_t512,FOREGROUND,FLUSH,12,0.9875,"Memtable Max Range Deletions",1500492,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_shadow_t512/000028.sst"
rtp_mc_shadow_t512,FOREGROUND,FLUSH,13,1.0663,"Memtable Max Range Deletions",1484499,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_shadow_t512/000030.sst"
rtp_mc_shadow_t512,FOREGROUND,FLUSH,14,1.1456,"Memtable Max Range Deletions",1431668,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_shadow_t512/000032.sst"
rtp_mc_shadow_t512,FOREGROUND,FLUSH,17,1.1912,"Memtable Max Range Deletions",1366510,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_shadow_t512/000035.sst"
rtp_mc_shadow_t512,FOREGROUND,FLUSH,18,1.2439,"Memtable Max Range Deletions",1370802,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_shadow_t512/000037.sst"
rtp_mc_shadow_t512,FOREGROUND,FLUSH,19,1.3346,"Memtable Max Range Deletions",1538376,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_shadow_t512/000039.sst"
rtp_mc_shadow_t512,FOREGROUND,FLUSH,20,1.4002,"Memtable Max Range Deletions",1440893,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_shadow_t512/000041.sst"
rtp_mc_shadow_t512,FOREGROUND,FLUSH,22,1.4831,"Memtable Max Range Deletions",1495636,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_shadow_t512/000044.sst"
rtp_mc_shadow_t512,FOREGROUND,FLUSH,23,1.6312,"Memtable Max Range Deletions",1500219,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_shadow_t512/000047.sst"
rtp_mc_shadow_t512,FOREGROUND,FLUSH,24,1.8741,"Memtable Max Range Deletions",886684,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_shadow_t512/000049.sst"
rtp_mc_shadow_t512,FOREGROUND,FLUSH,26,2.0174,"Memtable Max Range Deletions",852746,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_shadow_t512/000052.sst"
rtp_mc_shadow_t512,FOREGROUND,FLUSH,27,2.1483,"Memtable Max Range Deletions",875650,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_shadow_t512/000054.sst"
rtp_mc_shadow_t512,FOREGROUND,FLUSH,28,2.3067,"Memtable Max Range Deletions",842045,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_shadow_t512/000056.sst"
rtp_mc_shadow_t512,FOREGROUND,FLUSH,29,2.4755,"Memtable Max Range Deletions",862764,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_shadow_t512/000059.sst"
rtp_mc_shadow_t512,FOREGROUND,COMPACTION,11,0.9753,"kLevelL0FilesNum",6583196,"in_level=0;out_level=0;in_bytes=6956396"
rtp_mc_shadow_t512,FOREGROUND,COMPACTION,6,1.1492,"kLevelL0FilesNum",134520262,"in_level=0;out_level=6;in_bytes=139580538"
rtp_mc_shadow_t512,FOREGROUND,COMPACTION,21,1.4466,"kLevelL0FilesNum",5636932,"in_level=0;out_level=0;in_bytes=5905073"
rtp_mc_shadow_t512,FOREGROUND,COMPACTION,16,1.8689,"kLevelL0FilesNum",115818615,"in_level=0;out_level=6;in_bytes=145663095"
rtp_mc_shadow_t512,FOREGROUND,COMPACTION,25,2.4743,"kLevelL0FilesNum",98296081,"in_level=0;out_level=6;in_bytes=125474548"
rtp_mc_shadow_t512,COOLDOWN,COMPACTION,30,3.1541,"kLevelL0FilesNum",88171391,"in_level=0;out_level=6;in_bytes=101889557"
rtp_mc_active_v2a,PRELOAD,FLUSH,2,0.7805,"Write Buffer Full",59992994,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_active_v2a/000009.sst"
rtp_mc_active_v2a,PRELOAD,FLUSH,3,1.6063,"Write Buffer Full",59993909,"/home/wam/grad/s14-range-delete-study/run-db/rtp_mc_active_v2a/000011.sst"
