exp_id,group_name,threshold,phase,elapsed_sec,completed_ops,true_phase_iops,scan_us_per_key,scan_p99_us,scan_intersect_p99_us,scan_non_intersect_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count
rtp_mc_observe,RTP-MC-OBSERVE,0,"Phase A (Read Sensitive)",0.8578,100000,116573.9054,1.4733,567.1321,0.0000,567.1321,438.6370,0.0000,75.3082,29
rtp_mc_observe,RTP-MC-OBSERVE,0,"Phase B (Write Burst)",10.7770,100000,9279.0049,26.9616,7476.2568,0.0000,7476.2568,7079.4578,0.0000,294.4065,32
rtp_mc_observe,RTP-MC-OBSERVE,0,"Phase B-Inject (20% Window)",2.1554,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtp_mc_observe,RTP-MC-OBSERVE,0,"Phase B-PostBurst (80% Window)",8.6216,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtp_mc_observe,RTP-MC-OBSERVE,0,"Phase C (Read Recovery)",18.5761,100000,5383.2695,20.8220,10158.7929,0.0000,10158.7929,9625.4502,0.0000,296.5550,38
rtp_mc_shadow_t512,RTP-MC-SHADOW-T512,512,"Phase A (Read Sensitive)",0.5618,100000,177990.9857,1.1041,268.8275,0.0000,268.8275,169.5159,0.0000,63.5562,29
rtp_mc_shadow_t512,RTP-MC-SHADOW-T512,512,"Phase B (Write Burst)",0.9384,100000,106559.2251,2.2233,494.2508,0.0000,494.2508,267.5275,0.0000,122.5804,32
rtp_mc_shadow_t512,RTP-MC-SHADOW-T512,512,"Phase B-Inject (20% Window)",0.1877,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtp_mc_shadow_t512,RTP-MC-SHADOW-T512,512,"Phase B-PostBurst (80% Window)",0.7508,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtp_mc_shadow_t512,RTP-MC-SHADOW-T512,512,"Phase C (Read Recovery)",0.9266,100000,107920.7832,2.0415,591.3466,0.0000,591.3466,195.9320,0.0000,89.4497,38
rtp_mc_active_v2a,RTP-MC-ACTIVE-V2A,0,"Phase A (Read Sensitive)",0.5184,100000,192888.0483,1.0595,255.4868,0.0000,255.4868,167.3725,0.0000,57.4743,29
rtp_mc_active_v2a,RTP-MC-ACTIVE-V2A,0,"Phase B (Write Burst)",1.7780,100000,56242.8762,4.8472,2419.2693,0.0000,2419.2693,1857.5793,0.0000,166.5632,32
rtp_mc_active_v2a,RTP-MC-ACTIVE-V2A,0,"Phase B-Inject (20% Window)",0.3556,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtp_mc_active_v2a,RTP-MC-ACTIVE-V2A,0,"Phase B-PostBurst (80% Window)",1.4224,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtp_mc_active_v2a,RTP-MC-ACTIVE-V2A,0,"Phase C (Read Recovery)",1.2914,100000,77434.2573,2.6743,974.8715,0.0000,974.8715,673.6294,0.0000,133.1100,38
