exp_id,action_id,request_time_us,action,reason,state_before,flush_begin_time_us,flush_end_time_us,compaction_related,read_relief,put_cost,flush_output_bytes,compaction_read_bytes,compaction_write_bytes,result
rtp_mc_v2a_rep01,1,401181,SEAL,"READ_WARN","read_debt=0.082221;maint_debt=0.000000;tombstones=957",0,0,0,0.0000,0.0000,0,0,0,REQUESTED
rtp_mc_v2a_rep01,1,401181,SEAL,"READ_WARN","read_debt=0.082221;maint_debt=0.000000;tombstones=957",402464,0,0,0.0000,0.0000,0,0,0,FLUSHING
rtp_mc_v2a_rep01,1,401181,SEAL,"READ_WARN","read_debt=0.082221;maint_debt=0.000000;tombstones=957",402464,439647,0,0.0000,0.0000,3998427,0,0,DONE
rtp_mc_v2a_rep01,2,645559,SEAL,"READ_CRITICAL","read_debt=3.389500;maint_debt=0.369069;tombstones=1046",0,0,0,0.0000,0.0000,0,0,0,REQUESTED
rtp_mc_v2a_rep01,2,645559,SEAL,"READ_CRITICAL","read_debt=3.389500;maint_debt=0.369069;tombstones=1046",646948,0,0,0.0000,0.0000,0,0,0,FLUSHING
rtp_mc_v2a_rep01,2,645559,SEAL,"READ_CRITICAL","read_debt=3.389500;maint_debt=0.369069;tombstones=1046",646948,673920,0,0.0000,0.0000,3284225,0,0,DONE
rtp_mc_v2a_rep01,3,707255,SEAL,"READ_CRITICAL","read_debt=3.950978;maint_debt=0.385878;tombstones=473",0,0,0,0.0000,0.0000,0,0,0,REQUESTED
rtp_mc_v2a_rep01,3,707255,SEAL,"READ_CRITICAL","read_debt=3.950978;maint_debt=0.385878;tombstones=473",708024,0,0,0.0000,0.0000,0,0,0,FLUSHING
rtp_mc_v2a_rep01,3,707255,SEAL,"READ_CRITICAL","read_debt=3.950978;maint_debt=0.385878;tombstones=473",708024,732929,0,0.0000,0.0000,1361559,0,0,DONE
rtp_mc_v2a_rep01,4,768334,SEAL,"READ_CRITICAL","read_debt=4.162760;maint_debt=0.392861;tombstones=526",0,0,0,0.0000,0.0000,0,0,0,REQUESTED
rtp_mc_v2a_rep01,4,768334,SEAL,"READ_CRITICAL","read_debt=4.162760;maint_debt=0.392861;tombstones=526",769150,0,0,0.0000,0.0000,0,0,0,FLUSHING
rtp_mc_v2a_rep01,4,768334,SEAL,"READ_CRITICAL","read_debt=4.162760;maint_debt=0.392861;tombstones=526",769150,791967,0,0.0000,0.0000,1514739,0,0,DONE
rtp_mc_v2a_rep01,5,829550,SEAL,"READ_CRITICAL","read_debt=4.341442;maint_debt=0.400628;tombstones=572",0,0,0,0.0000,0.0000,0,0,0,REQUESTED
rtp_mc_v2a_rep01,5,829550,SEAL,"READ_CRITICAL","read_debt=4.341442;maint_debt=0.400628;tombstones=572",951296,0,0,0.0000,0.0000,0,0,0,FLUSHING
rtp_mc_v2a_rep01,5,829550,SEAL,"READ_CRITICAL","read_debt=4.341442;maint_debt=0.400628;tombstones=572",951296,1004511,0,0.0000,0.0000,3520813,0,0,DONE
rtp_mc_v2a_rep01,6,1010827,SEAL,"READ_CRITICAL","read_debt=3.376942;maint_debt=0.000000;tombstones=473",0,0,0,0.0000,0.0000,0,0,0,REQUESTED
rtp_mc_v2a_rep01,6,1010827,SEAL,"READ_CRITICAL","read_debt=3.376942;maint_debt=0.000000;tombstones=473",1011621,0,0,0.0000,0.0000,0,0,0,FLUSHING
rtp_mc_v2a_rep01,6,1010827,SEAL,"READ_CRITICAL","read_debt=3.376942;maint_debt=0.000000;tombstones=473",1011621,1035931,0,0.0000,0.0000,1327450,0,0,DONE
rtp_mc_v2a_rep01,7,1070893,SEAL,"READ_CRITICAL","read_debt=3.240514;maint_debt=0.000000;tombstones=522",0,0,0,0.0000,0.0000,0,0,0,REQUESTED
rtp_mc_v2a_rep01,7,1070893,SEAL,"READ_CRITICAL","read_debt=3.240514;maint_debt=0.000000;tombstones=522",1071759,0,0,0.0000,0.0000,0,0,0,FLUSHING
rtp_mc_v2a_rep01,7,1070893,SEAL,"READ_CRITICAL","read_debt=3.240514;maint_debt=0.000000;tombstones=522",1071759,1100152,0,0.0000,0.0000,1490444,0,0,DONE
rtp_mc_v2a_rep01,8,1131230,SEAL,"READ_CRITICAL","read_debt=3.326479;maint_debt=0.000000;tombstones=580",0,0,0,0.0000,0.0000,0,0,0,REQUESTED
rtp_mc_v2a_rep01,8,1131230,SEAL,"READ_CRITICAL","read_debt=3.326479;maint_debt=0.000000;tombstones=580",1132094,0,0,0.0000,0.0000,0,0,0,FLUSHING
rtp_mc_v2a_rep01,8,1131230,SEAL,"READ_CRITICAL","read_debt=3.326479;maint_debt=0.000000;tombstones=580",1132094,1163589,0,0.0000,0.0000,1545483,0,0,DONE
rtp_mc_v2a_rep01,9,1191566,SEAL,"READ_CRITICAL","read_debt=2.773439;maint_debt=0.000000;tombstones=505",0,0,0,0.0000,0.0000,0,0,0,REQUESTED
rtp_mc_v2a_rep01,9,1191566,SEAL,"READ_CRITICAL","read_debt=2.773439;maint_debt=0.000000;tombstones=505",1689906,0,0,0.0000,0.0000,0,0,0,FLUSHING
rtp_mc_v2a_rep01,9,1191566,SEAL,"READ_CRITICAL","read_debt=2.773439;maint_debt=0.000000;tombstones=505",1689906,1753924,0,0.0000,0.0000,4326559,0,0,DONE
rtp_mc_v2a_rep01,10,1756799,SEAL,"READ_CRITICAL","read_debt=11.350173;maint_debt=0.000000;tombstones=188",0,0,0,0.0000,0.0000,0,0,0,REQUESTED
rtp_mc_v2a_rep01,10,1756799,SEAL,"READ_CRITICAL","read_debt=11.350173;maint_debt=0.000000;tombstones=188",1757355,0,0,0.0000,0.0000,0,0,0,FLUSHING
rtp_mc_v2a_rep01,10,1756799,SEAL,"READ_CRITICAL","read_debt=11.350173;maint_debt=0.000000;tombstones=188",1757355,1765997,0,0.0000,0.0000,311414,0,0,DONE
rtp_mc_v2a_rep01,11,1823602,SEAL,"READ_CRITICAL","read_debt=13.566072;maint_debt=0.000000;tombstones=255",0,0,0,0.0000,0.0000,0,0,0,REQUESTED
rtp_mc_v2a_rep01,11,1823602,SEAL,"READ_CRITICAL","read_debt=13.566072;maint_debt=0.000000;tombstones=255",1824298,0,0,0.0000,0.0000,0,0,0,FLUSHING
rtp_mc_v2a_rep01,11,1823602,SEAL,"READ_CRITICAL","read_debt=13.566072;maint_debt=0.000000;tombstones=255",1824298,1837973,0,0.0000,0.0000,433762,0,0,DONE
rtp_mc_v2a_rep01,12,1883685,SEAL,"READ_CRITICAL","read_debt=15.805891;maint_debt=0.000000;tombstones=286",0,0,0,0.0000,0.0000,0,0,0,REQUESTED
rtp_mc_v2a_rep01,12,1883685,SEAL,"READ_CRITICAL","read_debt=15.805891;maint_debt=0.000000;tombstones=286",1884401,0,0,0.0000,0.0000,0,0,0,FLUSHING
rtp_mc_v2a_rep01,12,1883685,SEAL,"READ_CRITICAL","read_debt=15.805891;maint_debt=0.000000;tombstones=286",1884401,1900111,0,0.0000,0.0000,466235,0,0,DONE
rtp_mc_v2a_rep01,13,1944294,SEAL,"READ_CRITICAL","read_debt=17.829531;maint_debt=0.000000;tombstones=317",0,0,0,0.0000,0.0000,0,0,0,REQUESTED
