exp_id,timestamp_us,phase,active_memtable_generation,active_range_tombstones,active_memtable_bytes,range_del_rate,estimated_capacity_flush_ms,first_tombstone_seen_time_us,getlive_samples,getlive_p99_us,getdel_samples,getdel_p99_us,scan_samples,scan_p99_us,put_samples,put_p99_us,l0_files,immutable_memtables,pending_compaction_bytes,read_debt,reclaim_debt,maintenance_debt,decision,decision_reason,conflict_state
native_t512_rep01,50246,0,0,0,2048,0.00,1646410.68,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.0000,0.0000,0.0000,HOLD,INSUFFICIENT_SAMPLES,NORMAL
native_t512_rep01,102736,0,0,23,1050632,438.18,10970.25,102736,766,55.56,0,0.00,320,265.11,238,248.77,0,0,0,0.0000,66.8179,0.6584,HOLD,LOW_READ_DEBT,NORMAL
native_t512_rep01,155915,0,0,233,2099216,3948.93,6417.21,102736,11345,57.34,0,0.00,3892,128.67,3477,41.38,0,0,0,0.0000,630.3625,0.0000,HOLD,LOW_READ_DEBT,NORMAL
native_t512_rep01,210921,0,0,463,3147800,4181.36,4992.95,102736,22521,97.66,0,0.00,7614,145.78,6965,41.74,0,0,0,0.0000,891.1370,0.0000,HOLD,LOW_READ_DEBT,NORMAL
native_t512_rep01,268680,0,1,218,2099216,0.00,5074.80,268680,35808,102.14,0,0.00,12015,148.18,11152,43.05,0,0,139517573,0.0000,218.0000,0.3597,HOLD,LOW_READ_DEBT,NORMAL
native_t512_rep01,326953,0,1,451,3147800,3998.42,4452.41,268680,47723,101.16,0,0.00,16013,148.27,14902,43.57,0,0,139517573,0.0000,856.0737,0.3597,HOLD,LOW_READ_DEBT,NORMAL
native_t512_rep01,386005,0,2,157,2099216,0.00,4525.40,386005,59028,100.79,0,0.00,19659,149.17,18500,44.91,0,0,141776450,0.0000,157.0000,0.3709,HOLD,LOW_READ_DEBT,NORMAL
native_t512_rep01,442733,1,3,80,1050632,0.00,4598.39,442733,61158,104.52,0,0.00,20588,159.84,22349,55.73,0,1,141776450,0.0000,80.0000,0.3709,HOLD,LOW_READ_DEBT,NORMAL
native_t512_rep01,499967,1,4,336,2099216,4472.87,4525.40,499967,63716,106.70,0,0.00,21822,172.63,30292,66.75,0,0,145059490,0.0000,783.2866,0.3872,HOLD,LOW_READ_DEBT,NORMAL
native_t512_rep01,561683,1,5,452,3147800,1879.58,4452.41,561683,66027,109.91,0,0.00,22997,187.34,38045,70.24,0,0,146524990,0.0000,639.9577,0.3945,HOLD,LOW_READ_DEBT,NORMAL
native_t512_rep01,621799,1,6,458,2099216,99.81,4525.40,621799,66764,111.32,0,0.00,23480,197.60,42794,76.18,0,0,147746686,0.0000,467.9807,0.4005,HOLD,LOW_READ_DEBT,NORMAL
native_t512_rep01,682115,1,8,182,2099216,0.00,4525.40,682115,58538,117.13,0,0.00,21125,210.07,47129,76.55,0,1,149226859,0.0000,182.0000,0.4079,HOLD,LOW_READ_DEBT,NORMAL
native_t512_rep01,742516,1,9,91,2099216,0.00,4525.40,742516,49005,121.40,0,0.00,18270,217.85,48985,86.94,0,1,150698697,0.0000,91.0000,0.4152,HOLD,LOW_READ_DEBT,NORMAL
native_t512_rep01,802912,1,9,506,3147800,6871.32,4190.21,742516,36929,134.08,0,0.00,14445,266.40,48752,136.13,0,0,12733227,0.0000,1199.2036,0.0000,HOLD,LOW_READ_DEBT,NORMAL
native_t512_rep01,863350,1,11,83,2099216,0.00,4258.91,863350,26890,151.63,0,0.00,11383,298.72,50989,125.06,0,1,0,0.0000,83.0000,0.0000,HOLD,LOW_READ_DEBT,NORMAL
native_t512_rep01,923712,1,12,261,2099216,2948.88,4258.91,923712,17853,159.74,0,0.00,8848,308.28,54511,107.54,0,0,16857493,0.0000,555.8875,0.0000,HOLD,LOW_READ_DEBT,NORMAL
native_t512_rep01,984028,1,13,431,2099216,2818.49,4258.91,984028,18148,158.87,0,0.00,9076,306.79,58281,100.79,0,0,18347079,0.0000,712.8489,0.0000,HOLD,LOW_READ_DEBT,NORMAL
native_t512_rep01,1044279,2,14,178,2099216,0.00,4258.91,1044279,18319,157.91,0,0.00,8859,308.28,53119,107.28,0,0,19931719,0.0000,178.0000,0.0000,HOLD,LOW_READ_DEBT,NORMAL
native_t512_rep01,1104437,2,14,445,2099216,4438.31,6084.15,1044279,22129,148.72,0,0.00,9727,302.54,47069,113.78,0,0,19931719,0.0000,894.1712,0.0000,HOLD,LOW_READ_DEBT,NORMAL
native_t512_rep01,1164782,2,15,286,1050632,0.00,6182.29,1164782,27748,143.84,0,0.00,11210,299.63,44169,90.27,0,0,20875982,0.0000,286.0000,0.0000,HOLD,LOW_READ_DEBT,NORMAL
native_t512_rep01,1224914,2,16,127,2099216,0.00,6084.15,1224914,32461,138.88,0,0.00,12343,296.73,38733,95.62,0,0,21478206,0.0000,127.0000,0.0000,HOLD,LOW_READ_DEBT,NORMAL
native_t512_rep01,1285062,2,16,471,2099216,5719.23,8691.65,1224914,38974,134.81,0,0.00,14152,290.68,35694,82.22,0,0,21478206,0.0000,1048.5746,0.0000,HOLD,LOW_READ_DEBT,NORMAL
