exp_id,stage,event_type,job_id,timestamp_sec,reason,size_or_out_bytes,extra_info
native_t512_rep01,PRELOAD,FLUSH,2,0.3758,"Write Buffer Full",59993904,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_native_t512_rep01/000009.sst"
native_t512_rep01,PRELOAD,FLUSH,3,0.6188,"Write Buffer Full",59993000,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_native_t512_rep01/000011.sst"
native_t512_rep01,PRELOAD,FLUSH,4,0.6188,"Manual Flush",15632215,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_native_t512_rep01/000013.sst"
native_t512_rep01,FOREGROUND,FLUSH,5,0.2497,"Memtable Max Range Deletions",2151212,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_native_t512_rep01/000015.sst"
native_t512_rep01,FOREGROUND,FLUSH,7,0.3646,"Memtable Max Range Deletions",2202145,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_native_t512_rep01/000018.sst"
native_t512_rep01,FOREGROUND,FLUSH,8,0.4713,"Memtable Max Range Deletions",1628852,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_native_t512_rep01/000020.sst"
native_t512_rep01,FOREGROUND,FLUSH,9,0.5081,"Memtable Max Range Deletions",1555887,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_native_t512_rep01/000022.sst"
native_t512_rep01,FOREGROUND,FLUSH,10,0.5566,"Memtable Max Range Deletions",1418492,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_native_t512_rep01/000024.sst"
native_t512_rep01,FOREGROUND,FLUSH,12,0.6179,"Memtable Max Range Deletions",1551222,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_native_t512_rep01/000028.sst"
native_t512_rep01,FOREGROUND,FLUSH,13,0.6515,"Memtable Max Range Deletions",1433018,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_native_t512_rep01/000030.sst"
native_t512_rep01,FOREGROUND,FLUSH,14,0.7082,"Memtable Max Range Deletions",1424822,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_native_t512_rep01/000032.sst"
native_t512_rep01,FOREGROUND,FLUSH,17,0.7731,"Memtable Max Range Deletions",1504080,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_native_t512_rep01/000034.sst"
native_t512_rep01,FOREGROUND,FLUSH,19,0.8295,"Memtable Max Range Deletions",1404908,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_native_t512_rep01/000037.sst"
native_t512_rep01,FOREGROUND,FLUSH,20,0.8914,"Memtable Max Range Deletions",1429473,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_native_t512_rep01/000039.sst"
native_t512_rep01,FOREGROUND,FLUSH,22,0.9284,"Memtable Max Range Deletions",1438725,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_native_t512_rep01/000042.sst"
native_t512_rep01,FOREGROUND,FLUSH,23,0.9842,"Memtable Max Range Deletions",1442261,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_native_t512_rep01/000044.sst"
native_t512_rep01,FOREGROUND,FLUSH,24,1.0208,"Memtable Max Range Deletions",1536217,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_native_t512_rep01/000046.sst"
native_t512_rep01,FOREGROUND,FLUSH,25,1.1562,"Memtable Max Range Deletions",903631,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_native_t512_rep01/000048.sst"
native_t512_rep01,FOREGROUND,FLUSH,27,1.2311,"Memtable Max Range Deletions",839647,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_native_t512_rep01/000052.sst"
native_t512_rep01,FOREGROUND,FLUSH,28,1.3282,"Memtable Max Range Deletions",889785,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_native_t512_rep01/000054.sst"
native_t512_rep01,FOREGROUND,FLUSH,29,1.4110,"Memtable Max Range Deletions",784009,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_native_t512_rep01/000056.sst"
native_t512_rep01,FOREGROUND,FLUSH,31,1.5109,"Memtable Max Range Deletions",904531,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_native_t512_rep01/000059.sst"
native_t512_rep01,FOREGROUND,COMPACTION,11,0.5964,"kLevelL0FilesNum",6629235,"in_level=0;out_level=0;in_bytes=7007417"
native_t512_rep01,FOREGROUND,COMPACTION,6,0.7763,"kLevelL0FilesNum",134521390,"in_level=0;out_level=6;in_bytes=139517573"
native_t512_rep01,FOREGROUND,COMPACTION,18,0.8243,"kLevelL0FilesNum",5813959,"in_level=0;out_level=0;in_bytes=6103992"
native_t512_rep01,FOREGROUND,COMPACTION,26,1.2081,"kLevelL0FilesNum",5227148,"in_level=0;out_level=0;in_bytes=5504431"
native_t512_rep01,FOREGROUND,COMPACTION,21,1.3800,"kLevelL0FilesNum",108205338,"in_level=0;out_level=6;in_bytes=149892941"
native_t512_rep01,COOLDOWN,COMPACTION,30,1.8006,"kLevelL0FilesNum",90667440,"in_level=0;out_level=6;in_bytes=116065442"
