exp_id,group_name,threshold,phase,elapsed_sec,completed_ops,true_phase_iops,scan_us_per_key,scan_p99_us,scan_intersect_p99_us,scan_non_intersect_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count
native_t512_rep01,RTC-T512,512,"Phase A (Read Sensitive)",0.3141,100000,318377.6474,0.5956,148.5396,0.0000,148.5396,100.4859,0.0000,44.7768,29
native_t512_rep01,RTC-T512,512,"Phase B (Write Burst)",0.6032,100000,165784.9788,1.4172,303.4627,0.0000,303.4627,156.7701,0.0000,95.7310,32
native_t512_rep01,RTC-T512,512,"Phase B-Inject (20% Window)",0.1206,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
native_t512_rep01,RTC-T512,512,"Phase B-PostBurst (80% Window)",0.4826,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
native_t512_rep01,RTC-T512,512,"Phase C (Read Recovery)",0.5382,100000,185814.7738,1.1476,234.7071,0.0000,234.7071,108.3270,0.0000,57.0579,38
rtp_mc_v2a_rep01,RTP-MC-V2A,0,"Phase A (Read Sensitive)",0.4005,100000,249698.9336,0.6928,247.4122,0.0000,247.4122,199.4054,0.0000,47.6316,29
rtp_mc_v2a_rep01,RTP-MC-V2A,0,"Phase B (Write Burst)",0.8836,100000,113171.9969,2.0570,557.5910,0.0000,557.5910,430.2137,0.0000,113.5699,32
rtp_mc_v2a_rep01,RTP-MC-V2A,0,"Phase B-Inject (20% Window)",0.1767,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtp_mc_v2a_rep01,RTP-MC-V2A,0,"Phase B-PostBurst (80% Window)",0.7069,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtp_mc_v2a_rep01,RTP-MC-V2A,0,"Phase C (Read Recovery)",0.9531,100000,104925.6439,1.7727,1095.8140,0.0000,1095.8140,822.7410,0.0000,106.8925,38
rtp_mc_v2a_rep02,RTP-MC-V2A,0,"Phase A (Read Sensitive)",0.4039,100000,247599.7587,0.7230,261.7548,0.0000,261.7548,202.4491,0.0000,49.4850,29
rtp_mc_v2a_rep02,RTP-MC-V2A,0,"Phase B (Write Burst)",1.0156,100000,98466.9081,2.5516,1042.6964,0.0000,1042.6964,791.4456,0.0000,102.0816,32
rtp_mc_v2a_rep02,RTP-MC-V2A,0,"Phase B-Inject (20% Window)",0.2031,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtp_mc_v2a_rep02,RTP-MC-V2A,0,"Phase B-PostBurst (80% Window)",0.8125,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
rtp_mc_v2a_rep02,RTP-MC-V2A,0,"Phase C (Read Recovery)",0.8419,100000,118776.5043,1.6502,1008.5193,0.0000,1008.5193,668.7490,0.0000,98.1391,38
native_t512_rep02,RTC-T512,512,"Phase A (Read Sensitive)",0.3715,100000,269203.6983,0.6957,172.3121,0.0000,172.3121,115.5132,0.0000,47.3725,29
native_t512_rep02,RTC-T512,512,"Phase B (Write Burst)",0.6555,100000,152548.3048,1.5487,312.2293,0.0000,312.2293,183.2981,0.0000,96.8395,32
native_t512_rep02,RTC-T512,512,"Phase B-Inject (20% Window)",0.1311,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
native_t512_rep02,RTC-T512,512,"Phase B-PostBurst (80% Window)",0.5244,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
native_t512_rep02,RTC-T512,512,"Phase C (Read Recovery)",0.6352,100000,157420.0679,1.3411,349.2673,0.0000,349.2673,130.9499,0.0000,66.7534,38
native_t512_rep03,RTC-T512,512,"Phase A (Read Sensitive)",0.3544,100000,282191.7793,0.7033,180.3236,0.0000,180.3236,120.4452,0.0000,47.9210,29
native_t512_rep03,RTC-T512,512,"Phase B (Write Burst)",0.6427,100000,155590.3928,1.4206,327.3407,0.0000,327.3407,171.5828,0.0000,102.7643,32
native_t512_rep03,RTC-T512,512,"Phase B-Inject (20% Window)",0.1285,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
native_t512_rep03,RTC-T512,512,"Phase B-PostBurst (80% Window)",0.5142,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
native_t512_rep03,RTC-T512,512,"Phase C (Read Recovery)",0.5988,100000,166990.9405,1.2783,320.0834,0.0000,320.0834,131.1882,0.0000,68.1843,38
rtp_mc_v2a_rep03,RTP-MC-V2A,0,"Phase A (Read Sensitive)",0.4473,100000,223552.3208,0.8059,294.5849,0.0000,294.5849,230.6188,0.0000,55.5568,29
rtp_mc_v2a_rep03,RTP-MC-V2A,0,"Phase B (Write Burst)",0.8355,100000,119682.8838,2.1350,938.9265,0.0000,938.9265,780.0191,0.0000,86.7277,32
rtp_mc_v2a_rep03,RTP-MC-V2A,0,"Phase B-Inject (20% Window)",0.1671,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
