exp_id,group_name,desc,threshold,range_tombstone_controller_enabled,range_tombstone_controller_observe_only,range_tombstone_controller_min_range_deletions,range_tombstone_controller_min_memtable_bytes,range_tombstone_controller_cooldown_micros,rtp_mc_mode,rtp_mc_windows,rtp_mc_seals,rtp_mc_conflicts,total_keys,value_size,foreground_wallclock_sec,sum_phase_active_sec,oracle_flush_wait_sec,fg_trace_iops,fg_db_api_iops,scan_us_per_key,scan_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count,fg_flush_count,controller_fg_flush_count,fg_flush_engine_out_mb,fg_comp_read_mb,fg_comp_write_mb,fwa_val_norm_fg,cwa_val_norm_fg,pwa_val_norm_fg,total_exp_flush_count,controller_total_flush_count,total_exp_flush_engine_out_mb,total_exp_comp_write_mb,fwa_val_norm_total,cwa_val_norm_total,pwa_val_norm_total,sst_mb,db_live_keys,model_live_keys,sha256_hex,verification_status
native_t512_rep01,RTC-T512,"RTP-MC V2 shadow comparison against native T512",512,0,1,512,8388608,1000000,shadow,26,0,0,500000,256,1.5733,1.4555,0.0000,190682.4033,190682.4033,0.9806,251.9508,121.3242,0.0000,80.5964,99,19,0,25.2179,293.7568,248.3340,1.0329,10.1718,11.2047,19,0,25.2179,334.8012,1.0329,13.7135,14.7464,87.3686,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
rtp_mc_v2a_rep01,RTP-MC-V2A,"RTP-MC V2-A active maintenance coordinator",0,0,1,512,8388608,1000000,active_v2a,25,16,0,500000,256,2.3616,2.2371,0.0000,127034.9561,127034.9561,1.3975,601.1009,405.1647,0.0000,106.8925,99,15,15,24.9317,388.4668,329.9386,1.0212,13.5143,14.5355,16,16,25.2171,415.7921,1.0329,17.0308,18.0637,86.9576,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
rtp_mc_v2a_rep02,RTP-MC-V2A,"RTP-MC V2-A active maintenance coordinator",0,0,1,512,8388608,1000000,active_v2a,24,16,1,500000,256,2.3749,2.2614,0.0000,126318.5088,126318.5088,1.4594,698.5710,459.0311,0.0000,97.0157,99,16,16,25.1107,387.9556,330.5899,1.0285,13.5410,14.5695,16,16,25.1107,417.5384,1.0285,17.1024,18.1309,88.3248,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
native_t512_rep02,RTC-T512,"RTP-MC V2 shadow comparison against native T512",512,0,1,512,8388608,1000000,shadow,30,0,0,500000,256,1.7733,1.6622,0.0000,169179.1366,169179.1366,1.1244,302.9115,137.4542,0.0000,85.5274,99,19,0,25.1944,289.0863,254.9120,1.0320,10.4412,11.4732,19,0,25.1944,341.3745,1.0320,13.9827,15.0147,87.3107,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
native_t512_rep03,RTC-T512,"RTP-MC V2 shadow comparison against native T512",512,0,1,512,8388608,1000000,shadow,28,0,0,500000,256,1.7164,1.5959,0.0000,174782.5232,174782.5232,1.0767,295.1209,135.3876,0.0000,82.5738,99,19,0,25.1973,293.7174,248.2667,1.0321,10.1690,11.2011,19,0,25.1973,334.7339,1.0321,13.7107,14.7428,87.3081,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
rtp_mc_v2a_rep03,RTP-MC-V2A,"RTP-MC V2-A active maintenance coordinator",0,0,1,512,8388608,1000000,active_v2a,24,15,1,500000,256,2.3185,2.1989,0.0000,129394.5712,129394.5712,1.4176,727.5153,459.8663,0.0000,83.6312,99,14,14,24.9879,386.6799,327.2383,1.0235,13.4037,14.4272,15,15,25.1779,411.5349,1.0313,16.8565,17.8878,84.7886,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
rtp_mc_v2a_rep04,RTP-MC-V2A,"RTP-MC V2-A active maintenance coordinator",0,0,1,512,8388608,1000000,active_v2a,24,17,0,500000,256,2.7614,2.5961,0.0000,108641.3128,108641.3128,1.6729,830.2531,552.2113,0.0000,120.0081,99,16,16,23.5848,493.8087,430.6031,0.9660,17.6375,18.6035,17,17,25.2408,513.4220,1.0339,21.0298,22.0636,82.8188,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
native_t512_rep04,RTC-T512,"RTP-MC V2 shadow comparison against native T512",512,0,1,512,8388608,1000000,shadow,30,0,0,500000,256,1.8184,1.6958,0.0000,164984.7327,164984.7327,1.1143,290.6839,141.3394,0.0000,100.3034,99,19,0,25.1911,404.1066,344.2702,1.0318,14.1013,15.1331,19,0,25.1911,428.3558,1.0318,17.5455,18.5773,84.0856,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
native_t512_rep05,RTC-T512,"RTP-MC V2 shadow comparison against native T512",512,0,1,512,8388608,1000000,shadow,31,0,0,500000,256,1.8599,1.7454,0.0000,161296.7190,161296.7190,1.1174,293.8718,140.2304,0.0000,104.3328,99,19,0,25.1863,407.3639,347.3618,1.0316,14.2279,15.2596,19,0,25.1863,347.3618,1.0316,14.2279,15.2596,96.9765,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
rtp_mc_v2a_rep05,RTP-MC-V2A,"RTP-MC V2-A active maintenance coordinator",0,0,1,512,8388608,1000000,active_v2a,26,17,2,500000,256,2.9439,2.6694,0.0000,101906.9804,101906.9804,1.6815,1102.4742,711.3859,0.0000,127.4275,99,16,16,24.0860,491.3821,426.5278,0.9866,17.4706,18.4571,17,17,25.1602,509.3466,1.0306,20.8628,21.8934,82.8188,316193,316193,366c5e5b3e5c4e5558be1175b16f5e76b8c71be13bb8e607fae36492d09f1c34,PASS
