exp_id,stage,event_type,job_id,timestamp_sec,reason,size_or_out_bytes,extra_info
formal_clean_rep01,PRELOAD,FLUSH,2,0.4309,"Write Buffer Full",59992994,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_clean_rep01/000009.sst"
formal_clean_rep01,PRELOAD,FLUSH,3,0.8109,"Write Buffer Full",59992999,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_clean_rep01/000011.sst"
formal_clean_rep01,PRELOAD,FLUSH,4,0.8109,"Manual Flush",15631726,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_clean_rep01/000013.sst"
formal_t0_rep01,PRELOAD,FLUSH,2,0.3780,"Write Buffer Full",59992993,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t0_rep01/000009.sst"
formal_t0_rep01,PRELOAD,FLUSH,3,0.6521,"Write Buffer Full",59993001,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t0_rep01/000011.sst"
formal_t0_rep01,PRELOAD,FLUSH,4,0.6521,"Manual Flush",15632409,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t0_rep01/000013.sst"
formal_t64_rep01,PRELOAD,FLUSH,2,0.4219,"Write Buffer Full",59991933,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000009.sst"
formal_t64_rep01,PRELOAD,FLUSH,3,0.6747,"Write Buffer Full",59993911,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000011.sst"
formal_t64_rep01,PRELOAD,FLUSH,4,0.6747,"Manual Flush",15632064,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000013.sst"
formal_t64_rep01,FOREGROUND,FLUSH,5,0.0588,"Memtable Max Range Deletions",244823,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000015.sst"
formal_t64_rep01,FOREGROUND,FLUSH,7,0.0804,"Memtable Max Range Deletions",342033,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000018.sst"
formal_t64_rep01,FOREGROUND,FLUSH,8,0.1016,"Memtable Max Range Deletions",269395,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000020.sst"
formal_t64_rep01,FOREGROUND,FLUSH,9,0.1148,"Memtable Max Range Deletions",248395,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000022.sst"
formal_t64_rep01,FOREGROUND,FLUSH,10,0.1333,"Memtable Max Range Deletions",274877,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000024.sst"
formal_t64_rep01,FOREGROUND,FLUSH,12,0.1507,"Memtable Max Range Deletions",272145,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000027.sst"
formal_t64_rep01,FOREGROUND,FLUSH,13,0.1645,"Memtable Max Range Deletions",254673,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000029.sst"
formal_t64_rep01,FOREGROUND,FLUSH,14,0.1814,"Memtable Max Range Deletions",290150,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000031.sst"
formal_t64_rep01,FOREGROUND,FLUSH,17,0.2002,"Memtable Max Range Deletions",310076,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000033.sst"
formal_t64_rep01,FOREGROUND,FLUSH,19,0.2208,"Memtable Max Range Deletions",246193,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000036.sst"
formal_t64_rep01,FOREGROUND,FLUSH,20,0.2355,"Memtable Max Range Deletions",260697,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000038.sst"
formal_t64_rep01,FOREGROUND,FLUSH,22,0.2582,"Memtable Max Range Deletions",332221,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000040.sst"
formal_t64_rep01,FOREGROUND,FLUSH,26,0.2900,"Memtable Max Range Deletions",304102,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000042.sst"
formal_t64_rep01,FOREGROUND,FLUSH,28,0.4520,"Memtable Max Range Deletions",274051,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000045.sst"
formal_t64_rep01,FOREGROUND,FLUSH,29,0.4520,"Memtable Max Range Deletions",231711,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000047.sst"
formal_t64_rep01,FOREGROUND,FLUSH,30,0.5136,"Memtable Max Range Deletions",259860,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000050.sst"
formal_t64_rep01,FOREGROUND,FLUSH,32,0.6292,"Memtable Max Range Deletions",271366,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000052.sst"
formal_t64_rep01,FOREGROUND,FLUSH,34,0.6991,"Memtable Max Range Deletions",285752,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000054.sst"
formal_t64_rep01,FOREGROUND,FLUSH,38,0.7337,"Memtable Max Range Deletions",198212,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000057.sst"
formal_t64_rep01,FOREGROUND,FLUSH,43,0.8575,"Memtable Max Range Deletions",211220,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000061.sst"
formal_t64_rep01,FOREGROUND,FLUSH,44,0.9172,"Memtable Max Range Deletions",167518,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000063.sst"
formal_t64_rep01,FOREGROUND,FLUSH,45,0.9774,"Memtable Max Range Deletions",199502,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000065.sst"
formal_t64_rep01,FOREGROUND,FLUSH,46,1.0392,"Memtable Max Range Deletions",159031,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000067.sst"
formal_t64_rep01,FOREGROUND,FLUSH,48,1.1206,"Memtable Max Range Deletions",224357,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000070.sst"
formal_t64_rep01,FOREGROUND,FLUSH,49,1.1626,"Memtable Max Range Deletions",159595,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000073.sst"
formal_t64_rep01,FOREGROUND,FLUSH,50,1.2211,"Memtable Max Range Deletions",423142,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000075.sst"
formal_t64_rep01,FOREGROUND,FLUSH,51,1.2855,"Memtable Max Range Deletions",204677,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000077.sst"
formal_t64_rep01,FOREGROUND,FLUSH,53,1.3454,"Memtable Max Range Deletions",180937,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000080.sst"
formal_t64_rep01,FOREGROUND,FLUSH,54,1.8178,"Memtable Max Range Deletions",196775,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000082.sst"
formal_t64_rep01,FOREGROUND,FLUSH,55,1.8178,"Memtable Max Range Deletions",225692,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000084.sst"
formal_t64_rep01,FOREGROUND,FLUSH,56,1.8661,"Memtable Max Range Deletions",395558,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000088.sst"
formal_t64_rep01,FOREGROUND,FLUSH,58,1.8855,"Memtable Max Range Deletions",172704,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000091.sst"
formal_t64_rep01,FOREGROUND,FLUSH,61,1.9262,"Memtable Max Range Deletions",166432,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000093.sst"
formal_t64_rep01,FOREGROUND,FLUSH,64,2.5739,"Memtable Max Range Deletions",199507,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000095.sst"
formal_t64_rep01,FOREGROUND,FLUSH,65,2.5984,"Memtable Max Range Deletions",135553,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000097.sst"
formal_t64_rep01,FOREGROUND,FLUSH,69,2.6221,"Memtable Max Range Deletions",180091,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000099.sst"
formal_t64_rep01,FOREGROUND,FLUSH,71,2.6923,"Memtable Max Range Deletions",181455,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000102.sst"
formal_t64_rep01,FOREGROUND,FLUSH,74,2.7527,"Memtable Max Range Deletions",179522,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000105.sst"
formal_t64_rep01,FOREGROUND,FLUSH,75,2.8119,"Memtable Max Range Deletions",221600,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000107.sst"
formal_t64_rep01,FOREGROUND,FLUSH,76,2.8680,"Memtable Max Range Deletions",168625,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000109.sst"
formal_t64_rep01,FOREGROUND,FLUSH,77,2.9032,"Memtable Max Range Deletions",147283,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000111.sst"
formal_t64_rep01,FOREGROUND,FLUSH,79,3.4833,"Memtable Max Range Deletions",246483,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000114.sst"
formal_t64_rep01,FOREGROUND,FLUSH,80,3.5229,"Memtable Max Range Deletions",183352,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000116.sst"
formal_t64_rep01,FOREGROUND,FLUSH,81,3.5623,"Memtable Max Range Deletions",221859,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000118.sst"
formal_t64_rep01,FOREGROUND,FLUSH,83,3.5998,"Memtable Max Range Deletions",191557,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000121.sst"
formal_t64_rep01,FOREGROUND,FLUSH,85,4.1469,"Memtable Max Range Deletions",200314,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000124.sst"
formal_t64_rep01,FOREGROUND,FLUSH,86,4.1587,"Memtable Max Range Deletions",170788,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000126.sst"
formal_t64_rep01,FOREGROUND,FLUSH,88,4.1686,"Memtable Max Range Deletions",165347,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000129.sst"
formal_t64_rep01,FOREGROUND,FLUSH,89,4.1796,"Memtable Max Range Deletions",171609,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000131.sst"
formal_t64_rep01,FOREGROUND,FLUSH,90,4.2036,"Memtable Max Range Deletions",184473,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000133.sst"
formal_t64_rep01,FOREGROUND,FLUSH,91,4.2036,"Memtable Max Range Deletions",179529,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000135.sst"
formal_t64_rep01,FOREGROUND,FLUSH,92,4.2155,"Memtable Max Range Deletions",174869,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000137.sst"
formal_t64_rep01,FOREGROUND,FLUSH,94,4.2285,"Memtable Max Range Deletions",191273,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000140.sst"
formal_t64_rep01,FOREGROUND,FLUSH,96,4.2368,"Memtable Max Range Deletions",165625,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000143.sst"
formal_t64_rep01,FOREGROUND,FLUSH,97,4.2468,"Memtable Max Range Deletions",184465,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000145.sst"
formal_t64_rep01,FOREGROUND,FLUSH,98,4.2568,"Memtable Max Range Deletions",228710,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000147.sst"
formal_t64_rep01,FOREGROUND,FLUSH,99,4.2658,"Memtable Max Range Deletions",205210,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000149.sst"
formal_t64_rep01,FOREGROUND,FLUSH,101,4.2750,"Memtable Max Range Deletions",186924,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000151.sst"
formal_t64_rep01,FOREGROUND,FLUSH,102,4.3099,"Memtable Max Range Deletions",160155,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000154.sst"
formal_t64_rep01,FOREGROUND,FLUSH,103,4.3220,"Memtable Max Range Deletions",243454,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000156.sst"
formal_t64_rep01,FOREGROUND,FLUSH,104,4.3285,"Memtable Max Range Deletions",169684,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000158.sst"
formal_t64_rep01,FOREGROUND,FLUSH,107,4.3658,"Memtable Max Range Deletions",175702,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000161.sst"
formal_t64_rep01,FOREGROUND,FLUSH,108,4.3740,"Memtable Max Range Deletions",194842,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000163.sst"
formal_t64_rep01,FOREGROUND,FLUSH,111,5.0359,"Memtable Max Range Deletions",183887,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000165.sst"
formal_t64_rep01,FOREGROUND,FLUSH,114,5.6696,"Memtable Max Range Deletions",183099,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000169.sst"
formal_t64_rep01,FOREGROUND,FLUSH,115,5.7269,"Memtable Max Range Deletions",164217,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000171.sst"
formal_t64_rep01,FOREGROUND,FLUSH,116,5.7852,"Memtable Max Range Deletions",155199,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000173.sst"
formal_t64_rep01,FOREGROUND,FLUSH,117,5.8417,"Memtable Max Range Deletions",206592,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000175.sst"
formal_t64_rep01,FOREGROUND,FLUSH,118,5.8834,"Memtable Max Range Deletions",179241,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000177.sst"
formal_t64_rep01,FOREGROUND,FLUSH,120,6.3549,"Memtable Max Range Deletions",176247,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000180.sst"
formal_t64_rep01,FOREGROUND,FLUSH,121,6.3549,"Memtable Max Range Deletions",210676,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000182.sst"
formal_t64_rep01,FOREGROUND,FLUSH,122,6.3604,"Memtable Max Range Deletions",212870,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000185.sst"
formal_t64_rep01,FOREGROUND,FLUSH,125,6.3914,"Memtable Max Range Deletions",172418,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000188.sst"
formal_t64_rep01,FOREGROUND,FLUSH,126,6.8211,"Memtable Max Range Deletions",150313,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000190.sst"
formal_t64_rep01,FOREGROUND,FLUSH,128,6.8336,"Memtable Max Range Deletions",175702,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000193.sst"
formal_t64_rep01,FOREGROUND,FLUSH,129,6.8442,"Memtable Max Range Deletions",169976,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000195.sst"
formal_t64_rep01,FOREGROUND,FLUSH,130,6.8629,"Memtable Max Range Deletions",195359,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000197.sst"
formal_t64_rep01,FOREGROUND,FLUSH,132,6.8740,"Memtable Max Range Deletions",187184,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000200.sst"
formal_t64_rep01,FOREGROUND,FLUSH,133,6.8810,"Memtable Max Range Deletions",160393,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000202.sst"
formal_t64_rep01,FOREGROUND,FLUSH,134,6.8900,"Memtable Max Range Deletions",189642,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000204.sst"
formal_t64_rep01,FOREGROUND,FLUSH,135,6.9034,"Memtable Max Range Deletions",209029,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000206.sst"
formal_t64_rep01,FOREGROUND,FLUSH,137,6.9354,"Memtable Max Range Deletions",218605,"/home/wam/grad/s14-range-delete-study/run-db/formal_v2/db_formal_t64_rep01/000209.sst"
