exp_id,group_name,threshold,phase,elapsed_sec,completed_ops,true_phase_iops,scan_us_per_key,scan_p99_us,get_live_p99_us,get_del_p99_us,put_p99_us,scan_limit_truncated_count
formal_clean_rep01,CLEAN,0,"Phase A (Read Sensitive)",0.1933,100000,517411.7005,0.4710,90.8151,13.1826,0.0000,20.3063,28
formal_clean_rep01,CLEAN,0,"Phase B (Write Burst)",0.2054,100000,486874.0864,0.4820,72.7075,13.6541,0.0000,29.3516,26
formal_clean_rep01,CLEAN,0,"Phase C (Read Recovery)",0.1886,100000,530212.8680,0.4685,65.5509,11.0247,0.0000,25.2562,27
formal_t0_rep01,T0,0,"Phase A (Read Sensitive)",0.4848,100000,206251.7632,0.7567,323.5937,266.2338,343.5996,52.6081,29
formal_t0_rep01,T0,0,"Phase B (Write Burst)",6.8003,100000,14705.2958,16.5160,4671.6864,4423.7388,4447.9295,193.4545,32
formal_t0_rep01,T0,0,"Phase C (Read Recovery)",11.4707,100000,8717.8704,11.7646,6515.4943,6263.8609,6252.4846,173.1494,38
formal_t64_rep01,T64,64,"Phase A (Read Sensitive)",0.5444,100000,183681.1269,0.7813,170.1334,33.8229,24.1195,1069.5732,29
formal_t64_rep01,T64,64,"Phase B (Write Burst)",9.3148,100000,10735.6349,3.1570,621.4713,154.2261,105.2217,19569.4648,32
formal_t64_rep01,T64,64,"Phase C (Read Recovery)",3.1550,100000,31695.7782,1.9085,366.8375,97.8422,71.4410,17388.5416,38
formal_t256_rep01,T256,256,"Phase A (Read Sensitive)",0.3354,100000,298149.1435,0.6848,136.5410,66.3502,63.7104,50.7298,29
formal_t256_rep01,T256,256,"Phase B (Write Burst)",1.4957,100000,66856.9866,2.2744,581.0460,198.5614,181.1999,1247.5347,32
formal_t256_rep01,T256,256,"Phase C (Read Recovery)",0.9210,100000,108582.0283,1.6263,419.6573,150.9897,133.7568,1159.3392,38
formal_t2048_rep01,T2048,2048,"Phase A (Read Sensitive)",0.4709,100000,212357.0689,0.7520,315.8448,249.8225,259.5437,50.3928,29
formal_t2048_rep01,T2048,2048,"Phase B (Write Burst)",2.2502,100000,44440.3195,5.8168,1715.8277,1490.8057,1371.2141,182.1907,32
formal_t2048_rep01,T2048,2048,"Phase C (Read Recovery)",2.2004,100000,45446.0181,3.5142,1323.8601,1135.0108,1102.4742,149.5329,38
formal_t2048_rep02,T2048,2048,"Phase A (Read Sensitive)",0.4602,100000,217316.6962,0.7138,316.6112,252.1035,291.2128,51.8486,29
formal_t2048_rep02,T2048,2048,"Phase B (Write Burst)",2.3017,100000,43445.4982,5.9895,1757.9236,1513.5612,1453.3440,201.2261,32
formal_t2048_rep02,T2048,2048,"Phase C (Read Recovery)",2.2630,100000,44188.5271,3.4675,1375.3748,1163.5619,1139.1448,163.2656,38
formal_t256_rep02,T256,256,"Phase A (Read Sensitive)",0.3630,100000,275516.9636,0.6886,144.6316,66.2297,64.9578,53.3788,29
formal_t256_rep02,T256,256,"Phase B (Write Burst)",1.7840,100000,56054.2004,2.5847,710.9550,211.0929,187.6813,2271.5159,32
formal_t256_rep02,T256,256,"Phase C (Read Recovery)",1.5365,100000,65081.3662,2.0293,483.5860,183.4092,161.2013,3788.0967,38
formal_t64_rep02,T64,64,"Phase A (Read Sensitive)",0.4518,100000,221318.3399,0.7523,129.6079,31.2987,25.0884,1057.9708,29
formal_t64_rep02,T64,64,"Phase B (Write Burst)",5.4007,100000,18515.9652,3.2359,617.3427,163.6618,118.7063,6675.3445,32
formal_t64_rep02,T64,64,"Phase C (Read Recovery)",2.9689,100000,33683.0520,2.4663,512.5507,125.7401,96.7222,6417.5376,38
formal_t0_rep02,T0,0,"Phase A (Read Sensitive)",0.4598,100000,217467.8469,0.7685,337.4100,273.7590,302.1782,53.0241,29
formal_t0_rep02,T0,0,"Phase B (Write Burst)",6.8065,100000,14691.7861,15.8823,4717.1991,4472.2525,4466.8359,174.8363,32
formal_t0_rep02,T0,0,"Phase C (Read Recovery)",11.6028,100000,8618.5973,11.7982,6499.7213,6260.0665,6263.8609,166.4623,38
formal_clean_rep02,CLEAN,0,"Phase A (Read Sensitive)",0.2574,100000,388461.9724,0.5290,105.0306,15.5352,0.0000,23.1459,28
formal_clean_rep02,CLEAN,0,"Phase B (Write Burst)",0.2075,100000,481856.8976,0.4855,76.7827,14.6661,0.0000,29.5658,26
formal_clean_rep02,CLEAN,0,"Phase C (Read Recovery)",0.1983,100000,504392.1052,0.4997,67.1999,11.2542,0.0000,22.9087,27
formal_t64_rep03,T64,64,"Phase A (Read Sensitive)",0.7502,100000,133303.5053,1.1047,274.5897,53.5407,53.6706,1144.6803,29
formal_t64_rep03,T64,64,"Phase B (Write Burst)",4.4472,100000,22485.8993,2.7789,618.8408,145.5988,104.0803,12665.7695,32
formal_t64_rep03,T64,64,"Phase C (Read Recovery)",3.0817,100000,32449.9926,2.2106,478.3402,118.5625,89.2873,10332.6216,38
formal_clean_rep03,CLEAN,0,"Phase A (Read Sensitive)",0.2039,100000,490550.6889,0.4824,106.2468,15.0169,0.0000,21.7718,28
formal_clean_rep03,CLEAN,0,"Phase B (Write Burst)",0.2044,100000,489322.5585,0.4854,72.2244,13.7788,0.0000,27.6929,26
formal_clean_rep03,CLEAN,0,"Phase C (Read Recovery)",0.2037,100000,490924.4611,0.5087,69.7302,11.6709,0.0000,24.2367,27
formal_t2048_rep03,T2048,2048,"Phase A (Read Sensitive)",0.4156,100000,240611.6110,0.6942,290.8601,229.2256,281.8383,49.2756,29
formal_t2048_rep03,T2048,2048,"Phase B (Write Burst)",2.2460,100000,44523.5897,5.8899,1676.7707,1437.5785,1363.7565,185.8705,32
