exp_id,stage,event_type,job_id,timestamp_sec,reason,size_or_out_bytes,extra_info
smoke_e7_t512,PRELOAD,FLUSH,2,0.4967,"Write Buffer Full",68488400,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_t512/000009.sst"
smoke_e7_t512,PRELOAD,FLUSH,3,0.5197,"Write Buffer Full",68488392,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_t512/000011.sst"
smoke_e7_t512,PRELOAD,FLUSH,4,0.8755,"Write Buffer Full",68488400,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_t512/000013.sst"
smoke_e7_t512,PRELOAD,FLUSH,5,0.8867,"Write Buffer Full",68488393,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_t512/000015.sst"
smoke_e7_t512,PRELOAD,FLUSH,7,1.3481,"Write Buffer Full",68488399,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_t512/000018.sst"
smoke_e7_t512,PRELOAD,FLUSH,8,1.3978,"Write Buffer Full",68488399,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_t512/000020.sst"
smoke_e7_t512,PRELOAD,FLUSH,9,1.8436,"Write Buffer Full",68488393,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_t512/000023.sst"
smoke_e7_t512,PRELOAD,FLUSH,10,1.8468,"Manual Flush",43106224,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_t512/000025.sst"
smoke_e7_t512,FOREGROUND,FLUSH,12,0.7739,"Write Buffer Full",58470840,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_t512/000031.sst"
smoke_e7_t512,FOREGROUND,FLUSH,13,0.7781,"Memtable Max Range Deletions",13517560,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_t512/000033.sst"
smoke_e7_t512,FOREGROUND,FLUSH,15,1.3800,"Write Buffer Full",58249446,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_t512/000036.sst"
smoke_e7_t512,COOLDOWN,FLUSH,18,1.7915,"Write Buffer Full",57616003,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_t512/000039.sst"
smoke_e7_t512,PRELOAD,COMPACTION,6,3.0919,"kLevelL0FilesNum",276384287,"in_level=0;out_level=6;in_bytes=276365765"
smoke_e7_t512,PRELOAD,COMPACTION,11,3.1316,"kLevelL0FilesNum",250757921,"in_level=0;out_level=0;in_bytes=250760446"
smoke_e7_t512,COOLDOWN,COMPACTION,14,2.1187,"kLevelL0FilesNum",281754181,"in_level=0;out_level=5;in_bytes=309739350"
smoke_e7_t512,COOLDOWN,COMPACTION,20,3.4510,"kLevelL0FilesNum",230243718,"in_level=0;out_level=5;in_bytes=412308128"
smoke_e7_t512,COOLDOWN,COMPACTION,21,3.7415,"kLevelMaxLevelSize",22085422,"in_level=5;out_level=6;in_bytes=25914992"
smoke_e7_t512,COOLDOWN,COMPACTION,22,4.1936,"kLevelMaxLevelSize",80902594,"in_level=5;out_level=6;in_bytes=127408658"
smoke_e7_t2048,PRELOAD,FLUSH,2,0.4115,"Write Buffer Full",68488400,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_t2048/000009.sst"
smoke_e7_t2048,PRELOAD,FLUSH,3,0.5047,"Write Buffer Full",68488392,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_t2048/000011.sst"
smoke_e7_t2048,PRELOAD,FLUSH,4,0.6730,"Write Buffer Full",68488400,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_t2048/000013.sst"
smoke_e7_t2048,PRELOAD,FLUSH,5,0.8066,"Write Buffer Full",68488392,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_t2048/000015.sst"
smoke_e7_t2048,PRELOAD,FLUSH,6,0.9839,"Write Buffer Full",68488400,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_t2048/000017.sst"
smoke_e7_t2048,PRELOAD,FLUSH,8,1.1354,"Write Buffer Full",68488400,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_t2048/000020.sst"
smoke_e7_t2048,PRELOAD,FLUSH,9,1.3540,"Write Buffer Full",68488392,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_t2048/000023.sst"
smoke_e7_t2048,PRELOAD,FLUSH,10,1.4016,"Manual Flush",43106224,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_t2048/000026.sst"
smoke_e7_t2048,FOREGROUND,FLUSH,12,0.7554,"Write Buffer Full",58518021,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_t2048/000031.sst"
smoke_e7_t2048,FOREGROUND,FLUSH,14,1.7252,"Write Buffer Full",58619376,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_t2048/000034.sst"
smoke_e7_t2048,COOLDOWN,FLUSH,15,2.0642,"Write Buffer Full",58199078,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_t2048/000036.sst"
smoke_e7_t2048,PRELOAD,COMPACTION,7,1.7420,"kLevelL0FilesNum",276384286,"in_level=0;out_level=6;in_bytes=276365764"
smoke_e7_t2048,PRELOAD,COMPACTION,11,2.0892,"kLevelL0FilesNum",250757922,"in_level=0;out_level=0;in_bytes=250760448"
smoke_e7_t2048,COOLDOWN,COMPACTION,13,3.6526,"kLevelL0FilesNum",281766711,"in_level=0;out_level=5;in_bytes=309787076"
smoke_e7_t2048,COOLDOWN,COMPACTION,18,5.5921,"kLevelL0FilesNum",226553825,"in_level=0;out_level=5;in_bytes=399647483"
smoke_e7_t2048,COOLDOWN,COMPACTION,19,5.8655,"kLevelMaxLevelSize",22085422,"in_level=5;out_level=6;in_bytes=25846311"
smoke_e7_t2048,COOLDOWN,COMPACTION,20,6.4568,"kLevelMaxLevelSize",78230827,"in_level=5;out_level=6;in_bytes=123954185"
smoke_e7_clean,PRELOAD,FLUSH,2,0.4092,"Write Buffer Full",68488400,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_clean/000009.sst"
smoke_e7_clean,PRELOAD,FLUSH,3,0.5299,"Write Buffer Full",68488392,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_clean/000011.sst"
smoke_e7_clean,PRELOAD,FLUSH,4,0.7370,"Write Buffer Full",68488400,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_clean/000013.sst"
smoke_e7_clean,PRELOAD,FLUSH,5,0.8507,"Write Buffer Full",68488392,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_clean/000015.sst"
smoke_e7_clean,PRELOAD,FLUSH,7,1.1210,"Write Buffer Full",68488400,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_clean/000018.sst"
smoke_e7_clean,PRELOAD,FLUSH,8,1.2527,"Write Buffer Full",68488400,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_clean/000020.sst"
smoke_e7_clean,PRELOAD,FLUSH,9,1.4466,"Write Buffer Full",68488392,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_clean/000023.sst"
smoke_e7_clean,PRELOAD,FLUSH,10,1.5737,"Manual Flush",43106224,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_clean/000026.sst"
smoke_e7_clean,FOREGROUND,FLUSH,12,0.7044,"Write Buffer Full",58522054,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_clean/000031.sst"
smoke_e7_clean,FOREGROUND,FLUSH,14,1.1551,"Write Buffer Full",58641091,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_clean/000034.sst"
smoke_e7_clean,COOLDOWN,FLUSH,15,1.9563,"Write Buffer Full",58359086,"/home/wam/grad/s14-range-delete-study/run-db/smoke_e7_smoke_e7_clean/000037.sst"
smoke_e7_clean,PRELOAD,COMPACTION,6,1.8089,"kLevelL0FilesNum",276384286,"in_level=0;out_level=6;in_bytes=276365764"
smoke_e7_clean,PRELOAD,COMPACTION,11,2.4285,"kLevelL0FilesNum",250757922,"in_level=0;out_level=0;in_bytes=250760448"
smoke_e7_clean,COOLDOWN,COMPACTION,13,2.7213,"kLevelL0FilesNum",281771569,"in_level=0;out_level=5;in_bytes=309791011"
smoke_e7_clean,COOLDOWN,COMPACTION,16,3.1100,"kLevelMaxLevelSize",36907673,"in_level=5;out_level=6;in_bytes=37480862"
